approach,family,attempt_recall,attempt_fpr,attempt_specificity,benchmark_precision,flag_rate,attack_devices,attack_detected,attack_never_detected,attack_device_recall,legitimate_devices,legitimate_flagged,legitimate_device_fpr,median_first_detection_attempt,p90_first_detection_attempt
no_sentinel,baseline,0.0,0.0,1.0,0.0,0.0,491,0,491,0.0,2400,0,0.0,,
count_requests_5m_ge_2,request_count,0.252,0.1042,0.8958,0.6395,0.1667,491,211,280,0.4297,2400,270,0.1125,2.0,8.0
count_requests_5m_ge_3,request_count,0.1231,0.0334,0.9666,0.73,0.0714,491,101,390,0.2057,2400,77,0.0321,3.0,7.0
count_requests_5m_ge_4,request_count,0.0584,0.0134,0.9866,0.7615,0.0324,491,55,436,0.112,2400,27,0.0112,4.0,5.600000000000001
count_requests_5m_ge_5,request_count,0.0228,0.0068,0.9932,0.71,0.0136,491,20,471,0.0407,2400,15,0.0063,5.0,7.500000000000007
count_requests_5m_ge_6,request_count,0.0119,0.0031,0.9969,0.74,0.0068,491,11,480,0.0224,2400,7,0.0029,6.0,11.0
count_requests_24h_ge_3,request_count,0.5979,0.1717,0.8283,0.7187,0.3521,491,340,151,0.6925,2400,361,0.1504,3.0,3.0
count_requests_24h_ge_4,request_count,0.4857,0.084,0.916,0.8093,0.254,491,308,183,0.6273,2400,173,0.0721,4.0,4.0
count_requests_24h_ge_5,request_count,0.3844,0.0414,0.9586,0.872,0.1865,491,266,225,0.5418,2400,92,0.0383,5.0,5.0
count_requests_24h_ge_6,request_count,0.2969,0.0193,0.9807,0.9187,0.1368,491,225,266,0.4582,2400,42,0.0175,6.0,6.0
count_requests_24h_ge_8,request_count,0.1584,0.0033,0.9967,0.9724,0.0689,491,160,331,0.3259,2400,10,0.0042,8.0,8.0
rules_ge_2,rules_only,0.42,0.0762,0.9238,0.8017,0.2217,491,302,189,0.6151,2400,172,0.0717,4.0,7.0
rules_ge_3,rules_only,0.2873,0.0259,0.9741,0.8907,0.1365,491,218,273,0.444,2400,53,0.0221,4.0,8.0
rules_ge_4,rules_only,0.1593,0.0047,0.9953,0.9613,0.0701,491,145,346,0.2953,2400,11,0.0046,5.0,9.0
rules_ge_5,rules_only,0.0641,0.0021,0.9979,0.9569,0.0284,491,51,440,0.1039,2400,6,0.0025,6.0,9.0
rules_ge_6,rules_only,0.0119,0.0002,0.9998,0.9737,0.0052,491,16,475,0.0326,2400,1,0.0004,8.0,12.0
model_ge_0.3,model_only,0.698,0.2394,0.7606,0.6814,0.4335,491,415,76,0.8452,2400,490,0.2042,2.0,4.0
model_ge_0.4,model_only,0.6342,0.1825,0.8175,0.7182,0.3736,491,393,98,0.8004,2400,368,0.1533,3.0,5.0
model_ge_0.5,model_only,0.5556,0.1195,0.8805,0.7733,0.304,491,359,132,0.7312,2400,231,0.0963,3.0,5.0
model_ge_0.6,model_only,0.4832,0.0825,0.9175,0.8111,0.2521,491,331,160,0.6741,2400,167,0.0696,4.0,6.0
model_ge_0.7,model_only,0.3931,0.0444,0.9556,0.8664,0.192,491,291,200,0.5927,2400,92,0.0383,4.0,7.0
model_ge_0.8,model_only,0.2177,0.0136,0.9864,0.9213,0.1,491,199,292,0.4053,2400,35,0.0146,6.0,9.0
model_ge_0.5_or_rules_ge_4,model_and_rules,0.5556,0.1195,0.8805,0.7733,0.304,491,359,132,0.7312,2400,231,0.0963,3.0,5.0
model_ge_0.5_or_rules_ge_5,model_and_rules,0.5556,0.1195,0.8805,0.7733,0.304,491,359,132,0.7312,2400,231,0.0963,3.0,5.0
model_ge_0.6_or_rules_ge_4,model_and_rules,0.4841,0.0828,0.9172,0.811,0.2526,491,331,160,0.6741,2400,168,0.07,4.0,6.0
model_ge_0.6_or_rules_ge_5,model_and_rules,0.4832,0.0825,0.9175,0.8111,0.2521,491,331,160,0.6741,2400,167,0.0696,4.0,6.0
model_ge_0.7_or_rules_ge_4,model_and_rules,0.3966,0.0454,0.9546,0.865,0.194,491,291,200,0.5927,2400,95,0.0396,4.0,7.0
model_ge_0.7_or_rules_ge_5,model_and_rules,0.3934,0.0444,0.9556,0.8665,0.1921,491,291,200,0.5927,2400,92,0.0383,4.0,7.0
