feature,development_median,blind_median,development_p90,blind_p90,psi,ks,overlap_coefficient
current_amount,862.525,967.11,17832.868,26441.14,0.115,0.0786,0.9541
low_amount_ratio_24h,0.0,0.0,0.2,0.0,0.0705,0.0796,0.9206
distinct_card_last4_7d,1.0,0.0,3.0,2.0,0.0383,0.0868,0.9132
distinct_card_networks_7d,1.0,0.0,2.0,2.0,0.034,0.0868,0.9132
amount_variation_24h,1.8746,7.2342,3767.4611,8288.35,0.0219,0.0518,0.9635
seconds_since_last_request,238.4352,107.4637,78061.2479,42405.3795,0.0193,0.0603,0.9714
seconds_since_last_payment,238.4352,112.1006,78061.2479,42405.3795,0.019,0.0586,0.9714
card_change_after_decline_7d,0.0,0.0,1.0,1.0,0.0179,0.0462,0.9533
device_age_seconds,706.4959,437.6708,159204.0971,157558.8747,0.0158,0.0455,0.9545
amount_delta,0.0,0.0,1284.069,2345.67,0.0133,0.0268,0.9702
retry_after_decline_ratio_24h,0.0,0.0,0.25,0.6667,0.0129,0.0374,0.9611
session_age_seconds,0.0,0.0,41077.8257,24044.2158,0.0126,0.0539,0.9588
seconds_since_last_success,0.0,0.0,14971.338,6877.8154,0.0119,0.0327,0.9803
sessions_24h,1.0,1.0,3.0,3.0,0.0066,0.0258,0.954
ip_rotation_ratio_24h,0.6667,1.0,1.0,1.0,0.0052,0.0307,0.9661
decline_streak,0.0,0.0,4.0,4.0,0.0044,0.0231,0.9758
recent_failures_24h,0.0,0.0,4.0,4.0,0.0041,0.0193,0.9762
prior_payments_24h,1.0,1.0,6.0,5.0,0.0018,0.0189,0.9806
requests_24h,2.0,2.0,7.0,6.0,0.0017,0.0184,0.9809
ip_changes_24h,0.0,0.0,1.0,1.0,0.0016,0.0175,0.9822
successful_checkouts,0.0,0.0,1.0,1.0,0.0011,0.013,0.9813
failure_ratio_24h,0.0,0.0,1.0,1.0,0.0004,0.0114,0.9823
requests_5m,1.0,1.0,2.0,2.0,0.0003,0.0119,0.9821
requests_60s,1.0,1.0,1.0,1.0,0.0,0.0213,0.9713
is_new_device,0.0,0.0,1.0,1.0,0.0,0.0337,0.9663
devices_per_ip_24h,1.0,1.0,1.0,2.0,0.0,0.0517,0.9483
requests_per_ip_5m,1.0,1.0,2.0,2.0,0.0,0.0067,0.9933
requests_10s,1.0,1.0,1.0,1.0,0.0,0.0012,0.9988
