feature,coefficient,direction,absolute_importance
sessions_24h,0.2677894924164969,raises_risk,0.2677894924164969
is_new_device,-0.24218202306062436,lowers_risk,0.24218202306062436
failure_ratio_24h,0.2181197471990103,raises_risk,0.2181197471990103
decline_streak,0.1917902424896423,raises_risk,0.1917902424896423
ip_changes_24h,0.1842210840680033,raises_risk,0.1842210840680033
requests_24h,0.16172548743653198,raises_risk,0.16172548743653198
prior_payments_24h,0.16053841426732507,raises_risk,0.16053841426732507
distinct_card_networks_7d,0.1561171011716586,raises_risk,0.1561171011716586
successful_checkouts,-0.154822831417207,lowers_risk,0.154822831417207
devices_per_ip_24h,0.1520682638535081,raises_risk,0.1520682638535081
distinct_card_last4_7d,0.1485058306928993,raises_risk,0.1485058306928993
seconds_since_last_success,-0.13947191556277216,lowers_risk,0.13947191556277216
recent_failures_24h,0.13116748572276224,raises_risk,0.13116748572276224
card_change_after_decline_7d,0.12447068149019266,raises_risk,0.12447068149019266
ip_rotation_ratio_24h,-0.1224643831191655,lowers_risk,0.1224643831191655
session_age_seconds,-0.12102354781535625,lowers_risk,0.12102354781535625
low_amount_ratio_24h,0.08943266317664153,raises_risk,0.08943266317664153
device_age_seconds,0.0687857610244126,raises_risk,0.0687857610244126
retry_after_decline_ratio_24h,-0.0668206549505527,lowers_risk,0.0668206549505527
requests_per_ip_5m,0.0519344785221117,raises_risk,0.0519344785221117
amount_variation_24h,0.033623470296479975,raises_risk,0.033623470296479975
requests_10s,0.014068131638577229,raises_risk,0.014068131638577229
seconds_since_last_payment,0.01139811287772215,raises_risk,0.01139811287772215
seconds_since_last_request,0.01139805098271628,raises_risk,0.01139805098271628
requests_5m,-0.009472352249960668,lowers_risk,0.009472352249960668
amount_delta,-0.00682853838975553,lowers_risk,0.00682853838975553
requests_60s,0.0061687027072763285,raises_risk,0.0061687027072763285
current_amount,0.000775126353917064,raises_risk,0.000775126353917064
