population,scenario,requests_7d,failures_7d,active_day_count_7d,failures_per_active_day_7d,median_gap_between_attempts,gap_variability,customer_id_present,customer_distinct_devices_7d,customer_failures_7d,customer_successful_checkouts_30d,customer_age_seconds,devices,requests
attack,cross_device_campaign,2.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,1176.216,591,2124
attack,fast_burst,7.0,5.0,1.0,4.0,12.068,0.457,0.0,0.0,0.0,0.0,0.0,93,1162
attack,flash_sale_camouflage,5.0,3.0,1.0,2.5,107.003,0.685,0.0,0.0,0.0,0.0,0.0,123,1362
attack,merchant_typical_amounts,6.0,4.0,1.0,3.0,1063.188,1.134,1.0,1.0,0.0,0.0,0.0,89,942
attack,patient_tester_weeks,4.0,3.0,2.0,1.5,5620.208,1.536,1.0,1.0,0.0,0.0,3602.663,123,1961
attack,session_churn,6.0,4.0,1.0,3.5,240.043,0.616,0.0,0.0,0.0,0.0,0.0,106,1142
attack,slow_drip,6.0,5.0,2.0,3.0,1362.647,1.183,0.0,0.0,0.0,0.0,0.0,147,1623
attack,sparse_multiday_tester,6.0,4.0,4.0,1.0,23291.305,0.873,1.0,1.0,0.0,0.0,0.0,115,1386
attack,successful_card_camouflage,7.0,4.0,2.0,2.0,1328.8,1.716,1.0,1.0,0.0,0.0,1234.446,102,1395
attack,warm_up_then_test,7.0,1.0,2.0,0.5,2646.114,1.649,1.0,1.0,0.0,0.0,0.0,99,1331
legitimate,cold_start_guest,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419,1749
legitimate,flash_sale_customer,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,834
legitimate,household_shared_device,2.0,0.0,2.0,0.0,926.565,0.0,1.0,1.0,0.0,0.0,0.0,423,1901
legitimate,logged_in_new_customer,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,558,1155
legitimate,long_dormant_returner,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,325,1026
legitimate,micro_payment_customer,3.0,0.0,2.0,0.0,395.512,0.0,1.0,1.0,0.0,1.0,79786.735,383,2173
legitimate,mobile_network_churn,2.0,0.0,1.0,0.0,169.799,0.0,1.0,1.0,0.0,0.0,0.0,411,1716
legitimate,multi_device_customer,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.188,1344,2577
legitimate,network_retry_storm,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,272,920
legitimate,persistent_card_problem_customer,3.0,0.0,2.0,0.0,7423.897,0.154,1.0,1.0,0.0,0.0,3013.978,320,2033
legitimate,returning_customer_multi_episode,2.0,0.0,1.0,0.0,2124.974,0.0,1.0,1.0,0.0,0.0,50.958,1355,7049
legitimate,shared_network_customer,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,608,1654
legitimate,subscription_dunning,3.0,1.0,2.0,0.333,532.103,0.0,1.0,1.0,0.0,0.0,102478.898,271,1302
