feature,new_in_v2,legit_median,legit_p90,attack_median,attack_p90,overlap,max_f1,zero_or_default_rate
requests_10s,False,1.0,1.0,1.0,1.0,0.9753,0.5252,0.0
requests_60s,False,1.0,1.0,1.0,1.0,0.9323,0.5252,0.0
requests_5m,False,1.0,2.0,1.0,3.0,0.8998,0.5252,0.0
requests_24h,False,1.0,2.0,3.0,7.0,0.5953,0.6218,0.0
requests_per_ip_5m,False,1.0,2.0,1.0,2.0,0.891,0.5252,0.0
devices_per_ip_24h,False,1.0,1.0,1.0,2.0,0.9035,0.5252,0.0
seconds_since_last_request,False,723.9511,732937.9551,1359.5542,205926.347,0.79,0.5733,0.237
ip_changes_24h,False,0.0,0.0,0.0,1.0,0.8662,0.5252,0.8966
device_age_seconds,False,179422.7555,1778512.7427,126903.1566,950110.1741,0.8817,0.5663,0.237
is_new_device,False,0.0,1.0,0.0,1.0,0.8029,0.5663,0.763
session_age_seconds,False,0.0,658.5295,0.0,4295.2395,0.9653,0.5252,0.7079
sessions_24h,False,1.0,1.0,1.0,4.0,0.5758,0.6103,0.0
ip_rotation_ratio_24h,False,1.0,1.0,0.5,1.0,0.609,0.6145,0.0
prior_payments_24h,False,0.0,1.0,2.0,6.0,0.5962,0.6211,0.5591
recent_failures_24h,False,0.0,1.0,1.0,5.0,0.5767,0.6266,0.6614
failure_ratio_24h,False,0.0,1.0,0.6667,1.0,0.5767,0.6266,0.6614
decline_streak,False,0.0,2.0,2.0,8.0,0.5369,0.6565,0.6138
successful_checkouts_30d,False,0.0,3.0,0.0,2.0,0.7124,0.5739,0.6071
seconds_since_last_payment,False,725.129,732937.9551,1362.7114,206070.0339,0.7902,0.5733,0.2375
seconds_since_last_success,False,0.0,747580.3809,0.0,108007.458,0.763,0.5927,0.5984
retry_after_decline_ratio_24h,False,0.0,0.0,0.0,0.9286,0.8836,0.5252,0.9008
current_amount,False,899.42,18069.162,1293.86,20753.835,0.9827,0.5252,0.0
amount_delta,False,0.0,2410.778,0.0,5989.5,0.9552,0.5252,0.3469
amount_variation_24h,False,0.0,913.6776,231.6449,9899.2631,0.9137,0.6247,0.5902
low_amount_ratio_24h,False,0.0,0.0,0.0,0.1111,0.9265,0.5285,0.9302
distinct_card_last4_7d,False,0.0,1.0,1.0,4.0,0.5639,0.6279,0.5327
distinct_card_networks_7d,False,0.0,1.0,1.0,3.0,0.5983,0.6279,0.5327
card_change_after_decline_7d,False,0.0,0.0,0.0,2.0,0.68,0.5252,0.8768
requests_7d,True,2.0,4.0,5.0,13.0,0.534,0.6546,0.0
failures_7d,True,0.0,2.0,3.0,9.0,0.4602,0.7047,0.544
active_day_count_7d,True,1.0,3.0,2.0,4.0,0.8381,0.5252,0.0
failures_per_active_day_7d,True,0.0,1.0,1.5,5.0,0.472,0.7065,0.544
median_gap_between_attempts,True,0.0,417664.592,907.9313,50911.4863,0.8092,0.5987,0.4249
gap_variability,True,0.0,1.2807,0.7928,2.5574,0.6009,0.6153,0.5617
customer_id_present,True,1.0,1.0,1.0,1.0,0.8753,0.5252,0.4074
customer_distinct_devices_7d,True,1.0,1.0,1.0,1.0,0.8064,0.5252,0.4074
customer_failures_7d,True,0.0,1.0,0.0,6.0,0.7468,0.5252,0.7508
customer_successful_checkouts_30d,True,0.0,2.0,0.0,1.0,0.8095,0.5617,0.7712
customer_age_seconds,True,0.0,1131632.2576,0.0,480436.5284,0.8868,0.5422,0.5597
