approach,family,attempt_recall,attempt_fpr,attempt_specificity,benchmark_precision,flag_rate,attack_devices,attack_detected,attack_never_detected,attack_device_recall,legitimate_devices,legitimate_flagged,legitimate_device_fpr,median_first_detection_attempt,p90_first_detection_attempt
no_sentinel,baseline,0.0,0.0,1.0,0.0,0.0,468,0,468,0.0,2133,0,0.0,,
count_requests_5m_ge_2,request_count,0.1993,0.1193,0.8807,0.5219,0.1509,468,145,323,0.3098,2133,469,0.2199,2.0,12.0
count_requests_5m_ge_3,request_count,0.1062,0.0229,0.9771,0.7518,0.0558,468,77,391,0.1645,2133,78,0.0366,3.0,10.400000000000006
count_requests_5m_ge_4,request_count,0.0687,0.0065,0.9935,0.8731,0.0311,468,49,419,0.1047,2133,22,0.0103,4.0,12.0
count_requests_5m_ge_5,request_count,0.0516,0.0028,0.9972,0.9234,0.0221,468,36,432,0.0769,2133,8,0.0038,5.0,5.5
count_requests_5m_ge_6,request_count,0.0383,0.0015,0.9985,0.9447,0.016,468,33,435,0.0705,2133,5,0.0023,6.0,6.800000000000001
count_requests_24h_ge_3,request_count,0.5433,0.1354,0.8646,0.7239,0.2965,468,300,168,0.641,2133,415,0.1946,3.0,3.0
count_requests_24h_ge_4,request_count,0.3903,0.052,0.948,0.8304,0.1857,468,258,210,0.5513,2133,172,0.0806,4.0,4.0
count_requests_24h_ge_5,request_count,0.2849,0.0188,0.9812,0.9084,0.1239,468,202,266,0.4316,2133,50,0.0234,5.0,5.0
count_requests_24h_ge_6,request_count,0.2111,0.0087,0.9913,0.941,0.0886,468,180,288,0.3846,2133,21,0.0098,6.0,6.0
count_requests_24h_ge_8,request_count,0.1045,0.0017,0.9983,0.9753,0.0424,468,109,359,0.2329,2133,5,0.0023,8.0,12.200000000000003
failures_7d_ge_1,long_horizon_count,0.83,0.3005,0.6995,0.6433,0.5097,468,451,17,0.9637,2133,703,0.3296,2.0,3.0
failures_7d_ge_2,long_horizon_count,0.6964,0.1465,0.8535,0.7563,0.3638,468,409,59,0.8739,2133,284,0.1331,3.0,5.0
failures_7d_ge_3,long_horizon_count,0.5763,0.0913,0.9087,0.8048,0.2829,468,331,137,0.7073,2133,157,0.0736,4.0,8.0
failures_7d_ge_4,long_horizon_count,0.4854,0.0636,0.9364,0.8329,0.2303,468,284,184,0.6068,2133,81,0.038,5.0,9.0
failures_7d_ge_6,long_horizon_count,0.332,0.0366,0.9634,0.8556,0.1533,468,228,240,0.4872,2133,47,0.022,8.0,13.0
customer_devices_7d_ge_2,cross_device_count,0.0768,0.0257,0.9743,0.6614,0.0459,468,142,326,0.3034,2133,114,0.0534,1.0,3.0
customer_devices_7d_ge_3,cross_device_count,0.0701,0.0041,0.9959,0.9173,0.0302,468,136,332,0.2906,2133,15,0.007,2.0,3.0
customer_devices_7d_ge_4,cross_device_count,0.0503,0.0,1.0,1.0,0.0199,468,111,357,0.2372,2133,0,0.0,2.0,3.0
rules_ge_2,rules_only,0.4384,0.0309,0.9691,0.9026,0.1919,468,322,146,0.688,2133,94,0.0441,4.0,11.0
rules_ge_3,rules_only,0.2425,0.0088,0.9912,0.9475,0.1011,468,208,260,0.4444,2133,23,0.0108,5.0,15.0
rules_ge_4,rules_only,0.1575,0.0035,0.9965,0.9675,0.0643,468,166,302,0.3547,2133,11,0.0052,7.0,16.0
rules_ge_5,rules_only,0.0493,0.0016,0.9984,0.9528,0.0205,468,44,424,0.094,2133,5,0.0023,6.0,15.100000000000009
rules_ge_6,rules_only,0.0281,0.0009,0.9991,0.9517,0.0117,468,28,440,0.0598,2133,4,0.0019,6.0,12.600000000000001
model_ge_0.3,model_only,0.8023,0.1738,0.8262,0.7509,0.4221,468,450,18,0.9615,2133,415,0.1946,2.0,4.0
model_ge_0.4,model_only,0.764,0.1386,0.8614,0.7827,0.3857,468,447,21,0.9551,2133,311,0.1458,3.0,4.0
model_ge_0.5,model_only,0.7218,0.1107,0.8893,0.8098,0.3522,468,441,27,0.9423,2133,233,0.1092,3.0,4.0
model_ge_0.6,model_only,0.6833,0.0901,0.9099,0.832,0.3245,468,437,31,0.9338,2133,174,0.0816,3.0,5.0
model_ge_0.7,model_only,0.6201,0.0719,0.9281,0.8493,0.2885,468,421,47,0.8996,2133,131,0.0614,4.0,6.0
model_ge_0.8,model_only,0.5364,0.0488,0.9512,0.8776,0.2415,468,391,77,0.8355,2133,92,0.0431,4.0,8.0
model_ge_0.5_or_rules_ge_4,model_and_rules,0.7226,0.1109,0.8891,0.8098,0.3526,468,441,27,0.9423,2133,234,0.1097,3.0,4.0
model_ge_0.5_or_rules_ge_5,model_and_rules,0.7218,0.1107,0.8893,0.8098,0.3522,468,441,27,0.9423,2133,233,0.1092,3.0,4.0
model_ge_0.6_or_rules_ge_4,model_and_rules,0.6849,0.0902,0.9098,0.8321,0.3252,468,437,31,0.9338,2133,175,0.082,3.0,5.0
model_ge_0.6_or_rules_ge_5,model_and_rules,0.6833,0.0901,0.9099,0.832,0.3245,468,437,31,0.9338,2133,174,0.0816,3.0,5.0
model_ge_0.7_or_rules_ge_4,model_and_rules,0.6232,0.072,0.928,0.8497,0.2898,468,422,46,0.9017,2133,132,0.0619,4.0,6.0
model_ge_0.7_or_rules_ge_5,model_and_rules,0.6205,0.0719,0.9281,0.8494,0.2886,468,421,47,0.8996,2133,131,0.0614,4.0,6.0
