feature,mean,std,min,max,sign_flips
low_amount_ratio_24h,-0.0028,0.0118,-0.0138,0.0115,1
amount_delta,0.0047,0.0075,-0.0076,0.0126,1
session_age_seconds,0.1202,0.0156,0.1099,0.1471,0
current_amount,0.0535,0.0132,0.0334,0.069,0
customer_successful_checkouts_30d,-0.1772,0.0129,-0.1922,-0.1623,0
customer_distinct_devices_7d,0.3376,0.0114,0.3243,0.3497,0
customer_failures_7d,0.1776,0.0094,0.1623,0.1856,0
failure_ratio_24h,0.0295,0.0092,0.0177,0.0392,0
ip_changes_24h,-0.0137,0.0091,-0.0222,-0.0009,0
active_day_count_7d,0.1386,0.0078,0.1265,0.1482,0
devices_per_ip_24h,0.3317,0.0073,0.3233,0.3401,0
median_gap_between_attempts,-0.1217,0.0071,-0.1287,-0.1127,0
successful_checkouts_30d,-0.2008,0.0068,-0.2121,-0.1941,0
amount_variation_24h,0.0271,0.0066,0.0168,0.0346,0
customer_id_present,-0.2293,0.0065,-0.2367,-0.2205,0
failures_per_active_day_7d,0.1602,0.0063,0.1531,0.1704,0
ip_rotation_ratio_24h,-0.1101,0.0063,-0.1173,-0.1013,0
sessions_24h,0.1998,0.0061,0.1917,0.2066,0
distinct_card_last4_7d,0.1549,0.0059,0.1491,0.1623,0
gap_variability,0.1978,0.0057,0.1887,0.2031,0
requests_10s,0.0463,0.0057,0.0381,0.0539,0
distinct_card_networks_7d,0.1702,0.0056,0.1632,0.1778,0
failures_7d,0.1679,0.0055,0.1592,0.1739,0
customer_age_seconds,-0.089,0.0055,-0.0926,-0.0793,0
decline_streak,0.1854,0.005,0.18,0.1923,0
seconds_since_last_success,-0.2037,0.0049,-0.2123,-0.2006,0
requests_per_ip_5m,0.0089,0.0048,0.0028,0.0154,0
device_age_seconds,-0.037,0.0047,-0.0435,-0.0305,0
is_new_device,-0.1328,0.0044,-0.1376,-0.1257,0
requests_24h,0.1144,0.0044,0.1082,0.1205,0
prior_payments_24h,0.112,0.0043,0.1058,0.1178,0
requests_60s,0.0181,0.004,0.013,0.0242,0
seconds_since_last_payment,-0.0454,0.0038,-0.0507,-0.0403,0
seconds_since_last_request,-0.0453,0.0038,-0.0507,-0.0402,0
retry_after_decline_ratio_24h,-0.071,0.0033,-0.0743,-0.0663,0
requests_7d,0.1851,0.0032,0.1798,0.188,0
requests_5m,-0.0265,0.0032,-0.0294,-0.0214,0
card_change_after_decline_7d,0.1136,0.0024,0.1105,0.117,0
recent_failures_24h,0.0659,0.0024,0.0635,0.0695,0
