feature,coefficient,direction,absolute
customer_distinct_devices_7d,0.3379229889042188,raises_risk,0.3379229889042188
devices_per_ip_24h,0.3319650510721261,raises_risk,0.3319650510721261
customer_id_present,-0.22942027579624602,lowers_risk,0.22942027579624602
seconds_since_last_success,-0.20386194375046893,lowers_risk,0.20386194375046893
successful_checkouts_30d,-0.2005221676361788,lowers_risk,0.2005221676361788
sessions_24h,0.19938426444683785,raises_risk,0.19938426444683785
gap_variability,0.19787834720921157,raises_risk,0.19787834720921157
requests_7d,0.1853227982089688,raises_risk,0.1853227982089688
decline_streak,0.18531427051746885,raises_risk,0.18531427051746885
customer_failures_7d,0.1776476805216081,raises_risk,0.1776476805216081
customer_successful_checkouts_30d,-0.1765389770921157,lowers_risk,0.1765389770921157
distinct_card_networks_7d,0.17018642708115417,raises_risk,0.17018642708115417
failures_7d,0.167880890957408,raises_risk,0.167880890957408
failures_per_active_day_7d,0.16021146141753947,raises_risk,0.16021146141753947
distinct_card_last4_7d,0.15488327075374259,raises_risk,0.15488327075374259
active_day_count_7d,0.1383126912187344,raises_risk,0.1383126912187344
is_new_device,-0.13295128089440697,lowers_risk,0.13295128089440697
median_gap_between_attempts,-0.12176346424692676,lowers_risk,0.12176346424692676
session_age_seconds,0.11885778390084673,raises_risk,0.11885778390084673
requests_24h,0.11488497773894593,raises_risk,0.11488497773894593
card_change_after_decline_7d,0.1136082525802956,raises_risk,0.1136082525802956
prior_payments_24h,0.11249076848811149,raises_risk,0.11249076848811149
ip_rotation_ratio_24h,-0.11086985852714326,lowers_risk,0.11086985852714326
customer_age_seconds,-0.08901683306265196,lowers_risk,0.08901683306265196
retry_after_decline_ratio_24h,-0.07118710494213193,lowers_risk,0.07118710494213193
recent_failures_24h,0.06596936756853114,raises_risk,0.06596936756853114
current_amount,0.05381766239941293,raises_risk,0.05381766239941293
requests_10s,0.04646758258194715,raises_risk,0.04646758258194715
seconds_since_last_payment,-0.045400198824741965,lowers_risk,0.045400198824741965
seconds_since_last_request,-0.04536966067464804,lowers_risk,0.04536966067464804
device_age_seconds,-0.037062498026427325,lowers_risk,0.037062498026427325
failure_ratio_24h,0.029645467014061316,raises_risk,0.029645467014061316
amount_variation_24h,0.027288323678793414,raises_risk,0.027288323678793414
requests_5m,-0.026618133858836986,lowers_risk,0.026618133858836986
requests_60s,0.01811968578541517,raises_risk,0.01811968578541517
ip_changes_24h,-0.013546398292594455,lowers_risk,0.013546398292594455
requests_per_ip_5m,0.008697653429045034,raises_risk,0.008697653429045034
amount_delta,0.0044575513115571825,raises_risk,0.0044575513115571825
low_amount_ratio_24h,-0.002659231185679953,lowers_risk,0.002659231185679953
