scenario,population,devices,flagged,median_detection_attempt,flag_rate,never_flagged,measure
merchant_typical_amounts,attack,26,26,4.0,1.0,0,attack_recall
patient_tester_weeks,attack,37,36,3.0,0.973,1,attack_recall
successful_card_camouflage,attack,30,29,4.0,0.9667,1,attack_recall
slow_drip,attack,50,48,4.0,0.96,2,attack_recall
sparse_multiday_tester,attack,42,40,4.0,0.9524,2,attack_recall
flash_sale_camouflage,attack,34,32,4.0,0.9412,2,attack_recall
session_churn,attack,33,31,3.0,0.9394,2,attack_recall
cross_device_campaign,attack,164,149,2.0,0.9085,15,attack_recall
fast_burst,attack,28,25,4.0,0.8929,3,attack_recall
warm_up_then_test,attack,24,21,7.0,0.875,3,attack_recall
subscription_dunning,legitimate,71,24,5.0,0.338,47,legitimate_false_positive_rate
network_retry_storm,legitimate,63,16,4.0,0.254,47,legitimate_false_positive_rate
persistent_card_problem_customer,legitimate,75,13,4.0,0.1733,62,legitimate_false_positive_rate
household_shared_device,legitimate,107,14,4.0,0.1308,93,legitimate_false_positive_rate
micro_payment_customer,legitimate,100,12,4.5,0.12,88,legitimate_false_positive_rate
logged_in_new_customer,legitimate,154,15,4.0,0.0974,139,legitimate_false_positive_rate
mobile_network_churn,legitimate,93,8,4.0,0.086,85,legitimate_false_positive_rate
shared_network_customer,legitimate,166,14,4.0,0.0843,152,legitimate_false_positive_rate
returning_customer_multi_episode,legitimate,370,28,4.0,0.0757,342,legitimate_false_positive_rate
flash_sale_customer,legitimate,83,5,5.0,0.0602,78,legitimate_false_positive_rate
multi_device_customer,legitimate,353,19,4.0,0.0538,334,legitimate_false_positive_rate
long_dormant_returner,legitimate,96,2,4.0,0.0208,94,legitimate_false_positive_rate
cold_start_guest,legitimate,402,4,2.5,0.01,398,legitimate_false_positive_rate
