scenario,population,devices,reviewed_devices,blocked_devices,median_first_review,median_first_block,review_or_higher_rate,block_rate,measure
session_churn,attack,34,33,30,3.0,5.0,0.9706,0.8824,attack_recall
fast_burst,attack,21,20,18,4.0,5.0,0.9524,0.8571,attack_recall
bounded_ip_rotation,attack,40,34,31,3.0,5.0,0.85,0.775,attack_recall
slow_drip,attack,45,40,33,4.0,5.0,0.8889,0.7333,attack_recall
flash_sale_camouflage,attack,34,30,23,4.0,6.0,0.8824,0.6765,attack_recall
merchant_typical_amounts,attack,39,36,25,4.0,6.0,0.9231,0.641,attack_recall
warm_up_then_test,attack,35,28,19,6.5,9.0,0.8,0.5429,attack_recall
device_rotation_campaign,attack,68,48,25,3.0,5.0,0.7059,0.3676,attack_recall
low_and_slow,attack,44,35,8,4.0,5.0,0.7955,0.1818,attack_recall
patient_tester,attack,37,22,5,4.0,8.0,0.5946,0.1351,attack_recall
repeated_genuine_failures,legitimate,41,19,4,4.0,6.0,0.4634,0.0976,legitimate_false_positive_rate
network_retry_storm,legitimate,49,11,3,4.0,7.0,0.2245,0.0612,legitimate_false_positive_rate
network_switch_customer,legitimate,72,5,1,4.0,6.0,0.0694,0.0139,legitimate_false_positive_rate
flash_sale_customer,legitimate,78,10,1,4.0,7.0,0.1282,0.0128,legitimate_false_positive_rate
cold_start_customer,legitimate,405,4,0,3.0,,0.0099,0.0,legitimate_false_positive_rate
failure_then_retry,legitimate,128,13,0,3.0,,0.1016,0.0,legitimate_false_positive_rate
micro_payment_customer,legitimate,90,7,0,3.0,,0.0778,0.0,legitimate_false_positive_rate
payment_method_change,legitimate,68,3,0,3.0,,0.0441,0.0,legitimate_false_positive_rate
returning_customer,legitimate,500,1,0,4.0,,0.002,0.0,legitimate_false_positive_rate
shared_household_device,legitimate,129,6,0,5.5,,0.0465,0.0,legitimate_false_positive_rate
shared_network_customer,legitimate,166,1,0,3.0,,0.006,0.0,legitimate_false_positive_rate
subscription_retry,legitimate,43,0,0,,,0.0,0.0,legitimate_false_positive_rate
