population,scenario,median,p90,max
attack,bounded_ip_rotation,0.7653,0.841,0.8447
attack,device_rotation_campaign,0.6102,0.8341,0.8449
attack,fast_burst,0.7905,0.8425,0.8446
attack,flash_sale_camouflage,0.7307,0.8376,0.8446
attack,low_and_slow,0.4918,0.7518,0.817
attack,merchant_typical_amounts,0.6784,0.8336,0.8442
attack,patient_tester,0.3891,0.7418,0.8223
attack,session_churn,0.7896,0.8428,0.8449
attack,slow_drip,0.7201,0.8324,0.8446
attack,warm_up_then_test,0.4468,0.8264,0.8437
legitimate,cold_start_customer,0.0419,0.4006,0.7344
legitimate,failure_then_retry,0.0603,0.5551,0.7405
legitimate,flash_sale_customer,0.1741,0.6843,0.8132
legitimate,micro_payment_customer,0.2018,0.4873,0.7516
legitimate,network_retry_storm,0.2772,0.7215,0.8231
legitimate,network_switch_customer,0.0603,0.5626,0.7945
legitimate,payment_method_change,0.0419,0.4428,0.769
legitimate,repeated_genuine_failures,0.4266,0.7478,0.8224
legitimate,returning_customer,0.0419,0.141,0.6757
legitimate,shared_household_device,0.0587,0.2685,0.7459
legitimate,shared_network_customer,0.0419,0.2899,0.7086
legitimate,subscription_retry,0.074,0.2575,0.4917
