feature,feature_family,development_legitimate_rows,pbrss_ordinary_rows,development_legitimate_mean,development_legitimate_median,development_legitimate_std,development_legitimate_p10,development_legitimate_p25,development_legitimate_p75,development_legitimate_p90,development_legitimate_zero_fraction,pbrss_ordinary_mean,pbrss_ordinary_median,pbrss_ordinary_std,pbrss_ordinary_p10,pbrss_ordinary_p25,pbrss_ordinary_p75,pbrss_ordinary_p90,pbrss_ordinary_zero_fraction,absolute_mean_shift,psi,ks_statistic,pbrss_charity_mean,pbrss_charity_median,pbrss_b2b_mean,pbrss_b2b_median,pbrss_attack_mean,pbrss_attack_median,direction,interpretation_note
device_age_seconds,customer identity / continuity,16325,12082,8703738.48,2592000,11291654.49,0,27.114353,15552000,31104000,0.2000612557,45619.61195,7.5277565,197323.438,0,3.12098075,3665.906599,10351.88828,0.248303261,8658118.868,6.853574024,0.585429808,3.967207811,3.949958,216.422173,208.043206,170103.6801,14.316515,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
seconds_since_last_payment,failure / success history,16325,12082,1071890.285,143509.3454,1239684.364,0,8.863604,2592000,2592000,0.2000612557,30771.91414,4.4556805,162794.9336,0,3.06680725,3639.137577,6139.087674,0.248303261,1041118.371,6.819984494,0.5349790368,2.971569736,3.736358,107.7826764,110.916555,49784.51231,9.639373,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
customer_age_seconds,customer identity / continuity,16325,12082,8382688.02,2592000,11268420.35,0,0,15552000,31104000,0.3298009188,18277.30588,0,124863.5778,0,0,4.388453,3617.66422,0.7048501904,8364410.714,6.375403319,0.555011424,0,0,201.6526373,187.7424055,67187.66815,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
seconds_since_last_success,customer identity / continuity,16325,12082,1073631.122,145927.7102,1239547.702,0,0,2592000,2592000,0.3902603369,31240.54785,3.8087925,164272.0818,0,0,9.6451055,6408.599577,0.4405727529,1042390.574,6.073417241,0.5327555984,0.4098287438,0,18.31803606,0,64469.38132,4.757871,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
seconds_since_last_request,velocity / retry history,16325,12082,946140.5756,77701.21982,1210221.653,0,2.870135,2592000,2592000,0.248575804,30771.91414,4.4556805,162794.9336,0,3.06680725,3639.137577,6139.087674,0.248303261,915368.6615,5.131382471,0.4864644886,2.971569736,3.736358,107.7826764,110.916555,49784.51231,9.639373,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
sessions_24h,session churn,16325,12082,1.25611026,1,0.6328720372,1,1,1,2,0,1,1,0,1,1,1,1,0,0.2561102603,2.203826204,0.1808269525,1,1,1,1,1,1,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
median_gap_between_attempts,temporal shape,16325,12082,276226.1097,0,764070.1371,0,0,147.347349,851808.9618,0.6270750383,222.3634601,3.43197775,1116.952119,0,0,5.013720875,10.26226415,0.4966065221,276003.7462,2.057001861,0.2391067623,0.9923412646,0,72.66791923,26.005029,26488.56924,4.5456235,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
ip_changes_24h,IP / shared-network history,16325,12082,0.1577335375,0,0.4378023785,0,0,0,1,0.871424196,0,0,0,0,0,0,0,1,0.1577335375,1.461743492,0.128575804,0,0,0,0,0,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
session_churn_rate_24h,session churn,16325,12082,0.8715616701,1,0.2528471627,0.4,1,1,1,0,0.5442435027,0.5,0.3000090318,0.25,0.3333333333,1,1,0,0.3273181673,1.400313332,0.522819564,0.6658685821,0.5,0.5208333333,0.4166666667,0.6359800387,0.5,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
amount_variation_24h,amount / transaction context,16325,12082,2354.38593,0,19230.561,0,0,0,583.731744,0.7971209801,8356.069666,173.8225,22488.88158,0,0,1173.128171,33487.86156,0.2811620593,6001.683736,1.174931909,0.5159589208,5.483889181,2.720910795,0,0,3889.689047,0.94,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
prior_payments_24h,failure / success history,16325,12082,0.6871669219,0,1.553453391,0,0,1,3,0.7419295559,1.447939083,1,1.223265677,0,0,2,3,0.2811620593,0.760772161,1.125375864,0.4607674966,0.8028731045,1,1.5,1.5,1.10550243,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
ip_rotation_ratio_24h,IP / shared-network history,16325,12082,0.8467539185,1,0.2781646683,0.3333333333,1,1,1,0,0.5442435027,0.5,0.3000090318,0.25,0.3333333333,1,1,0,0.3025104158,1.043109588,0.4841059346,0.6658685821,0.5,0.5208333333,0.4166666667,0.6359800387,0.5,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
customer_successful_checkouts_30d,customer identity / continuity,16325,12082,0.6715467075,1,0.823748278,0,0,1,1,0.4662174579,0.2064227777,0,0.6964132685,0,0,0,0,0.9012580699,0.4651239298,1.03755004,0.435040612,0,0,0.12,0,0.4094685687,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
requests_24h,velocity / retry history,16325,12082,1.784563553,1,1.554516741,1,1,2,4,0,2.447939083,2,1.223265677,1,1,3,4,0,0.6633755301,0.8502783459,0.3879956743,1.802873105,2,2.5,2.5,2.10550243,2,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
distinct_card_last4_7d,card diversity / card switching,16325,12082,0.4146401225,0,0.556878806,0,0,1,1,0.6160490046,0.7191690118,1,0.4494236997,0,0,1,1,0.2808309882,0.3045288892,0.8014517261,0.3352180163,0.6009577015,1,1.5,1.5,2.263991221,2,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
successful_checkouts_30d,customer identity / continuity,16325,12082,0.924532925,1,1.033292431,0,0,1,3,0.4047779479,0.5356729018,0,1.050859813,0,0,0,2,0.7514484357,0.3888600231,0.786938558,0.3466704878,0,0,0.132,0,1.030255526,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
current_amount,amount / transaction context,16325,12082,12477.82492,1585.06,56634.31055,431.462,678.83,3397.37,9372.368,0,24716.23605,1044.795,55212.55754,15.157,105.67,4459.965,98568.602,0,12238.41113,0.7750205178,0.2531236652,74.72584198,74.79,120000,120000,10449.03231,95.78,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
requests_60s,velocity / retry history,16325,12082,1.312465544,1,0.8449771329,1,1,1,2,0,1.744247641,1,0.8284589773,1,1,2,3,0,0.4317820975,0.7391989598,0.3214515613,1.802873105,2,1.048,1,1.469979621,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
customer_id_present,customer identity / continuity,16325,12082,0.7905666156,1,0.4069166803,0,1,1,1,0.2094333844,0.3925674557,0,0.4883420796,0,0,1,1,0.6074325443,0.3979991599,0.7024195456,0.3979991599,0,0,0.932,1,0.4511678947,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
active_day_count_7d,long-horizon history,16325,12082,1.325941807,1,0.7757134887,1,1,1,2,0,1.023506042,1,0.1515104221,1,1,1,1,0,0.302435765,0.7004628879,0.1726348462,1,1,1.001,1,2.24392538,1,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
distinct_card_networks_7d,card diversity / card switching,16325,12082,0.4041653905,0,0.5320709836,0,0,1,1,0.6160490046,0.7191690118,1,0.4494236997,0,0,1,1,0.2808309882,0.3150036212,0.6944955499,0.3352180163,0.6009577015,1,1.184,1,1.413387678,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
requests_10s,velocity / retry history,16325,12082,1.16,1,0.4445537452,1,1,1,2,0,1.647574905,1,0.7491061332,1,1,2,3,0,0.4875749048,0.663922693,0.3526756597,1.727055068,2,1,1,1.412917385,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
card_diversity_ratio_7d,card diversity / card switching,16325,12082,0.1351757235,0,0.1931312643,0,0,0.25,0.5,0.6160490046,0.2631559344,0.3333333333,0.189224168,0,0,0.5,0.5,0.2808309882,0.1279802109,0.6353059654,0.3872241419,0.2668262836,0.3333333333,0.4791666667,0.5833333333,0.5388263698,0.6666666667,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
gap_coefficient_of_variation_24h,temporal shape,16325,12082,0.1376232268,0,0.4625671071,0,0,0,0.316090828,0.8469831547,0.3027343162,0,0.5195798183,0,0,0.2389763496,1.409462472,0.5456050323,0.1651110893,0.5850920019,0.3013781224,0.02759315945,0,0.1392934421,0.0009765014821,0.2036525833,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
requests_7d,long-horizon history,16325,12082,2.120918836,1,1.695723505,1,1,3,4,0,2.449097831,2,1.223585073,1,1,3,4,0,0.3281789953,0.4897424377,0.262446194,1.802873105,2,2.5,2.5,3.263991221,3,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
recent_failures_24h,failure / success history,16325,12082,0.6086370597,0,1.519589114,0,0,0,2,0.787381317,0.5865750704,0,0.8491923193,0,0,1,2,0.6005628207,0.02206198937,0.4263727582,0.1868184963,0.7182761373,1,1.368,1.5,0.5276689136,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
failure_ratio_24h,failure / success history,16325,12082,0.2039289968,0,0.3971417799,0,0,0,1,0.787381317,0.2925357281,0,0.398966098,0,0,0.5,1,0.6005628207,0.08860673126,0.4232874851,0.1868184963,0.5586592179,1,0.706,1,0.2870251346,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
low_amount_ratio_24h,amount / transaction context,16325,12082,0.001047473201,0,0.03013632094,0,0,0,0,0.9985911179,0.09649202671,0,0.2167971965,0,0,0,0.3333333333,0.7847210727,0.09544455351,0.3856941202,0.213931301,0,0,0,0,0.4181141245,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
requests_per_ip_5m,IP / shared-network history,16325,12082,1.408882083,1,0.9792540536,1,1,1,3,0,1.744909783,1,0.8286631133,1,1,2,3,0,0.3360277005,0.3813224024,0.2872343935,10.43335994,10,2.06,2,42.4163662,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
session_age_seconds,session churn,16325,12082,285.8636706,0,13162.93622,0,0,0,96.3382276,0.8077182236,45619.61195,7.5277565,197323.438,0,3.12098075,3665.906599,10351.88828,0.248303261,45333.74828,0.359035901,0.5600887757,3.967207811,3.949958,216.422173,208.043206,170103.6801,14.316515,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
failures_7d,long-horizon history,16325,12082,0.6562327718,0,1.539060532,0,0,0,2,0.7594486983,0.5874855156,0,0.8499759127,0,0,1,2,0.600148982,0.06874725618,0.358554839,0.1592997164,0.7182761373,1,1.368,1.5,1.130584731,1,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
requests_5m,velocity / retry history,16325,12082,1.486431853,1,0.9760751288,1,1,2,3,0,1.744909783,1,0.8286631133,1,1,2,3,0,0.2584779302,0.3251913234,0.2228546079,1.802873105,2,2.06,2,1.470293149,1,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
failures_per_active_day_7d,long-horizon history,16325,12082,0.5475160796,0,1.306923966,0,0,0,2,0.7594486983,0.5706008939,0,0.8251829273,0,0,1,2,0.600148982,0.02308481426,0.31099709,0.1879616039,0.7182761373,1,1.3665,1.25,0.5758648168,0.3333333333,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
median_inter_attempt_gap_seconds_24h,temporal shape,16325,12082,1291.632006,0,8698.636157,0,0,4.832675,126.809955,0.7419295559,266.8117435,4.297024,1177.999267,0,0,5.3841465,11.5770258,0.2811620593,1024.820262,0.2794960588,0.4613585421,2.974866546,3.833553,108.7052755,122.343998,9687.340567,4.092751,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
decline_streak,failure / success history,16325,12082,0.6161102603,0,1.525956965,0,0,0,2,0.7840122511,0.4644926337,0,0.8198991975,0,0,1,2,0.6939248469,0.1516176267,0.2621608566,0.09008740427,0.63367917,1,1.104,1,0.725035272,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
customer_failures_7d,relationship / entity history,16325,12082,0.4111485452,0,1.281557565,0,0,0,1,0.8497396631,0.2374606853,0,0.6146222884,0,0,0,1,0.8399271644,0.1736878599,0.1805099959,0.04425845036,0,0,1.278,1,0.3917541934,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
card_change_after_decline_ratio_7d,card diversity / card switching,16325,12082,0.01390096988,0,0.1090574246,0,0,0,0,0.9824808576,0,0,0,0,0,0,0,1,0.01390096988,0.1668520352,0.01751914242,0,0,0.3356666667,0.25,0.3189218343,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
gap_variability,temporal shape,16325,12082,8998.519681,0,43779.04432,0,0,0,15965.13367,0.8197243492,20705.80428,0,90344.17625,0,0,1720.249897,3422.204304,0.7449097831,11707.2846,0.1044141354,0.1323337084,0,0,10.81810072,0,18309.51016,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
retry_after_decline_ratio_24h,failure / success history,16325,12082,0.07342155751,0,0.2020803269,0,0,0,0.5,0.871914242,0.1611488164,0,0.3232149296,0,0,0,0.6666666667,0.7790928654,0.08772725891,0.09886182955,0.113024861,0.1432561852,0,0.1211666667,0,0.1221560328,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
devices_per_ip_24h,IP / shared-network history,16325,12082,1.169862175,1,1.457516748,1,1,1,1,0,1.00993213,1,0.1236827438,1,1,1,1,0,0.1599300441,0.07896833714,0.01575439702,38.95610535,38,1.016,1,22.62611695,1,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
amount_delta,amount / transaction context,16325,12082,92.56096172,0,48661.38846,-2108.82,-233.19,186.83,1985.424,0.3921592649,-132.3463201,0,43513.61562,-4225.744,-265.8725,273.1425,4153.207,0.248303261,224.9072819,0.05172196561,0.07733601401,0.6504070231,0,0,0,67.27867534,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
customer_distinct_devices_7d,relationship / entity history,16325,12082,0.2596018377,0,0.4494685944,0,0,1,1,0.7449310873,0.2817414335,0,0.4498665899,0,0,1,1,0.7182585665,0.02213959587,0.0392556899,0.02667252083,0,0,0.699,1,0.2961279197,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
is_new_device,customer identity / continuity,16325,12082,0.1758039816,0,0.3806649682,0,0,0,1,0.8241960184,0.248303261,0,0.4320465269,0,0,0,1,0.751696739,0.07249927943,0.03170803911,0.07249927943,0.3990422985,0,0.25,0,0.1959554789,0,higher in PBRSS ordinary,Request-row descriptive shift; higher in PBRSS ordinary. No model attribution inferred.
card_change_after_decline_7d,card diversity / card switching,16325,12082,0.02027565084,0,0.1596923269,0,0,0,0,0.9824808576,0,0,0,0,0,0,0,1,0.02027565084,0.02128984223,0.01751914242,0,0,0.75,0.5,0.7425928829,0,lower in PBRSS ordinary,Request-row descriptive shift; lower in PBRSS ordinary. No model attribution inferred.
