approach,family,attempt_recall,attempt_fpr,attempt_specificity,benchmark_precision,flag_rate,attack_devices,attack_detected,attack_never_detected,attack_device_recall,legitimate_devices,legitimate_flagged,legitimate_device_fpr,median_first_detection_attempt,p90_first_detection_attempt
no_sentinel,baseline,0.0,0.0,1.0,0.0,0.0,397,0,397,0.0,1769,0,0.0,,
count_requests_5m_ge_2,request_count,0.2373,0.1025,0.8975,0.6375,0.1607,397,152,245,0.3829,1769,193,0.1091,2.0,7.0
count_requests_5m_ge_3,request_count,0.1127,0.0349,0.9651,0.7101,0.0685,397,68,329,0.1713,1769,57,0.0322,3.0,7.0
count_requests_5m_ge_4,request_count,0.0713,0.016,0.984,0.7718,0.0399,397,40,357,0.1008,1769,27,0.0153,4.0,8.0
count_requests_5m_ge_5,request_count,0.0483,0.0082,0.9918,0.8182,0.0255,397,28,369,0.0705,1769,13,0.0073,5.0,7.0
count_requests_5m_ge_6,request_count,0.0357,0.0041,0.9959,0.8692,0.0177,397,22,375,0.0554,1769,8,0.0045,6.0,6.0
count_requests_24h_ge_3,request_count,0.6564,0.1532,0.8468,0.765,0.3704,397,329,68,0.8287,1769,259,0.1464,3.0,3.0
count_requests_24h_ge_4,request_count,0.5234,0.0751,0.9249,0.841,0.2686,397,297,100,0.7481,1769,124,0.0701,4.0,4.0
count_requests_24h_ge_5,request_count,0.4064,0.0381,0.9619,0.89,0.1971,397,260,137,0.6549,1769,65,0.0367,5.0,5.0
count_requests_24h_ge_6,request_count,0.3048,0.0192,0.9808,0.9233,0.1425,397,205,192,0.5164,1769,42,0.0237,6.0,6.0
count_requests_24h_ge_8,request_count,0.1587,0.0015,0.9985,0.9881,0.0693,397,137,260,0.3451,1769,5,0.0028,8.0,8.0
rules_ge_2,rules_only,0.4843,0.0387,0.9613,0.9047,0.231,397,280,117,0.7053,1769,66,0.0373,4.0,6.0
rules_ge_3,rules_only,0.347,0.0111,0.9889,0.9597,0.1561,397,209,188,0.5264,1769,20,0.0113,4.0,7.0
rules_ge_4,rules_only,0.2189,0.0073,0.9927,0.9581,0.0986,397,159,238,0.4005,1769,13,0.0073,5.0,8.0
rules_ge_5,rules_only,0.0541,0.0044,0.9956,0.9038,0.0258,397,31,366,0.0781,1769,7,0.004,5.0,7.0
rules_ge_6,rules_only,0.0284,0.0029,0.9971,0.881,0.0139,397,17,380,0.0428,1769,5,0.0028,6.0,7.4
model_ge_0.3,model_only,0.765,0.1875,0.8125,0.756,0.4368,397,358,39,0.9018,1769,328,0.1854,2.0,3.0
model_ge_0.4,model_only,0.7124,0.1441,0.8559,0.7896,0.3894,397,350,47,0.8816,1769,260,0.147,3.0,4.0
model_ge_0.5,model_only,0.6315,0.0821,0.9179,0.8538,0.3193,397,340,57,0.8564,1769,142,0.0803,3.0,5.0
model_ge_0.6,model_only,0.5548,0.0483,0.9517,0.8971,0.267,397,326,71,0.8212,1769,82,0.0464,4.0,5.0
model_ge_0.7,model_only,0.4628,0.0207,0.9793,0.9444,0.2115,397,287,110,0.7229,1769,43,0.0243,4.0,6.0
model_ge_0.8,model_only,0.2803,0.0032,0.9968,0.9852,0.1228,397,198,199,0.4987,1769,7,0.004,6.0,8.0
model_ge_0.5_or_rules_ge_4,model_and_rules,0.6315,0.0824,0.9176,0.8534,0.3194,397,340,57,0.8564,1769,143,0.0808,3.0,5.0
model_ge_0.5_or_rules_ge_5,model_and_rules,0.6315,0.0821,0.9179,0.8538,0.3193,397,340,57,0.8564,1769,142,0.0803,3.0,5.0
model_ge_0.6_or_rules_ge_4,model_and_rules,0.5548,0.0486,0.9514,0.8965,0.2671,397,326,71,0.8212,1769,83,0.0469,4.0,5.0
model_ge_0.6_or_rules_ge_5,model_and_rules,0.5548,0.0483,0.9517,0.8971,0.267,397,326,71,0.8212,1769,82,0.0464,4.0,5.0
model_ge_0.7_or_rules_ge_4,model_and_rules,0.4647,0.0221,0.9779,0.941,0.2132,397,288,109,0.7254,1769,45,0.0254,4.0,6.0
model_ge_0.7_or_rules_ge_5,model_and_rules,0.4636,0.0207,0.9793,0.9445,0.2119,397,287,110,0.7229,1769,43,0.0243,4.0,6.0
