event_id,request_id,device_id,request_index,action,raw_probability,calibrated_probability,rule_score,accumulated_risk,high_risk_count,consecutive_high_count,evidence_count,reason_codes,timestamp,event_sequence,session_id,label,population,attack_subtype,scenario_tag
blind_20260828_evt_0003080,blind_20260828_req_0001130,blind_20260828_dev_0000913,1,allow,0.160072795454,0.0250286633218,0,0.0250286633218,0,0,0,,2026-07-01T00:22:37+00:00,3080,blind_20260828_dev_0000913_s1,0,normal,,normal_standard
blind_20260828_evt_0005714,blind_20260828_req_0002162,blind_20260828_dev_0001533,1,allow,0.154501228413,0.0193933904297,0,0.0193933904297,0,0,0,,2026-07-01T00:33:40+00:00,5714,blind_20260828_dev_0001533_s1,0,flash_sale,,flash_standard
blind_20260828_evt_0000949,blind_20260828_req_0000349,blind_20260828_dev_0000282,1,allow,0.247133743912,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T00:35:03+00:00,949,blind_20260828_dev_0000282_s1,0,normal,,normal_standard
blind_20260828_evt_0003752,blind_20260828_req_0001381,blind_20260828_dev_0001098,1,allow,0.229290280245,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T00:48:26+00:00,3752,blind_20260828_dev_0001098_s1,0,normal,,normal_standard
blind_20260828_evt_0005621,blind_20260828_req_0002128,blind_20260828_dev_0001506,1,allow,0.116384254142,0.00548001258357,0,0.00548001258357,0,0,0,,2026-07-01T00:53:04+00:00,5621,blind_20260828_dev_0001506_s1,0,flash_sale,,flash_standard
blind_20260828_evt_0003261,blind_20260828_req_0001198,blind_20260828_dev_0000965,1,allow,0.250345600939,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T01:47:33+00:00,3261,blind_20260828_dev_0000965_s1,0,normal,,normal_standard
blind_20260828_evt_0000499,blind_20260828_req_0000181,blind_20260828_dev_0000144,1,allow,0.253193371983,0.0690182853703,0,0.0690182853703,0,0,0,,2026-07-01T02:28:30+00:00,499,blind_20260828_dev_0000144_s1,0,normal,,normal_standard
blind_20260828_evt_0000204,blind_20260828_req_0000073,blind_20260828_dev_0000059,1,allow,0.237477821091,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T03:29:13+00:00,204,blind_20260828_dev_0000059_s1,0,normal,,normal_standard
blind_20260828_evt_0009040,blind_20260828_req_0003722,blind_20260828_dev_0001810,1,allow,0.19775968889,0.0250286633218,0,0.0250286633218,0,0,0,,2026-07-01T03:35:01+00:00,9040,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009042,blind_20260828_req_0003723,blind_20260828_dev_0001810,2,allow,0.508443227606,0.284737559009,0,0.309766107592,0,0,0,,2026-07-01T03:35:05+00:00,9042,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009044,blind_20260828_req_0003724,blind_20260828_dev_0001810,3,allow,0.739886318536,0.474791810673,0,0.784556853219,0,0,1,high_risk_with_card_diversity,2026-07-01T03:35:08+00:00,9044,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009046,blind_20260828_req_0003725,blind_20260828_dev_0001810,4,allow,0.843839877483,0.756035578145,2,1.5405915322,1,1,1,high_risk_with_card_diversity,2026-07-01T03:35:09+00:00,9046,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009048,blind_20260828_req_0003726,blind_20260828_dev_0001810,5,allow,0.952463540882,0.978665935245,3,2.51925040492,2,2,3,high_risk_with_card_diversity|high_risk_with_card_switching|persistent_high_model_risk,2026-07-01T03:35:13+00:00,9048,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009050,blind_20260828_req_0003727,blind_20260828_dev_0001810,6,review,0.970987548211,1,3,3.51924463042,3,3,3,persistent_high_model_risk|high_risk_with_card_diversity|high_risk_with_card_switching,2026-07-01T03:35:15+00:00,9050,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0009052,blind_20260828_req_0003728,blind_20260828_dev_0001810,7,block,0.977348616027,1,5,4.5192405971,4,4,4,persistent_high_model_risk|high_risk_with_card_diversity|high_risk_with_card_switching|high_risk_with_ip_rotation,2026-07-01T03:35:16+00:00,9052,blind_20260828_dev_0001810_s1,1,attack,burst,attack_burst
blind_20260828_evt_0005192,blind_20260828_req_0001974,blind_20260828_dev_0001375,1,allow,0.15659569239,0.0193933904297,0,0.0193933904297,0,0,0,,2026-07-01T03:56:46+00:00,5192,blind_20260828_dev_0001375_s1,0,flash_sale,,flash_standard
blind_20260828_evt_0003010,blind_20260828_req_0001105,blind_20260828_dev_0000891,1,allow,0.251630302281,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T04:14:35+00:00,3010,blind_20260828_dev_0000891_s1,0,normal,,normal_standard
blind_20260828_evt_0003765,blind_20260828_req_0001386,blind_20260828_dev_0001102,1,allow,0.183576602549,0.0250286633218,0,0.0250286633218,0,0,0,,2026-07-01T04:25:51+00:00,3765,blind_20260828_dev_0001102_s1,0,normal,,normal_standard
blind_20260828_evt_0001694,blind_20260828_req_0000623,blind_20260828_dev_0000505,1,allow,0.147806462367,0.0193933904297,0,0.0193933904297,0,0,0,,2026-07-01T04:27:59+00:00,1694,blind_20260828_dev_0000505_s1,0,normal,,normal_standard
blind_20260828_evt_0000443,blind_20260828_req_0000161,blind_20260828_dev_0000129,1,allow,0.242615367092,0.028783095908,0,0.028783095908,0,0,0,,2026-07-01T04:29:44+00:00,443,blind_20260828_dev_0000129_s1,0,normal,,normal_standard
blind_20260828_evt_0001258,blind_20260828_req_0000462,blind_20260828_dev_0000378,1,allow,0.213551838036,0.0259720802764,0,0.0259720802764,0,0,0,,2026-07-01T05:06:40+00:00,1258,blind_20260828_dev_0000378_s1,0,normal,,normal_standard
