scenario,population,devices,reviewed_devices,blocked_devices,median_first_review,median_first_block,review_or_higher_rate,block_rate,measure,requests
burst_pause_burst,attack,46,41,41,4.0,6.0,0.8913,0.8913,attack_recall,424
merchant_normal_amounts,attack,47,39,30,4.0,6.0,0.8298,0.6383,attack_recall,303
variable_cadence,attack,30,25,19,4.0,5.0,0.8333,0.6333,attack_recall,226
campaign_shadow,attack,40,35,24,4.0,6.0,0.875,0.6,attack_recall,324
successful_card_camouflage,attack,40,34,24,4.0,7.0,0.85,0.6,attack_recall,300
moderate_mixed_rotation,attack,37,33,22,4.0,6.0,0.8919,0.5946,attack_recall,218
long_warm_up,attack,42,25,14,8.0,9.5,0.5952,0.3333,attack_recall,388
cross_device_campaign,attack,121,67,40,3.0,4.0,0.5537,0.3306,attack_recall,464
sparse_multiday,attack,48,18,2,4.5,7.5,0.375,0.0417,attack_recall,287
ultra_patient_tester,attack,40,8,0,5.5,,0.2,0.0,attack_recall,185
persistent_genuine_failures,legitimate,81,38,13,4.0,6.0,0.4691,0.1605,legitimate_false_positive_rate,273
unstable_connection_retries,legitimate,75,14,3,3.5,6.0,0.1867,0.04,legitimate_false_positive_rate,165
mobile_network_churn,legitimate,174,20,4,3.0,5.0,0.1149,0.023,legitimate_false_positive_rate,343
multi_session_comparison_shopper,legitimate,370,44,8,4.0,5.5,0.1189,0.0216,legitimate_false_positive_rate,953
high_value_retry,legitimate,52,5,1,3.0,4.0,0.0962,0.0192,legitimate_false_positive_rate,92
campaign_rush,legitimate,140,11,1,4.0,7.0,0.0786,0.0071,legitimate_false_positive_rate,282
dormant_returning_customer,legitimate,416,14,1,3.0,5.0,0.0337,0.0024,legitimate_false_positive_rate,754
cold_start_wave,legitimate,768,1,0,2.0,,0.0013,0.0,legitimate_false_positive_rate,912
dunning_variant,legitimate,42,1,0,4.0,,0.0238,0.0,legitimate_false_positive_rate,87
event_venue_burst,legitimate,282,7,0,3.0,,0.0248,0.0,legitimate_false_positive_rate,391
