feature,development_median,blind_median,development_p90,blind_p90,psi,ks,overlap_coefficient
current_amount,862.525,733.69,17832.868,19848.694,0.1696,0.0828,0.9868
seconds_since_last_success,0.0,0.0,14971.338,1926.968,0.0576,0.0607,0.9904
low_amount_ratio_24h,0.0,0.0,0.2,0.0,0.0564,0.0685,0.9314
retry_after_decline_ratio_24h,0.0,0.0,0.25,0.75,0.0286,0.0569,0.9429
amount_variation_24h,1.8746,41.6283,3767.4611,7282.645,0.0259,0.0477,0.9741
distinct_card_last4_7d,1.0,0.0,3.0,2.0,0.0245,0.0568,0.9429
distinct_card_networks_7d,1.0,0.0,2.0,2.0,0.023,0.0554,0.9442
seconds_since_last_request,238.4352,151.2471,78061.2479,32273.3731,0.0225,0.0423,0.9901
seconds_since_last_payment,238.4352,151.6115,78061.2479,32294.2443,0.0224,0.0423,0.9901
recent_failures_24h,0.0,0.0,4.0,4.0,0.0189,0.0587,0.9302
card_change_after_decline_7d,0.0,0.0,1.0,1.0,0.0182,0.0466,0.9532
successful_checkouts,0.0,0.0,1.0,1.0,0.0159,0.0485,0.9393
session_age_seconds,0.0,0.0,41077.8257,22956.5322,0.0155,0.034,0.9856
device_age_seconds,706.4959,548.358,159204.0971,104804.4563,0.0147,0.0243,0.9832
ip_changes_24h,0.0,0.0,1.0,1.0,0.0142,0.0487,0.9506
sessions_24h,1.0,1.0,3.0,3.0,0.013,0.0269,0.9528
decline_streak,0.0,0.0,4.0,4.0,0.0103,0.0465,0.9501
failure_ratio_24h,0.0,0.0,1.0,1.0,0.0088,0.0587,0.9303
requests_5m,1.0,1.0,2.0,2.0,0.0042,0.0246,0.9628
requests_24h,2.0,2.0,7.0,7.0,0.0039,0.0285,0.9686
prior_payments_24h,1.0,1.0,6.0,6.0,0.0038,0.0283,0.9688
amount_delta,0.0,0.0,1284.069,1515.628,0.0026,0.0167,0.9898
requests_per_ip_5m,1.0,1.0,2.0,2.0,0.0019,0.0154,0.9795
ip_rotation_ratio_24h,0.6667,0.6667,1.0,1.0,0.0011,0.011,0.9766
is_new_device,0.0,0.0,1.0,1.0,0.0,0.0025,0.9975
devices_per_ip_24h,1.0,1.0,1.0,2.0,0.0,0.058,0.942
requests_60s,1.0,1.0,1.0,1.0,0.0,0.0332,0.9609
requests_10s,1.0,1.0,1.0,1.0,0.0,0.0061,0.993
