baseline,baseline_family,baseline_recall,baseline_fpr,model_fixed_threshold,model_recall,model_fpr,fpr_gap,recall_difference
count_requests_5m_ge_2,request_count,0.215,0.1216,0.8,0.67875,0.12875,0.00715,0.46375
count_requests_5m_ge_3,request_count,0.0938,0.0372,0.9,0.48625,0.064375,0.027175,0.39245
count_requests_5m_ge_4,request_count,0.0663,0.0122,0.9,0.48625,0.064375,0.052175,0.41995
count_requests_5m_ge_5,request_count,0.0488,0.0019,0.9,0.48625,0.064375,0.062475,0.43745
count_requests_5m_ge_6,request_count,0.0325,0.0,0.9,0.48625,0.064375,0.064375,0.45375
count_requests_24h_ge_3,request_count,0.4688,0.3403,0.3,0.85,0.358438,0.018138,0.3812
count_requests_24h_ge_4,request_count,0.3575,0.2016,0.6,0.76375,0.2025,0.0009,0.40625
count_requests_24h_ge_5,request_count,0.3063,0.1434,0.75,0.705,0.149062,0.005662,0.3987
count_requests_24h_ge_6,request_count,0.2675,0.0878,0.9,0.48625,0.064375,-0.023425,0.21875
count_requests_24h_ge_8,request_count,0.1925,0.0291,0.9,0.48625,0.064375,0.035275,0.29375
failures_7d_ge_1,long_horizon_count,0.7375,0.3272,0.3,0.85,0.358438,0.031238,0.1125
failures_7d_ge_2,long_horizon_count,0.44,0.1512,0.75,0.705,0.149062,-0.002138,0.265
failures_7d_ge_3,long_horizon_count,0.3312,0.0847,0.9,0.48625,0.064375,-0.020325,0.15505
failures_7d_ge_4,long_horizon_count,0.2587,0.045,0.9,0.48625,0.064375,0.019375,0.22755
failures_7d_ge_6,long_horizon_count,0.1688,0.0203,0.9,0.48625,0.064375,0.044075,0.31745
customer_devices_7d_ge_2,cross_device_count,0.3425,0.1834,0.7,0.72375,0.166563,-0.016837,0.38125
customer_devices_7d_ge_3,cross_device_count,0.2562,0.0966,0.8,0.67875,0.12875,0.03215,0.42255
customer_devices_7d_ge_4,cross_device_count,0.2037,0.0284,0.9,0.48625,0.064375,0.035975,0.28255
rules_ge_2,rules_only,0.2675,0.0872,0.9,0.48625,0.064375,-0.022825,0.21875
rules_ge_3,rules_only,0.1537,0.0344,0.9,0.48625,0.064375,0.029975,0.33255
rules_ge_4,rules_only,0.0775,0.0175,0.9,0.48625,0.064375,0.046875,0.40875
rules_ge_5,rules_only,0.0325,0.0019,0.9,0.48625,0.064375,0.062475,0.45375
rules_ge_6,rules_only,0.02,0.0,0.9,0.48625,0.064375,0.064375,0.46625
