scenario,population,devices,requests,reviewed_devices,blocked_devices,review_or_higher_rate,block_rate,never_detected_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt
burst_pause_burst_v2,attack,24,284,23,22,0.958333,0.916667,1.0,5.0,6.0,7.0,8.9
cross_device_partial,attack,133,378,54,5,0.406015,0.037594,79.0,3.0,4.0,3.0,5.2
cross_device_strong,attack,184,407,139,86,0.755435,0.467391,45.0,2.0,2.0,2.0,3.5
cross_device_weak_guest,attack,101,274,21,1,0.207921,0.009901,80.0,4.0,6.0,3.0,3.0
fast_burst_v2,attack,29,330,28,21,0.965517,0.724138,1.0,5.0,6.0,9.0,11.0
merchant_normal_amount_attack,attack,30,275,29,19,0.966667,0.633333,1.0,4.0,5.2,7.0,9.0
mixed_campaign_behavior,attack,24,268,21,15,0.875,0.625,3.0,5.0,8.0,9.0,10.0
patient_tester_v2,attack,46,160,41,13,0.891304,0.282609,5.0,2.0,2.0,3.0,4.0
session_churn_v2,attack,27,284,25,20,0.925926,0.740741,2.0,4.0,5.0,7.0,9.0
sparse_multiday_v2,attack,69,185,60,11,0.869565,0.15942,9.0,2.0,2.0,3.0,4.0
success_camouflage_v2,attack,28,304,28,19,1.0,0.678571,0.0,5.0,7.0,9.0,11.0
ultra_patient_v2,attack,45,141,39,4,0.866667,0.088889,6.0,2.0,2.0,5.5,6.7
variable_cadence_v2,attack,29,313,29,26,1.0,0.896552,0.0,4.0,5.2,5.0,7.5
warm_up_then_attack_v2,attack,31,393,27,11,0.870968,0.354839,4.0,10.0,13.4,12.0,16.0
campaign_rush_v2,legitimate,153,580,13,0,0.084967,0.0,,4.0,5.8,,
campus_office_shared_network,legitimate,351,747,9,0,0.025641,0.0,,5.0,5.2,,
dormant_returning_customer_v2,legitimate,166,924,0,0,0.0,0.0,,,,,
high_value_retry_v2,legitimate,120,417,54,8,0.45,0.066667,,3.0,4.0,3.0,4.3
household_shared_ip,legitimate,410,527,5,0,0.012195,0.0,,2.0,3.0,,
micro_payment_regular,legitimate,178,816,22,1,0.123596,0.005618,,5.0,6.0,6.0,6.0
mobile_network_churn_v2,legitimate,164,685,30,2,0.182927,0.012195,,4.0,5.0,5.0,5.8
multi_device_customer_v2,legitimate,616,1163,42,0,0.068182,0.0,,2.0,4.0,,
network_retry_storm_v2,legitimate,116,811,88,25,0.758621,0.215517,,5.0,7.0,9.0,9.6
new_guest_checkout,legitimate,411,605,0,0,0.0,0.0,,,,,
persistent_card_problem_v2,legitimate,100,676,86,34,0.86,0.34,,4.0,6.0,7.0,8.0
returning_long_history,legitimate,287,1982,1,0,0.003484,0.0,,6.0,6.0,,
subscription_dunning_v2,legitimate,128,1435,127,93,0.992188,0.726562,,7.0,9.0,8.0,11.0
