feature,development_median,blind_v2_median,development_p90,blind_v2_p90,psi,ks,overlap_coefficient
device_age_seconds,157135.3673,7846.8562,1464302.9424,6084837.1252,0.9358,0.247,0.8026
customer_age_seconds,0.0,0.0,841424.7661,4802032.9806,0.5285,0.1353,0.8648
active_day_count_7d,1.0,1.0,3.0,2.0,0.4269,0.2913,0.7087
gap_variability,0.0,0.0,2.0302,1.062,0.3542,0.2108,0.7867
session_age_seconds,0.0,0.0,2142.8689,37319.0396,0.3271,0.219,0.9214
current_amount,1125.08,4320.94,21004.334,52738.869,0.2887,0.2145,0.889
seconds_since_last_payment,1092.3229,1641.4124,499762.7378,1219403.7691,0.2432,0.0962,0.9039
seconds_since_last_request,1091.8512,1641.4124,499762.7378,1219403.7691,0.2431,0.0962,0.9039
requests_7d,3.0,2.0,10.0,6.0,0.193,0.1488,0.8512
failures_7d,1.0,0.0,7.0,3.0,0.1786,0.1397,0.8603
median_gap_between_attempts,388.0613,0.0,237421.802,248835.4928,0.1721,0.1608,0.882
seconds_since_last_success,0.0,4.0234,541040.8492,1313780.9395,0.1626,0.1017,0.902
decline_streak,0.0,0.0,6.0,3.0,0.1255,0.1168,0.8832
failures_per_active_day_7d,0.3333,0.0,3.5,3.0,0.109,0.1337,0.8694
failure_ratio_24h,0.0,0.0,1.0,1.0,0.0965,0.1316,0.8684
customer_failures_7d,0.0,0.0,4.0,2.0,0.0905,0.0872,0.9128
amount_delta,0.0,0.0,4390.961,10069.806,0.086,0.0569,0.9443
successful_checkouts_30d,0.0,0.0,3.0,2.0,0.0804,0.0805,0.8753
amount_variation_24h,0.0,0.0,5793.3941,17561.618,0.0795,0.0957,0.9343
distinct_card_last4_7d,1.0,0.0,3.0,2.0,0.0792,0.0953,0.9047
distinct_card_networks_7d,1.0,0.0,2.0,1.0,0.0694,0.0953,0.9047
card_change_after_decline_7d,0.0,0.0,1.0,0.0,0.0495,0.0707,0.9293
recent_failures_24h,0.0,0.0,3.0,3.0,0.0339,0.083,0.9154
customer_successful_checkouts_30d,0.0,0.0,2.0,2.0,0.0314,0.0601,0.9169
sessions_24h,1.0,1.0,3.0,2.0,0.0287,0.0655,0.9345
requests_per_ip_5m,1.0,1.0,2.0,1.0,0.0275,0.0531,0.9469
devices_per_ip_24h,1.0,1.0,2.0,1.0,0.0264,0.0454,0.9546
requests_5m,1.0,1.0,2.0,2.0,0.0213,0.0483,0.9517
ip_changes_24h,0.0,0.0,1.0,1.0,0.0204,0.0492,0.9508
prior_payments_24h,1.0,0.0,4.0,5.0,0.0134,0.0312,0.9514
requests_24h,2.0,1.0,5.0,6.0,0.0133,0.0309,0.9514
customer_distinct_devices_7d,1.0,1.0,1.0,1.0,0.007,0.0408,0.9552
ip_rotation_ratio_24h,1.0,1.0,1.0,1.0,0.0004,0.0328,0.9501
low_amount_ratio_24h,0.0,0.0,0.0,0.0,0.0,0.0099,0.9894
customer_id_present,1.0,1.0,1.0,1.0,0.0,0.0408,0.9592
is_new_device,0.0,0.0,1.0,1.0,0.0,0.0509,0.9491
retry_after_decline_ratio_24h,0.0,0.0,0.0,0.125,0.0,0.0089,0.9851
requests_60s,1.0,1.0,1.0,1.0,0.0,0.0144,0.9856
requests_10s,1.0,1.0,1.0,1.0,0.0,0.0085,0.9915
