scenario,population,devices,reviewed_devices,blocked_devices,median_first_review,median_first_block,review_or_higher_rate,block_rate,measure
merchant_typical_amounts,attack,26,26,22,4.0,7.5,1.0,0.8462,attack_recall
session_churn,attack,33,30,26,4.0,7.0,0.9091,0.7879,attack_recall
successful_card_camouflage,attack,30,27,22,5.0,10.5,0.9,0.7333,attack_recall
fast_burst,attack,28,24,19,5.0,8.0,0.8571,0.6786,attack_recall
sparse_multiday_tester,attack,42,39,28,5.0,10.0,0.9286,0.6667,attack_recall
slow_drip,attack,50,46,33,4.0,7.0,0.92,0.66,attack_recall
flash_sale_camouflage,attack,34,30,22,4.0,8.0,0.8824,0.6471,attack_recall
cross_device_campaign,attack,164,135,77,2.0,3.0,0.8232,0.4695,attack_recall
patient_tester_weeks,attack,37,33,17,5.0,10.0,0.8919,0.4595,attack_recall
warm_up_then_test,attack,24,19,11,14.0,21.0,0.7917,0.4583,attack_recall
persistent_card_problem_customer,legitimate,75,9,4,4.0,11.0,0.12,0.0533,legitimate_false_positive_rate
network_retry_storm,legitimate,63,10,3,5.5,10.0,0.1587,0.0476,legitimate_false_positive_rate
subscription_dunning,legitimate,71,21,3,6.0,12.0,0.2958,0.0423,legitimate_false_positive_rate
micro_payment_customer,legitimate,100,10,3,5.5,11.0,0.1,0.03,legitimate_false_positive_rate
shared_network_customer,legitimate,166,7,3,4.0,10.0,0.0422,0.0181,legitimate_false_positive_rate
multi_device_customer,legitimate,353,14,2,4.0,8.5,0.0397,0.0057,legitimate_false_positive_rate
returning_customer_multi_episode,legitimate,370,18,1,6.0,11.0,0.0486,0.0027,legitimate_false_positive_rate
cold_start_guest,legitimate,402,0,0,,,0.0,0.0,legitimate_false_positive_rate
flash_sale_customer,legitimate,83,3,0,3.0,,0.0361,0.0,legitimate_false_positive_rate
household_shared_device,legitimate,107,9,0,5.0,,0.0841,0.0,legitimate_false_positive_rate
logged_in_new_customer,legitimate,154,6,0,5.0,,0.039,0.0,legitimate_false_positive_rate
long_dormant_returner,legitimate,96,0,0,,,0.0,0.0,legitimate_false_positive_rate
mobile_network_churn,legitimate,93,6,0,6.0,,0.0645,0.0,legitimate_false_positive_rate
