scenario,population,devices,flagged_devices,median_detection_attempt,p90_detection_attempt,requests,never_flagged_devices,flagged_device_rate,recall_or_fpr
session_churn,attack,34,33,3.0,4.0,295,1,0.9706,recall
fast_burst,attack,21,20,4.0,4.0,188,1,0.9524,recall
merchant_typical_amounts,attack,39,36,4.0,5.0,273,3,0.9231,recall
slow_drip,attack,45,40,4.0,5.0,310,5,0.8889,recall
flash_sale_camouflage,attack,34,30,4.0,4.0,246,4,0.8824,recall
bounded_ip_rotation,attack,40,34,3.0,4.0,283,6,0.85,recall
warm_up_then_test,attack,35,28,6.5,8.0,286,7,0.8,recall
low_and_slow,attack,44,35,4.0,5.0,214,9,0.7955,recall
device_rotation_campaign,attack,68,48,3.0,4.0,311,20,0.7059,recall
patient_tester,attack,37,22,4.0,6.0,202,15,0.5946,recall
repeated_genuine_failures,legitimate,41,19,4.0,5.0,151,22,0.4634,false_positive_rate
network_retry_storm,legitimate,49,11,4.0,4.0,122,38,0.2245,false_positive_rate
flash_sale_customer,legitimate,78,11,4.0,4.0,161,67,0.141,false_positive_rate
failure_then_retry,legitimate,128,14,3.0,4.0,228,114,0.1094,false_positive_rate
micro_payment_customer,legitimate,90,7,3.0,5.0,326,83,0.0778,false_positive_rate
network_switch_customer,legitimate,72,5,4.0,4.6,134,67,0.0694,false_positive_rate
shared_household_device,legitimate,129,6,5.5,6.5,467,123,0.0465,false_positive_rate
payment_method_change,legitimate,68,3,3.0,3.8,121,65,0.0441,false_positive_rate
cold_start_customer,legitimate,405,4,3.0,3.0,550,401,0.0099,false_positive_rate
shared_network_customer,legitimate,166,1,3.0,3.0,217,165,0.006,false_positive_rate
returning_customer,legitimate,500,1,4.0,4.0,844,499,0.002,false_positive_rate
subscription_retry,legitimate,43,0,,,113,43,0.0,false_positive_rate
