threshold,attempt_recall,attempt_fpr,attempt_specificity,benchmark_precision,flag_rate,attack_devices,attack_detected,attack_never_detected,attack_device_recall,legitimate_devices,legitimate_flagged,legitimate_device_fpr,median_first_detection_attempt,p90_first_detection_attempt
0.05,0.8769,0.4869,0.5131,0.5777,0.6552,397,383,14,0.9647,1769,834,0.4715,2.0,2.0
0.1,0.8436,0.3538,0.6462,0.6442,0.5652,397,376,21,0.9471,1769,608,0.3437,2.0,2.0
0.15,0.8321,0.302,0.698,0.6766,0.5308,397,371,26,0.9345,1769,511,0.2889,2.0,2.0
0.2,0.806,0.2522,0.7478,0.7082,0.4912,397,368,29,0.927,1769,422,0.2386,2.0,3.0
0.25,0.7903,0.219,0.781,0.7327,0.4656,397,364,33,0.9169,1769,375,0.212,2.0,3.0
0.3,0.765,0.1875,0.8125,0.756,0.4368,397,358,39,0.9018,1769,328,0.1854,2.0,3.0
0.35,0.74,0.1616,0.8384,0.7767,0.4113,397,353,44,0.8892,1769,286,0.1617,2.0,4.0
0.4,0.7124,0.1441,0.8559,0.7896,0.3894,397,350,47,0.8816,1769,260,0.147,3.0,4.0
0.45,0.6687,0.1034,0.8966,0.8309,0.3474,397,344,53,0.8665,1769,181,0.1023,3.0,4.699999999999989
0.5,0.6315,0.0821,0.9179,0.8538,0.3193,397,340,57,0.8564,1769,142,0.0803,3.0,5.0
0.55,0.6005,0.0655,0.9345,0.8744,0.2964,397,336,61,0.8463,1769,115,0.065,3.0,5.0
0.6,0.5548,0.0483,0.9517,0.8971,0.267,397,326,71,0.8212,1769,82,0.0464,4.0,5.0
0.65,0.5211,0.0349,0.9651,0.9189,0.2448,397,313,84,0.7884,1769,65,0.0367,4.0,6.0
0.7,0.4628,0.0207,0.9793,0.9444,0.2115,397,287,110,0.7229,1769,43,0.0243,4.0,6.0
0.75,0.3865,0.0093,0.9907,0.9692,0.1721,397,246,151,0.6196,1769,19,0.0107,5.0,7.0
0.8,0.2803,0.0032,0.9968,0.9852,0.1228,397,198,199,0.4987,1769,7,0.004,6.0,8.0
0.85,0.0,0.0,1.0,0.0,0.0,397,0,397,0.0,1769,0,0.0,,
0.9,0.0,0.0,1.0,0.0,0.0,397,0,397,0.0,1769,0,0.0,,
0.95,0.0,0.0,1.0,0.0,0.0,397,0,397,0.0,1769,0,0.0,,
