device_id,fold
tra_dev_000001,2
tra_dev_000002,3
tra_dev_000003,4
tra_dev_000004,4
tra_dev_000005,1
tra_dev_000006,1
tra_dev_000007,1
tra_dev_000008,3
tra_dev_000009,2
tra_dev_000010,1
tra_dev_000011,4
tra_dev_000012,1
tra_dev_000013,1
tra_dev_000014,0
tra_dev_000015,0
tra_dev_000017,4
tra_dev_000019,1
tra_dev_000020,2
tra_dev_000021,0
tra_dev_000022,2
tra_dev_000023,2
tra_dev_000024,1
tra_dev_000025,2
tra_dev_000026,4
tra_dev_000027,2
tra_dev_000028,1
tra_dev_000029,3
tra_dev_000031,4
tra_dev_000032,0
tra_dev_000033,4
tra_dev_000034,0
tra_dev_000035,2
tra_dev_000036,1
tra_dev_000037,4
tra_dev_000038,0
tra_dev_000039,1
tra_dev_000040,0
tra_dev_000041,4
tra_dev_000042,4
tra_dev_000043,3
tra_dev_000044,2
tra_dev_000045,0
tra_dev_000046,2
tra_dev_000047,3
tra_dev_000048,1
tra_dev_000049,4
tra_dev_000050,2
tra_dev_000051,1
tra_dev_000052,2
tra_dev_000053,4
tra_dev_000054,0
tra_dev_000055,4
tra_dev_000056,0
tra_dev_000057,2
tra_dev_000058,1
tra_dev_000059,1
tra_dev_000060,1
tra_dev_000061,2
tra_dev_000062,4
tra_dev_000063,1
tra_dev_000064,3
tra_dev_000065,3
tra_dev_000066,1
tra_dev_000067,2
tra_dev_000068,4
tra_dev_000069,1
tra_dev_000070,1
tra_dev_000071,2
tra_dev_000072,2
tra_dev_000073,4
tra_dev_000074,3
tra_dev_000075,4
tra_dev_000076,4
tra_dev_000077,3
tra_dev_000078,2
tra_dev_000079,4
tra_dev_000080,1
tra_dev_000081,1
tra_dev_000082,0
tra_dev_000083,0
tra_dev_000084,2
tra_dev_000085,1
tra_dev_000086,1
tra_dev_000087,3
tra_dev_000088,4
tra_dev_000089,2
tra_dev_000090,0
tra_dev_000091,3
tra_dev_000092,4
tra_dev_000093,3
tra_dev_000094,2
tra_dev_000095,3
tra_dev_000096,1
tra_dev_000097,2
tra_dev_000098,0
tra_dev_000099,2
tra_dev_000100,3
tra_dev_000101,2
tra_dev_000102,1
tra_dev_000103,0
tra_dev_000104,2
tra_dev_000105,0
tra_dev_000106,2
tra_dev_000107,4
tra_dev_000108,2
tra_dev_000109,3
tra_dev_000110,0
tra_dev_000111,0
tra_dev_000112,4
tra_dev_000113,2
tra_dev_000114,4
tra_dev_000115,1
tra_dev_000116,3
tra_dev_000117,3
tra_dev_000118,3
tra_dev_000119,2
tra_dev_000120,4
tra_dev_000121,4
tra_dev_000122,1
tra_dev_000123,4
tra_dev_000124,1
tra_dev_000125,3
tra_dev_000126,3
tra_dev_000127,0
tra_dev_000128,1
tra_dev_000129,1
tra_dev_000130,4
tra_dev_000131,0
tra_dev_000132,3
tra_dev_000133,2
tra_dev_000134,3
tra_dev_000135,1
tra_dev_000136,0
tra_dev_000137,4
tra_dev_000138,3
tra_dev_000139,3
tra_dev_000140,1
tra_dev_000141,0
tra_dev_000142,2
tra_dev_000143,3
tra_dev_000144,1
tra_dev_000145,1
tra_dev_000146,0
tra_dev_000147,4
tra_dev_000148,0
tra_dev_000149,2
tra_dev_000151,1
tra_dev_000152,2
tra_dev_000154,2
tra_dev_000155,4
tra_dev_000156,4
tra_dev_000157,1
tra_dev_000158,4
tra_dev_000159,0
tra_dev_000160,4
tra_dev_000161,3
tra_dev_000162,2
tra_dev_000163,1
tra_dev_000164,2
tra_dev_000165,3
tra_dev_000166,0
tra_dev_000167,4
tra_dev_000168,3
tra_dev_000169,4
tra_dev_000170,3
tra_dev_000171,4
tra_dev_000172,4
tra_dev_000173,1
tra_dev_000174,1
tra_dev_000175,2
tra_dev_000176,2
tra_dev_000177,0
tra_dev_000178,0
tra_dev_000179,3
tra_dev_000180,0
tra_dev_000181,1
tra_dev_000182,4
tra_dev_000183,0
tra_dev_000184,4
tra_dev_000185,0
tra_dev_000186,1
tra_dev_000187,0
tra_dev_000188,3
tra_dev_000189,0
tra_dev_000190,2
tra_dev_000191,0
tra_dev_000192,1
tra_dev_000193,0
tra_dev_000194,3
tra_dev_000195,4
tra_dev_000196,0
tra_dev_000197,4
tra_dev_000198,2
tra_dev_000199,0
tra_dev_000200,3
tra_dev_000201,2
tra_dev_000202,0
tra_dev_000203,4
tra_dev_000204,2
tra_dev_000205,3
tra_dev_000206,2
tra_dev_000207,1
tra_dev_000208,1
tra_dev_000209,3
tra_dev_000210,2
tra_dev_000211,1
tra_dev_000212,4
tra_dev_000213,0
tra_dev_000214,1
tra_dev_000215,4
tra_dev_000216,3
tra_dev_000217,2
tra_dev_000218,4
tra_dev_000219,1
tra_dev_000220,1
tra_dev_000221,1
tra_dev_000222,3
tra_dev_000223,0
tra_dev_000224,2
tra_dev_000225,4
tra_dev_000226,3
tra_dev_000227,4
tra_dev_000228,0
tra_dev_000229,3
tra_dev_000230,4
tra_dev_000231,1
tra_dev_000232,3
tra_dev_000233,2
tra_dev_000234,4
tra_dev_000235,1
tra_dev_000236,3
tra_dev_000237,1
tra_dev_000238,1
tra_dev_000239,2
tra_dev_000240,2
tra_dev_000241,4
tra_dev_000242,0
tra_dev_000243,0
tra_dev_000244,1
tra_dev_000245,4
tra_dev_000246,4
tra_dev_000247,1
tra_dev_000248,3
tra_dev_000249,3
tra_dev_000250,2
tra_dev_000251,2
tra_dev_000252,4
tra_dev_000253,0
tra_dev_000254,4
tra_dev_000255,4
tra_dev_000256,2
tra_dev_000257,4
tra_dev_000258,1
tra_dev_000259,4
tra_dev_000260,0
tra_dev_000261,1
tra_dev_000262,0
tra_dev_000263,3
tra_dev_000264,3
tra_dev_000265,4
tra_dev_000266,2
tra_dev_000267,4
tra_dev_000268,0
tra_dev_000269,2
tra_dev_000270,1
tra_dev_000271,2
tra_dev_000272,4
tra_dev_000273,3
tra_dev_000274,0
tra_dev_000275,3
tra_dev_000276,3
tra_dev_000277,1
tra_dev_000278,3
tra_dev_000279,3
tra_dev_000280,0
tra_dev_000281,4
tra_dev_000282,4
tra_dev_000283,0
tra_dev_000284,0
tra_dev_000285,4
tra_dev_000286,1
tra_dev_000287,0
tra_dev_000288,3
tra_dev_000289,2
tra_dev_000290,4
tra_dev_000291,4
tra_dev_000292,3
tra_dev_000293,2
tra_dev_000294,2
tra_dev_000295,2
tra_dev_000296,4
tra_dev_000297,0
tra_dev_000298,0
tra_dev_000299,4
tra_dev_000300,4
tra_dev_000301,4
tra_dev_000302,2
tra_dev_000303,2
tra_dev_000304,2
tra_dev_000305,2
tra_dev_000306,2
tra_dev_000307,2
tra_dev_000308,3
tra_dev_000309,1
tra_dev_000310,0
tra_dev_000311,2
tra_dev_000312,1
tra_dev_000313,0
tra_dev_000314,1
tra_dev_000315,1
tra_dev_000316,4
tra_dev_000317,0
tra_dev_000318,2
tra_dev_000319,0
tra_dev_000320,4
tra_dev_000321,3
tra_dev_000322,1
tra_dev_000323,4
tra_dev_000324,4
tra_dev_000325,2
tra_dev_000326,3
tra_dev_000329,4
tra_dev_000330,3
tra_dev_000331,4
tra_dev_000332,0
tra_dev_000333,4
tra_dev_000334,1
tra_dev_000335,3
tra_dev_000336,2
tra_dev_000337,0
tra_dev_000338,1
tra_dev_000339,0
tra_dev_000340,3
tra_dev_000341,4
tra_dev_000342,3
tra_dev_000343,3
tra_dev_000344,3
tra_dev_000345,4
tra_dev_000346,0
tra_dev_000347,1
tra_dev_000348,3
tra_dev_000349,2
tra_dev_000350,3
tra_dev_000351,4
tra_dev_000352,2
tra_dev_000353,0
tra_dev_000354,0
tra_dev_000355,0
tra_dev_000356,0
tra_dev_000357,1
tra_dev_000358,3
tra_dev_000359,4
tra_dev_000360,1
tra_dev_000361,3
tra_dev_000362,3
tra_dev_000363,4
tra_dev_000364,1
tra_dev_000365,4
tra_dev_000366,3
tra_dev_000367,1
tra_dev_000368,0
tra_dev_000369,3
tra_dev_000370,0
tra_dev_000371,0
tra_dev_000372,4
tra_dev_000373,4
tra_dev_000374,3
tra_dev_000375,2
tra_dev_000376,0
tra_dev_000377,3
tra_dev_000378,4
tra_dev_000379,2
tra_dev_000381,3
tra_dev_000382,1
tra_dev_000383,4
tra_dev_000384,2
tra_dev_000385,1
tra_dev_000386,1
tra_dev_000387,3
tra_dev_000388,1
tra_dev_000389,4
tra_dev_000390,0
tra_dev_000391,4
tra_dev_000392,4
tra_dev_000393,2
tra_dev_000394,0
tra_dev_000395,4
tra_dev_000396,4
tra_dev_000397,4
tra_dev_000398,1
tra_dev_000399,2
tra_dev_000400,1
tra_dev_000401,1
tra_dev_000402,4
tra_dev_000403,1
tra_dev_000404,0
tra_dev_000405,1
tra_dev_000406,2
tra_dev_000407,4
tra_dev_000408,0
tra_dev_000409,1
tra_dev_000410,3
tra_dev_000411,1
tra_dev_000412,2
tra_dev_000413,4
tra_dev_000414,1
tra_dev_000415,2
tra_dev_000416,0
tra_dev_000417,1
tra_dev_000418,0
tra_dev_000419,1
tra_dev_000420,0
tra_dev_000421,1
tra_dev_000422,1
tra_dev_000423,4
tra_dev_000424,2
tra_dev_000425,3
tra_dev_000426,0
tra_dev_000427,2
tra_dev_000428,3
tra_dev_000429,1
tra_dev_000430,2
tra_dev_000431,3
tra_dev_000432,2
tra_dev_000433,4
tra_dev_000434,3
tra_dev_000435,0
tra_dev_000436,4
tra_dev_000437,4
tra_dev_000438,4
tra_dev_000439,0
tra_dev_000440,4
tra_dev_000441,3
tra_dev_000442,4
tra_dev_000443,1
tra_dev_000444,0
tra_dev_000445,2
tra_dev_000446,1
tra_dev_000447,3
tra_dev_000448,3
tra_dev_000449,2
tra_dev_000450,1
tra_dev_000451,0
tra_dev_000452,3
tra_dev_000453,2
tra_dev_000454,0
tra_dev_000455,4
tra_dev_000456,1
tra_dev_000457,1
tra_dev_000458,0
tra_dev_000459,4
tra_dev_000460,4
tra_dev_000461,4
tra_dev_000462,1
tra_dev_000463,3
tra_dev_000464,0
tra_dev_000465,2
tra_dev_000466,1
tra_dev_000467,3
tra_dev_000468,0
tra_dev_000469,2
tra_dev_000470,4
tra_dev_000471,0
tra_dev_000472,1
tra_dev_000473,1
tra_dev_000474,0
tra_dev_000475,4
tra_dev_000476,0
tra_dev_000477,1
tra_dev_000478,2
tra_dev_000479,1
tra_dev_000480,3
tra_dev_000481,1
tra_dev_000482,1
tra_dev_000483,4
tra_dev_000484,1
tra_dev_000485,0
tra_dev_000486,0
tra_dev_000487,4
tra_dev_000488,1
tra_dev_000489,3
tra_dev_000490,4
tra_dev_000491,0
tra_dev_000492,4
tra_dev_000493,2
tra_dev_000494,2
tra_dev_000495,4
tra_dev_000496,4
tra_dev_000497,2
tra_dev_000498,3
tra_dev_000499,1
tra_dev_000500,0
tra_dev_000501,0
tra_dev_000502,0
tra_dev_000503,4
tra_dev_000504,3
tra_dev_000505,2
tra_dev_000506,2
tra_dev_000507,1
tra_dev_000508,0
tra_dev_000509,0
tra_dev_000510,3
tra_dev_000511,1
tra_dev_000512,0
tra_dev_000513,4
tra_dev_000514,3
tra_dev_000515,2
tra_dev_000516,0
tra_dev_000517,2
tra_dev_000518,0
tra_dev_000519,1
tra_dev_000520,1
tra_dev_000521,3
tra_dev_000522,4
tra_dev_000523,0
tra_dev_000524,2
tra_dev_000525,4
tra_dev_000526,4
tra_dev_000527,1
tra_dev_000528,3
tra_dev_000529,4
tra_dev_000530,3
tra_dev_000531,4
tra_dev_000532,0
tra_dev_000533,4
tra_dev_000534,1
tra_dev_000535,0
tra_dev_000536,2
tra_dev_000537,4
tra_dev_000538,1
tra_dev_000539,4
tra_dev_000540,3
tra_dev_000541,1
tra_dev_000542,0
tra_dev_000543,2
tra_dev_000544,2
tra_dev_000545,0
tra_dev_000546,0
tra_dev_000547,0
tra_dev_000548,0
tra_dev_000549,2
tra_dev_000550,1
tra_dev_000551,3
tra_dev_000552,2
tra_dev_000553,0
tra_dev_000554,3
tra_dev_000555,2
tra_dev_000556,2
tra_dev_000557,1
tra_dev_000558,1
tra_dev_000559,1
tra_dev_000560,2
tra_dev_000561,1
tra_dev_000562,2
tra_dev_000563,2
tra_dev_000564,0
tra_dev_000565,3
tra_dev_000566,0
tra_dev_000567,3
tra_dev_000568,2
tra_dev_000569,1
tra_dev_000570,2
tra_dev_000571,1
tra_dev_000572,3
tra_dev_000573,2
tra_dev_000574,0
tra_dev_000575,1
tra_dev_000576,3
tra_dev_000577,1
tra_dev_000578,3
tra_dev_000579,2
tra_dev_000580,0
tra_dev_000581,2
tra_dev_000582,1
tra_dev_000583,4
tra_dev_000584,1
tra_dev_000585,1
tra_dev_000586,2
tra_dev_000587,3
tra_dev_000588,4
tra_dev_000589,4
tra_dev_000590,2
tra_dev_000591,2
tra_dev_000592,0
tra_dev_000593,4
tra_dev_000594,2
tra_dev_000595,1
tra_dev_000596,3
tra_dev_000597,4
tra_dev_000598,3
tra_dev_000599,0
tra_dev_000600,3
tra_dev_000601,3
tra_dev_000602,0
tra_dev_000603,0
tra_dev_000604,3
tra_dev_000605,4
tra_dev_000606,3
tra_dev_000607,3
tra_dev_000608,0
tra_dev_000609,4
tra_dev_000610,1
tra_dev_000611,4
tra_dev_000612,0
tra_dev_000613,2
tra_dev_000614,1
tra_dev_000615,0
tra_dev_000616,3
tra_dev_000617,3
tra_dev_000618,3
tra_dev_000619,1
tra_dev_000620,0
tra_dev_000621,3
tra_dev_000622,4
tra_dev_000623,4
tra_dev_000624,4
tra_dev_000625,3
tra_dev_000626,1
tra_dev_000627,2
tra_dev_000628,0
tra_dev_000629,0
tra_dev_000630,4
tra_dev_000631,4
tra_dev_000632,2
tra_dev_000633,4
tra_dev_000634,0
tra_dev_000635,0
tra_dev_000636,2
tra_dev_000637,1
tra_dev_000638,4
tra_dev_000639,4
tra_dev_000640,0
tra_dev_000641,3
tra_dev_000642,2
tra_dev_000643,0
tra_dev_000644,1
tra_dev_000645,1
tra_dev_000646,0
tra_dev_000647,1
tra_dev_000648,0
tra_dev_000649,4
tra_dev_000650,0
tra_dev_000651,4
tra_dev_000652,3
tra_dev_000653,0
