device_id,leakage_group_id,scenario,fold
t4_dev_005118,t4_act_003458,subscription_dunning_hard,1
t4_dev_003616,t4_act_002316,subscription_dunning_hard,1
t4_dev_002907,t4_act_001823,subscription_dunning_hard,1
t4_dev_006577,t4_act_004668,subscription_dunning_hard,4
t4_dev_007733,t4_act_005603,subscription_dunning_hard,2
t4_dev_003428,t4_act_002179,subscription_dunning_hard,0
t4_dev_003077,t4_act_001907,dormant_account_spike,4
t4_dev_008541,t4_act_006277,subscription_dunning_hard,2
t4_dev_004642,t4_act_003115,subscription_dunning_hard,4
t4_dev_003793,t4_act_002454,subscription_dunning_hard,3
t4_dev_006135,t4_act_004301,subscription_dunning_hard,0
t4_dev_000788,t4_act_000273,subscription_dunning_hard,0
t4_dev_000748,t4_act_000233,subscription_dunning_hard,3
t4_dev_006968,t4_act_004997,subscription_dunning_hard,3
t4_dev_003670,t4_act_002352,subscription_dunning_hard,2
t4_dev_001791,t4_act_001019,dormant_account_spike,0
t4_dev_000778,t4_act_000263,subscription_dunning_hard,1
t4_dev_005242,t4_act_003554,subscription_dunning_hard,1
t4_dev_007140,t4_act_005138,subscription_dunning_hard,0
t4_dev_001770,t4_act_001008,subscription_dunning_hard,2
t4_dev_004311,t4_act_002871,subscription_dunning_hard,2
t4_dev_008395,t4_act_006149,subscription_dunning_hard,3
t4_dev_004726,t4_act_003177,subscription_dunning_hard,0
t4_dev_000737,t4_act_000222,subscription_dunning_hard,2
t4_dev_000791,t4_act_000276,subscription_dunning_hard,3
t4_dev_003368,t4_act_002135,subscription_dunning_hard,2
t4_dev_003383,t4_act_002147,subscription_dunning_hard,4
t4_dev_002547,t4_act_001573,dormant_account_spike,0
t4_dev_008902,t4_act_006606,subscription_dunning_hard,3
t4_dev_005104,t4_act_003447,subscription_dunning_hard,4
t4_dev_006090,t4_act_004259,subscription_dunning_hard,3
t4_dev_002790,t4_act_001763,subscription_dunning_hard,4
t4_dev_000716,t4_act_000201,subscription_dunning_hard,2
t4_dev_000743,t4_act_000228,subscription_dunning_hard,2
t4_dev_003914,t4_act_002554,subscription_dunning_hard,4
t4_dev_007712,t4_act_005582,subscription_dunning_hard,4
t4_dev_000637,t4_act_000122,subscription_dunning_hard,3
t4_dev_003326,t4_act_002097,subscription_dunning_hard,0
t4_dev_001901,t4_act_001089,subscription_dunning_hard,2
t4_dev_000775,t4_act_000260,subscription_dunning_hard,0
t4_dev_000645,t4_act_000130,subscription_dunning_hard,1
t4_dev_008760,t4_act_006476,subscription_dunning_hard,1
t4_dev_000746,t4_act_000231,subscription_dunning_hard,1
t4_dev_000639,t4_act_000124,subscription_dunning_hard,4
t4_dev_006538,t4_act_004631,subscription_dunning_hard,1
t4_dev_006602,t4_act_004691,subscription_dunning_hard,2
t4_dev_008887,t4_act_006591,subscription_dunning_hard,0
t4_dev_006817,t4_act_004868,subscription_dunning_hard,4
t4_dev_005362,t4_act_003655,subscription_dunning_hard,1
t4_dev_000654,t4_act_000139,subscription_dunning_hard,4
t4_dev_005795,t4_act_004030,subscription_dunning_hard,2
t4_dev_006143,t4_act_004307,dormant_account_spike,1
t4_dev_003551,t4_act_002264,subscription_dunning_hard,3
t4_dev_000776,t4_act_000261,subscription_dunning_hard,0
t4_dev_001743,t4_act_000987,subscription_dunning_hard,2
