bin,lower,upper,rows,weight,mean_probability,observed_rate
0,0.0,0.1,10532,6614.141854505955,0.0259089552315122,0.025999693960692825
1,0.1,0.2,127,38.37481559290384,0.14253649844439112,0.16394820828100334
2,0.2,0.30000000000000004,86,21.017735858912328,0.22184440498382849,0.18587276831460697
3,0.30000000000000004,0.4,1789,342.8596501719861,0.3546971960324843,0.3516378433253578
4,0.4,0.5,595,104.47476853775028,0.43198672253301146,0.44064492430652047
5,0.5,0.6000000000000001,0,0.0,,
6,0.6000000000000001,0.7000000000000001,7,0.7590065681444992,0.6753872783205034,1.0
7,0.7000000000000001,0.8,352,42.54131519457943,0.7952479486992545,0.790707659416559
8,0.8,0.9,634,74.21720520170929,0.8501849566340876,0.8326180699764085
9,0.9,1.0,7216,761.6136483680596,0.9911333686356493,0.9913769135682736
