split,scenario_tag,population_label,device_count,flagged_review_or_block,never_flagged_false_negative,false_positive_count
train_oof,attack_burst,attacker,480,480,0.0,
train_oof,attack_evasive,attacker,360,360,0.0,
train_oof,attack_patient,attacker,360,360,0.0,
train_oof,flash_hard_retry,legitimate,400,29,,29.0
train_oof,flash_standard,legitimate,1200,3,,3.0
train_oof,normal_bad_luck,legitimate,400,57,,57.0
train_oof,normal_standard,legitimate,4800,15,,15.0
validation_development,attack_burst,attacker,120,120,0.0,
validation_development,attack_evasive,attacker,90,90,0.0,
validation_development,attack_patient,attacker,90,90,0.0,
validation_development,flash_hard_retry,legitimate,100,11,,11.0
validation_development,flash_standard,legitimate,300,1,,1.0
validation_development,normal_bad_luck,legitimate,100,31,,31.0
validation_development,normal_standard,legitimate,1200,6,,6.0
