fold,scenario_tag,label,row_count,recall_at_0.5,mean_calibrated_probability,false_positive_rate_at_0.5
0,attack_burst,attacker,1048,0.7872137404580153,0.8101377499161456,
1,attack_burst,attacker,1071,0.7861811391223156,0.8145128658850114,
2,attack_burst,attacker,1062,0.7542372881355932,0.8104798496450187,
3,attack_burst,attacker,987,0.7730496453900709,0.8100240613994273,
4,attack_burst,attacker,1015,0.774384236453202,0.8134355595038728,
0,attack_evasive,attacker,592,0.7297297297297297,0.7584167794278845,
1,attack_evasive,attacker,585,0.7316239316239316,0.7508892510116781,
2,attack_evasive,attacker,577,0.7244367417677643,0.7624286413735882,
3,attack_evasive,attacker,602,0.7142857142857143,0.7485464338418563,
4,attack_evasive,attacker,599,0.7228714524207012,0.7422751290650254,
0,attack_patient,attacker,540,0.7333333333333333,0.7255105799463738,
1,attack_patient,attacker,556,0.7320143884892086,0.7641114615369671,
2,attack_patient,attacker,549,0.5428051001821493,0.6820395659874815,
3,attack_patient,attacker,544,0.7279411764705882,0.7447680064269652,
4,attack_patient,attacker,583,0.7444253859348199,0.7583444026496274,
0,flash_hard_retry,legitimate,298,,0.17139067254269488,0.03691275167785235
1,flash_hard_retry,legitimate,290,,0.17288858359551518,0.03103448275862069
2,flash_hard_retry,legitimate,273,,0.20361183821796539,0.02197802197802198
3,flash_hard_retry,legitimate,286,,0.16478139003758294,0.006993006993006993
4,flash_hard_retry,legitimate,294,,0.1699168823456786,0.01020408163265306
0,flash_standard,legitimate,297,,0.031069826586121407,0.006734006734006734
1,flash_standard,legitimate,307,,0.0256914700710371,0.0
2,flash_standard,legitimate,299,,0.031046365154982415,0.0
3,flash_standard,legitimate,300,,0.02774769419807832,0.0033333333333333335
4,flash_standard,legitimate,297,,0.025710402752509492,0.0
0,normal_bad_luck,legitimate,285,,0.1986055449973629,0.05263157894736842
1,normal_bad_luck,legitimate,292,,0.1696354906791778,0.0273972602739726
2,normal_bad_luck,legitimate,306,,0.21630832164795827,0.0392156862745098
3,normal_bad_luck,legitimate,307,,0.18233677175704321,0.05211726384364821
4,normal_bad_luck,legitimate,297,,0.19837629889306524,0.06734006734006734
0,normal_standard,legitimate,1198,,0.030400639872233425,0.004173622704507512
1,normal_standard,legitimate,1212,,0.031545571482089405,0.004125412541254125
2,normal_standard,legitimate,1204,,0.02931642494023676,0.0
3,normal_standard,legitimate,1170,,0.02805866191861301,0.002564102564102564
4,normal_standard,legitimate,1216,,0.028946851716985196,0.001644736842105263
