split,scenario_tag,label,device_count,rules_only_flagged,ml_only_flagged,both_flagged,neither_flagged
train_oof,attack_burst,attacker,480,0,20,460,0
train_oof,attack_evasive,attacker,360,0,342,18,0
train_oof,attack_patient,attacker,360,0,267,93,0
train_oof,flash_hard_retry,legitimate,400,2,28,1,369
train_oof,flash_standard,legitimate,1200,0,3,0,1197
train_oof,normal_bad_luck,legitimate,400,11,49,8,332
train_oof,normal_standard,legitimate,4800,0,15,0,4785
validation_development,attack_burst,attacker,120,0,6,114,0
validation_development,attack_evasive,attacker,90,0,86,4,0
validation_development,attack_patient,attacker,90,0,65,25,0
validation_development,flash_hard_retry,legitimate,100,0,10,1,89
validation_development,flash_standard,legitimate,300,0,1,0,299
validation_development,normal_bad_luck,legitimate,100,2,27,4,67
validation_development,normal_standard,legitimate,1200,0,6,0,1194
