event_id,request_id,timestamp,device_id,session_id,prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active,prior_attempts_14d,distinct_cards_14d,amount_continuity_score_30d,amount_continuity_history_available,ip_rotation_ratio_24h,checkout_completion_lag_seconds,checkout_completion_lag_available,label,population,attack_subtype,scenario_tag
evt_0002263,req_0000843,2026-01-01T00:07:59+00:00,dev_0000663,dev_0000663_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,6.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0040005,req_0016154,2026-01-01T00:15:11+00:00,dev_0008776,dev_0008776_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,8.09,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0040007,req_0016155,2026-01-01T00:15:28+00:00,dev_0008776,dev_0008776_s1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,17,17,17,0,1,1,0,1,2,1,0,10.47,2.38,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0040009,req_0016156,2026-01-01T00:15:48+00:00,dev_0008776,dev_0008776_s1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,0,0,0,0,1,20,37,37,0,1,1,0,1,3,1,0,2.41,-8.06,1.19,0,0,0,0,2,1,-5.7731092437,1,1,0,0,1,attack,burst,attack_burst
evt_0040011,req_0016157,2026-01-01T00:15:59+00:00,dev_0008776,dev_0008776_s1,3,3,3,3,1,4,1,1,1,1,1,1,1,1,0,0,0,0,2,11,48,48,0,1,1,0,1,4,1,0,3.43,1.02,3.38116350783,0,0,0,0,3,1,-1.05289199761,1,1,0,0,1,attack,burst,attack_burst
evt_0040013,req_0016158,2026-01-01T00:16:15+00:00,dev_0008776,dev_0008776_s1,4,4,4,4,1,4,2,2,2,2,1,1,1,1,1,0.25,0.25,0,3,16,64,64,0,1,1,0,1,5,0,0,2.52,-0.91,3.30915397043,0,0,0,1,4,2,-1.0818475151,1,1,0,0,1,attack,burst,attack_burst
evt_0040015,req_0016159,2026-01-01T00:16:32+00:00,dev_0008776,dev_0008776_s1,5,5,5,5,1,4,2,2,2,2,1,1,1,1,0,0.2,0.2,0,4,17,81,81,0,1,1,0,1,6,0.2,1,25.55,23.03,3.28801216543,0,0,0,0,5,2,6.13318898635,1,1,0,0,1,attack,burst,attack_burst
evt_0055653,req_0023759,2026-01-01T00:17:18+00:00,dev_0009606,dev_0009606_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.11,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,patient,attack_patient
evt_0011601,req_0004283,2026-01-01T00:20:32+00:00,dev_0003405,dev_0003405_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,18.88,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0004430,req_0001646,2026-01-01T00:21:16+00:00,dev_0001307,dev_0001307_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,12.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0009540,req_0003524,2026-01-01T00:24:03+00:00,dev_0002798,dev_0002798_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.71,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0010164,req_0003757,2026-01-01T00:35:12+00:00,dev_0002979,dev_0002979_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,17.48,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0055655,req_0023760,2026-01-01T00:36:04+00:00,dev_0009606,dev_0009606_s1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,0,1,1,0,1126,1126,1126,0,1,1,0,1,1,0,0,6.63,-2.48,0,0,0,0,0,1,2,0,0,1,0,0,1,attack,patient,attack_patient
evt_0056164,req_0024005,2026-01-01T00:39:09+00:00,dev_0009640,dev_0009640_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,35.96,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,patient,attack_patient
evt_0056166,req_0024006,2026-01-01T00:47:53+00:00,dev_0009640,dev_0009640_s1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,524,524,524,0,1,1,0,1,1,1,0,5.65,-30.31,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,patient,attack_patient
evt_0005131,req_0001906,2026-01-01T00:49:10+00:00,dev_0001511,dev_0001511_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0010023,req_0003705,2026-01-01T01:04:38+00:00,dev_0002940,dev_0002940_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.44,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0003084,req_0001147,2026-01-01T01:11:47+00:00,dev_0000909,dev_0000909_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,13.51,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0043472,req_0017848,2026-01-01T01:17:04+00:00,dev_0008938,dev_0008938_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.63,0,0,0,0,0,1,0,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0043474,req_0017849,2026-01-01T01:17:06+00:00,dev_0008938,dev_0008938_s1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,0,1,1,0,1,2,1,0,10.57,-1.06,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0043476,req_0017850,2026-01-01T01:17:10+00:00,dev_0008938,dev_0008938_s1,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,0.5,0.5,0,1,4,6,6,0,1,1,0,1,3,0,0,12.25,1.68,0.53,0,0,0,0,2,2,2.16981132075,1,1,0,0,1,attack,burst,attack_burst
