left,right,pearson
prior_attempts_5m,prior_attempts_7d,0.64428278624
prior_attempts_5m,prospective_requests_10s,0.702319044065
prior_attempts_5m,prospective_requests_60s,0.896766857954
prior_attempts_5m,prior_decline_streak,0.338785578333
prior_attempts_5m,prior_decline_ratio_5m,0.486332926472
prior_attempts_5m,prior_decline_ratio_24h,0.407369770298
prior_attempts_5m,seconds_since_previous_authorization,-0.194639633624
prior_attempts_5m,session_age_seconds,-0.0400710100906
prior_attempts_5m,seconds_since_previous_session,-0.0876145462998
prior_attempts_5m,sessions_24h,-0.076881532255
prior_attempts_5m,sessions_7d,-0.113318112146
prior_attempts_5m,requests_per_ip_5m,0.623537423364
prior_attempts_5m,same_card_retry_ratio_24h,0.108589692402
prior_attempts_5m,prior_successful_checkouts,-0.115294661452
prior_attempts_5m,seconds_since_successful_checkout,-0.109772464066
prior_attempts_1h,prior_attempts_5m,0.93986605017
prior_attempts_1h,prior_attempts_24h,0.936415522706
prior_attempts_1h,prior_attempts_7d,0.696950455793
prior_attempts_1h,prospective_requests_10s,0.609736678178
prior_attempts_1h,prospective_requests_60s,0.791820209979
prior_attempts_1h,prior_decline_streak,0.362178421722
prior_attempts_1h,prior_decline_ratio_5m,0.472776083093
prior_attempts_1h,prior_decline_ratio_24h,0.43604132581
prior_attempts_1h,seconds_since_previous_authorization,-0.216047211876
prior_attempts_1h,session_age_seconds,0.206904166332
prior_attempts_1h,seconds_since_previous_session,-0.0522591006896
prior_attempts_1h,sessions_24h,-0.086821500638
prior_attempts_1h,sessions_7d,-0.0705586696169
prior_attempts_1h,requests_per_ip_5m,0.589675618728
prior_attempts_1h,same_card_retry_ratio_24h,0.12568156424
prior_attempts_1h,prior_successful_checkouts,-0.134693584114
prior_attempts_1h,seconds_since_successful_checkout,-0.128161145575
prior_attempts_24h,prior_attempts_5m,0.884190728359
prior_attempts_24h,prior_attempts_7d,0.759837890756
prior_attempts_24h,prospective_requests_10s,0.598400779178
prior_attempts_24h,prospective_requests_60s,0.754260351333
prior_attempts_24h,prior_decline_streak,0.366952337773
prior_attempts_24h,prior_decline_ratio_5m,0.443282631664
prior_attempts_24h,prior_decline_ratio_24h,0.436541971274
prior_attempts_24h,seconds_since_previous_authorization,-0.183678820484
prior_attempts_24h,session_age_seconds,0.184385818426
prior_attempts_24h,seconds_since_previous_session,-0.0115059308861
prior_attempts_24h,sessions_24h,0.0684978521042
prior_attempts_24h,sessions_7d,0.028292637949
prior_attempts_24h,requests_per_ip_5m,0.563283165459
