scenario_tag,feature,rows,mean,median,p10,p90
attack_burst,prior_attempts_5m,5183,4.01061161489,4,0,8
attack_burst,prior_attempts_1h,5183,4.01061161489,4,0,8
attack_burst,prior_attempts_24h,5183,4.33551996913,4,0,9
attack_burst,prior_attempts_7d,5183,5.743391858,5,0,13
attack_burst,prospective_requests_10s,5183,3.18001157631,3,1,5
attack_burst,prospective_requests_60s,5183,4.84487748408,4,1,9
attack_burst,distinct_cards_5m,5183,2.68956202971,2,1,5
attack_burst,distinct_cards_1h,5183,2.68956202971,2,1,5
attack_burst,distinct_cards_24h,5183,2.82847771561,3,1,5
attack_burst,distinct_cards_7d,5183,3.27223615667,3,1,6
attack_burst,distinct_bins_5m,5183,1.68030098399,2,1,3
attack_burst,distinct_bins_24h,5183,1.72679915107,2,1,3
attack_burst,cross_session_cards_24h,5183,1.16920702296,1,1,1
attack_burst,cross_session_cards_7d,5183,1.74532124252,1,1,5
attack_burst,prior_decline_streak,5183,0.98244260081,0,0,3
attack_burst,prior_decline_ratio_5m,5183,0.486654289929,0.5,0,1
attack_burst,prior_decline_ratio_24h,5183,0.491102180604,0.5,0,1
attack_burst,attempts_before_first_approval,5183,1.01678564538,1,0,3
attack_burst,attempts_after_first_approval,5183,3.95755354042,3,0,10
attack_burst,seconds_since_previous_authorization,5183,3938.27686668,3,0,17
attack_burst,device_age_seconds,5183,32511.8797993,15,0,172802
attack_burst,session_age_seconds,5183,22.4474242717,12,0,66
attack_burst,seconds_since_previous_session,5183,27808.6233841,0,0,86524.6
attack_burst,sessions_24h,5183,1.01157630716,1,1,1
attack_burst,sessions_7d,5183,1.19255257573,1,1,2
attack_burst,ip_changes_24h,5183,0.636696893691,0,0,2
attack_burst,devices_per_ip_5m,5183,1.00154350762,1,1,1
attack_burst,requests_per_ip_5m,5183,2.79278410187,3,1,5
attack_burst,same_card_retry_ratio_24h,5183,0.248728929204,0,0,1
attack_burst,card_switches_after_decline_24h,5183,1.09396102643,1,0,3
attack_burst,current_amount,5183,8.63148755547,6.42,1.98,18.196
attack_burst,amount_delta_from_previous,5183,0.0154987459001,0,-11.17,11.266
attack_burst,amount_variation_24h,5183,4.37091978929,3.99643452203,0,9.03760177508
attack_burst,near_minimum_ratio_24h,5183,0.0894129295462,0,0,0.285714285714
attack_burst,prior_successful_checkouts,5183,0,0,0,0
attack_burst,seconds_since_successful_checkout,5183,0,0,0,0
attack_burst,campaign_active,5183,0.119235963728,0,0,1
attack_burst,prior_attempts_14d,5183,5.743391858,5,0,13
attack_burst,distinct_cards_14d,5183,3.27223615667,3,1,6
attack_burst,amount_continuity_score_30d,5183,1.47269871477,0,-1.22257908464,2.28577153988
attack_burst,amount_continuity_history_available,5183,0.794520547945,1,0,1
attack_burst,ip_rotation_ratio_24h,5183,1.32216219693,1,0.5,2
attack_burst,checkout_completion_lag_seconds,5183,0,0,0,0
attack_burst,checkout_completion_lag_available,5183,0,0,0,0
attack_evasive,prior_attempts_5m,2955,1.86734348562,2,0,3
attack_evasive,prior_attempts_1h,2955,3.10795262267,3,0,6
attack_evasive,prior_attempts_24h,2955,3.25989847716,3,0,7
attack_evasive,prior_attempts_7d,2955,4.37563451777,4,0,9
attack_evasive,prospective_requests_10s,2955,1,1,1,1
attack_evasive,prospective_requests_60s,2955,1.22165820643,1,1,2
attack_evasive,distinct_cards_5m,2955,1.88460236887,2,1,3
attack_evasive,distinct_cards_1h,2955,2.26463620981,2,1,4
attack_evasive,distinct_cards_24h,2955,2.33401015228,2,1,4
attack_evasive,distinct_cards_7d,2955,2.67411167513,2,1,5
attack_evasive,distinct_bins_5m,2955,1.34822335025,1,1,2
attack_evasive,distinct_bins_24h,2955,1.49001692047,1,1,2
attack_evasive,cross_session_cards_24h,2955,1.08561759729,1,1,1
attack_evasive,cross_session_cards_7d,2955,1.53333333333,1,1,3
attack_evasive,prior_decline_streak,2955,0.878172588832,0,0,2
attack_evasive,prior_decline_ratio_5m,2955,0.466164692611,0.5,0,1
attack_evasive,prior_decline_ratio_24h,2955,0.468325544544,0.5,0,1
attack_evasive,attempts_before_first_approval,2955,0.868697123519,0,0,3
attack_evasive,attempts_after_first_approval,2955,2.7668358714,2,0,7
attack_evasive,seconds_since_previous_authorization,2955,4311.38138748,94,0,165
attack_evasive,device_age_seconds,2955,33614.4257191,345,0,173115.8
attack_evasive,session_age_seconds,2955,310.069035533,283,0,653.2
attack_evasive,seconds_since_previous_session,2955,29082.6602369,0,0,173014.6
attack_evasive,sessions_24h,2955,1.0027072758,1,1,1
attack_evasive,sessions_7d,2955,1.17969543147,1,1,2
attack_evasive,ip_changes_24h,2955,0.370558375635,0,0,1
attack_evasive,devices_per_ip_5m,2955,1,1,1,1
attack_evasive,requests_per_ip_5m,2955,2.38375634518,2,1,4
attack_evasive,same_card_retry_ratio_24h,2955,0.314233072812,0.142857142857,0,1
attack_evasive,card_switches_after_decline_24h,2955,0.668697123519,0,0,2
attack_evasive,current_amount,2955,8.5959323181,6.42,2.05,17.994
attack_evasive,amount_delta_from_previous,2955,-0.0361015228426,0,-10.82,10.788
attack_evasive,amount_variation_24h,2955,3.78293441631,3.15992879667,0,8.46940860047
attack_evasive,near_minimum_ratio_24h,2955,0.0866258426665,0,0,0.333333333333
attack_evasive,prior_successful_checkouts,2955,0,0,0,0
attack_evasive,seconds_since_successful_checkout,2955,0,0,0,0
attack_evasive,campaign_active,2955,0.120473773266,0,0,1
attack_evasive,prior_attempts_14d,2955,4.37563451777,4,0,9
attack_evasive,distinct_cards_14d,2955,2.67411167513,2,1,5
