method,bin,lower,upper,rows,weight,mean_probability,observed_rate
none,0,0,0.1,783,390.193686869,0.0705485702849,0.00315074588794
none,1,0.1,0.2,3608,2500.09012176,0.145831551898,0.0151488359405
none,2,0.2,0.3,5031,3359.02718804,0.231741791788,0.0355943845678
none,3,0.3,0.4,700,193.900084585,0.344501941282,0.0958770121999
none,4,0.4,0.5,1121,310.92341359,0.452517195903,0.144856529412
none,5,0.5,0.6,720,143.71228052,0.536106114506,0.400637760571
none,6,0.6,0.7,420,77.4329787604,0.650867859285,0.462443472523
none,7,0.7,0.8,910,166.873457648,0.757633321244,0.475065595919
none,8,0.8,0.9,1631,223.812783231,0.852635175479,0.803685483115
none,9,0.9,1,6414,634.034004995,0.965924397962,0.986017974911
sigmoid,0,0,0.1,9995,6410.87770866,0.0249176793994,0.0269988057585
sigmoid,1,0.1,0.2,958,269.595675014,0.150877042284,0.121818373972
sigmoid,2,0.2,0.3,739,166.456683709,0.23818018929,0.310033093201
sigmoid,3,0.3,0.4,260,48.944923632,0.349168237338,0.431974103464
sigmoid,4,0.4,0.5,184,35.1306666472,0.446721666578,0.449651007813
sigmoid,5,0.5,0.6,203,36.3152220002,0.552558139746,0.464215230268
sigmoid,6,0.6,0.7,357,67.0435040235,0.656196458727,0.44944537657
sigmoid,7,0.7,0.8,737,129.807220805,0.755625754143,0.514460082338
sigmoid,8,0.8,0.9,1697,227.131670304,0.8585671799,0.837385422361
sigmoid,9,0.9,1,6208,608.696725201,0.935984748993,0.988271846072
isotonic,0,0,0.1,10039,6406.27917269,0.0262009496025,0.0267614741181
isotonic,1,0.1,0.2,804,243.330889592,0.124742125277,0.118640855168
isotonic,2,0.2,0.3,529,132.634975171,0.245998536189,0.237637939125
isotonic,3,0.3,0.4,127,29.3673085085,0.331056496482,0.3026205066
isotonic,4,0.4,0.5,1288,239.141845148,0.446555870556,0.462072926064
isotonic,5,0.5,0.6,676,118.207790279,0.547572824912,0.50765337706
isotonic,6,0.6,0.7,157,22.5832646999,0.626914772543,0.769635567687
isotonic,7,0.7,0.8,379,54.3334011365,0.756420015987,0.698912149029
isotonic,8,0.8,0.9,271,36.3090233686,0.858550873768,0.845396776264
isotonic,9,0.9,1,7068,717.812329411,0.982397198729,0.978978787218
