prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active,prior_attempts_14d,distinct_cards_14d,amount_continuity_score_30d,amount_continuity_history_available,ip_rotation_ratio_24h,checkout_completion_lag_seconds,checkout_completion_lag_available
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,6.1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,8.09,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,17,17,17,0,1,1,0,1,2,1,0,10.47,2.38,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,1,3,1,1,1,1,1,1,1,1,0,0,0,0,1,20,37,37,0,1,1,0,1,3,1,0,2.41,-8.06,1.19,0,0,0,0,2,1,-5.7731092437,1,1,0,0
3,3,3,3,1,4,1,1,1,1,1,1,1,1,0,0,0,0,2,11,48,48,0,1,1,0,1,4,1,0,3.43,1.02,3.38116350783,0,0,0,0,3,1,-1.05289199761,1,1,0,0
4,4,4,4,1,4,2,2,2,2,1,1,1,1,1,0.25,0.25,0,3,16,64,64,0,1,1,0,1,5,0,0,2.52,-0.91,3.30915397043,0,0,0,1,4,2,-1.0818475151,1,1,0,0
5,5,5,5,1,4,2,2,2,2,1,1,1,1,0,0.2,0.2,0,4,17,81,81,0,1,1,0,1,6,0.2,1,25.55,23.03,3.28801216543,0,0,0,0,5,2,6.13318898635,1,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.11,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,18.88,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,12.54,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.71,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,17.48,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,0,1,1,0,1126,1126,1126,0,1,1,0,1,1,0,0,6.63,-2.48,0,0,0,0,0,1,2,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,35.96,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,524,524,524,0,1,1,0,1,1,1,0,5.65,-30.31,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.6,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.44,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,13.51,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.63,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,0,1,1,0,1,2,1,0,10.57,-1.06,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,0.5,0.5,0,1,4,6,6,0,1,1,0,1,3,0,0,12.25,1.68,0.53,0,0,0,0,2,2,2.16981132075,1,1,0,0
3,3,3,3,4,4,2,2,2,2,2,2,1,1,2,0.666666666667,0.666666666667,0,2,1,7,7,0,1,1,0,1,4,0.333333333333,1,4.43,-7.82,0.693653772105,0,0,0,0,3,2,-10.1683773908,1,1,0,0
4,4,4,4,5,5,2,2,2,2,2,2,1,1,3,0.75,0.75,0,3,2,9,9,0,1,1,1,1,1,0.5,1,1.18,-3.25,3.11269979278,0,0,0,1,4,2,-2.74359898754,1,2,0,0
5,5,5,5,4,6,3,3,3,3,2,2,1,1,0,0.6,0.6,0,4,4,13,13,0,1,1,1,1,2,0,1,8.75,7.57,4.40683287634,0.2,0,0,0,5,3,0.167467208471,1,2,0,0
6,6,6,6,5,7,4,4,4,4,2,2,1,1,0,0.5,0.5,0,5,1,14,14,0,1,1,1,1,3,0,1,8.91,0.16,4.03226053226,0.166666666667,0,0,0,6,4,0.192199882374,1,2,0,0
7,7,7,7,5,8,4,4,4,4,2,2,1,1,1,0.571428571429,0.571428571429,0,6,3,17,17,0,1,1,1,1,4,0.142857142857,1,2.56,-6.35,3.74298527589,0.142857142857,0,0,0,7,4,-1.5190319669,1,2,0,0
