device_id,fold
dev_0000002,0
dev_0000003,2
dev_0000006,1
dev_0000007,0
dev_0000008,4
dev_0000009,1
dev_0000012,2
dev_0000013,1
dev_0000014,0
dev_0000015,2
dev_0000016,0
dev_0000017,3
dev_0000018,4
dev_0000019,0
dev_0000020,4
dev_0000021,0
dev_0000022,3
dev_0000023,4
dev_0000024,2
dev_0000026,4
dev_0000027,2
dev_0000029,2
dev_0000030,0
dev_0000031,3
dev_0000033,1
dev_0000035,0
dev_0000036,1
dev_0000037,1
dev_0000039,3
dev_0000041,1
dev_0000042,2
dev_0000043,2
dev_0000044,1
dev_0000046,1
dev_0000048,3
dev_0000049,4
dev_0000050,3
dev_0000051,2
dev_0000052,0
dev_0000053,3
dev_0000055,3
dev_0000056,4
dev_0000057,2
dev_0000058,3
dev_0000059,1
dev_0000060,0
dev_0000062,1
dev_0000063,0
dev_0000065,0
dev_0000066,2
dev_0000067,3
dev_0000068,0
dev_0000069,1
dev_0000071,0
dev_0000072,0
dev_0000073,3
dev_0000074,3
dev_0000075,1
dev_0000076,3
dev_0000077,3
dev_0000079,1
dev_0000080,1
dev_0000083,0
dev_0000084,4
dev_0000085,4
dev_0000086,2
dev_0000087,1
dev_0000088,3
dev_0000090,0
dev_0000091,1
dev_0000092,0
dev_0000093,1
dev_0000094,3
dev_0000095,1
dev_0000096,4
dev_0000097,2
dev_0000100,2
dev_0000102,1
dev_0000103,0
dev_0000104,2
dev_0000105,0
dev_0000107,0
dev_0000108,0
dev_0000109,2
dev_0000111,0
dev_0000112,1
dev_0000113,2
dev_0000115,4
dev_0000116,1
dev_0000117,4
dev_0000118,3
dev_0000119,3
dev_0000121,1
dev_0000122,4
dev_0000123,4
dev_0000124,3
dev_0000126,1
dev_0000127,4
dev_0000128,3
dev_0000129,2
dev_0000130,3
dev_0000132,3
dev_0000133,1
dev_0000134,2
dev_0000135,2
dev_0000140,3
dev_0000141,2
dev_0000142,0
dev_0000143,2
dev_0000144,4
dev_0000145,4
dev_0000146,2
dev_0000147,1
dev_0000148,4
dev_0000149,1
dev_0000150,0
dev_0000151,2
dev_0000153,4
dev_0000154,0
dev_0000155,2
dev_0000156,2
dev_0000157,4
dev_0000158,0
dev_0000159,0
dev_0000160,2
dev_0000161,2
dev_0000162,3
dev_0000164,1
dev_0000165,3
dev_0000166,3
dev_0000167,2
dev_0000168,0
dev_0000169,0
dev_0000170,2
dev_0000171,1
dev_0000172,0
dev_0000173,0
dev_0000174,1
dev_0000175,1
dev_0000176,2
dev_0000178,1
dev_0000179,0
dev_0000180,4
dev_0000181,3
dev_0000182,0
dev_0000183,1
dev_0000184,3
dev_0000185,3
dev_0000186,1
dev_0000187,2
dev_0000188,4
dev_0000189,0
dev_0000191,0
dev_0000192,2
dev_0000193,3
dev_0000194,4
dev_0000195,2
dev_0000196,1
dev_0000197,3
dev_0000198,1
dev_0000200,0
dev_0000201,0
dev_0000202,4
dev_0000203,4
dev_0000205,3
dev_0000206,0
dev_0000207,0
dev_0000208,0
dev_0000209,3
dev_0000210,0
dev_0000211,0
dev_0000212,0
dev_0000213,1
dev_0000214,0
dev_0000215,2
dev_0000216,3
dev_0000217,4
dev_0000218,2
dev_0000219,0
dev_0000220,4
dev_0000222,0
dev_0000223,4
dev_0000224,0
dev_0000225,2
dev_0000226,1
dev_0000227,4
dev_0000228,1
dev_0000229,3
dev_0000230,2
dev_0000231,0
dev_0000232,0
dev_0000233,1
dev_0000234,2
dev_0000235,1
dev_0000237,4
dev_0000238,0
dev_0000239,4
dev_0000240,3
dev_0000241,1
dev_0000242,3
dev_0000243,1
dev_0000246,2
dev_0000247,0
dev_0000249,3
dev_0000250,4
dev_0000252,2
dev_0000253,4
dev_0000254,4
dev_0000255,4
dev_0000256,1
dev_0000257,4
dev_0000258,4
dev_0000259,3
dev_0000260,0
dev_0000261,1
dev_0000262,1
dev_0000263,2
dev_0000264,0
dev_0000265,0
dev_0000266,3
dev_0000267,3
dev_0000268,3
dev_0000269,0
dev_0000270,4
dev_0000271,4
dev_0000272,4
dev_0000274,0
dev_0000275,0
dev_0000276,3
dev_0000277,3
dev_0000278,3
dev_0000279,3
dev_0000280,0
dev_0000281,3
dev_0000283,1
dev_0000285,2
dev_0000286,3
dev_0000287,1
dev_0000288,2
dev_0000289,1
dev_0000290,1
dev_0000291,0
dev_0000292,1
dev_0000293,0
dev_0000294,2
dev_0000295,0
dev_0000296,1
dev_0000297,3
dev_0000298,4
dev_0000299,4
dev_0000302,4
dev_0000304,0
dev_0000306,1
dev_0000308,3
dev_0000310,0
dev_0000311,1
dev_0000312,3
dev_0000313,3
dev_0000314,3
dev_0000315,3
dev_0000318,1
dev_0000320,2
dev_0000321,4
dev_0000324,4
dev_0000326,4
dev_0000328,0
dev_0000329,1
dev_0000330,0
dev_0000331,1
dev_0000333,1
dev_0000334,2
dev_0000337,2
dev_0000339,0
dev_0000341,2
dev_0000342,3
dev_0000344,3
dev_0000345,2
dev_0000346,2
dev_0000347,2
dev_0000348,2
dev_0000349,0
dev_0000351,2
dev_0000353,4
dev_0000354,0
dev_0000356,3
dev_0000357,3
dev_0000358,4
dev_0000359,2
dev_0000360,0
dev_0000361,2
dev_0000362,0
dev_0000363,1
dev_0000365,1
dev_0000367,4
dev_0000368,3
dev_0000370,2
dev_0000371,2
dev_0000372,4
dev_0000373,1
dev_0000374,1
dev_0000376,1
dev_0000377,4
dev_0000379,1
dev_0000381,0
dev_0000382,1
dev_0000383,2
dev_0000384,3
