event_id,request_id,device_id,request_index,action,raw_probability,calibrated_probability,rule_score,accumulated_risk,high_risk_count,consecutive_high_count,evidence_count,reason_codes
cv_20260827_evt_0006346,cv_20260827_req_0002403,cv_20260827_dev_0001622,1,allow,0.103029483282,0.00548001258357,0,0.00548001258357,0,0,0,
cv_20260827_evt_0003119,cv_20260827_req_0001136,cv_20260827_dev_0000883,1,allow,0.255353046543,0.0690182853703,0,0.0690182853703,0,0,0,
cv_20260827_evt_0006348,cv_20260827_req_0002404,cv_20260827_dev_0001622,2,allow,0.275283314573,0.0930102271251,0,0.0984897624104,0,0,0,
cv_20260827_evt_0006350,cv_20260827_req_0002405,cv_20260827_dev_0001622,3,allow,0.590014829327,0.474791810673,1,0.553579466844,0,0,0,stable_retry_risk_reduction
cv_20260827_evt_0000581,cv_20260827_req_0000212,cv_20260827_dev_0000169,1,allow,0.247095216092,0.028783095908,0,0.028783095908,0,0,0,
cv_20260827_evt_0004207,cv_20260827_req_0001534,cv_20260827_dev_0001191,1,allow,0.163952469286,0.0250286633218,0,0.0250286633218,0,0,0,
cv_20260827_evt_0009876,cv_20260827_req_0004103,cv_20260827_dev_0001840,1,allow,0.2610645284,0.0930102271251,0,0.0930102271251,0,0,0,
cv_20260827_evt_0009878,cv_20260827_req_0004104,cv_20260827_dev_0001840,2,allow,0.792391406367,0.559667304185,0,0.65267433346,1,1,0,
cv_20260827_evt_0009880,cv_20260827_req_0004105,cv_20260827_dev_0001840,3,allow,0.864184624741,0.855151534315,0,1.50775256644,2,2,0,
cv_20260827_evt_0004103,cv_20260827_req_0001497,cv_20260827_dev_0001160,1,allow,0.216452730154,0.0259720802764,0,0.0259720802764,0,0,0,
cv_20260827_evt_0000444,cv_20260827_req_0000163,cv_20260827_dev_0000130,1,allow,0.227720482381,0.028783095908,0,0.028783095908,0,0,0,
cv_20260827_evt_0009882,cv_20260827_req_0004106,cv_20260827_dev_0001840,4,review,0.898850367182,0.920638394369,0,2.42820953172,3,3,1,persistent_high_model_risk
cv_20260827_evt_0009884,cv_20260827_req_0004107,cv_20260827_dev_0001840,5,review,0.907951150732,0.920638394369,0,3.34836374727,4,4,2,persistent_high_model_risk|high_risk_with_card_diversity
cv_20260827_evt_0002885,cv_20260827_req_0001051,cv_20260827_dev_0000815,1,allow,0.223703330707,0.0259720802764,0,0.0259720802764,0,0,0,
cv_20260827_evt_0009886,cv_20260827_req_0004108,cv_20260827_dev_0001840,6,block,0.963298304415,0.987077221928,1,4.3350879395,5,5,3,persistent_high_model_risk|high_risk_with_card_diversity|high_risk_with_card_switching
cv_20260827_evt_0007810,cv_20260827_req_0003094,cv_20260827_dev_0001742,1,allow,0.226339539438,0.028783095908,0,0.028783095908,0,0,0,
cv_20260827_evt_0007812,cv_20260827_req_0003095,cv_20260827_dev_0001742,2,allow,0.543634223751,0.474791810673,0,0.503574807618,0,0,0,
cv_20260827_evt_0007814,cv_20260827_req_0003096,cv_20260827_dev_0001742,3,allow,0.845646049445,0.834086215288,0,1.23694467626,1,1,0,stable_retry_risk_reduction
cv_20260827_evt_0007816,cv_20260827_req_0003097,cv_20260827_dev_0001742,4,allow,0.907680153014,0.920638394369,2,2.157581653,2,2,1,persistent_high_model_risk
cv_20260827_evt_0007818,cv_20260827_req_0003098,cv_20260827_dev_0001742,5,review,0.901126426774,0.920638394369,2,3.07821015637,3,3,3,persistent_high_model_risk|high_risk_with_card_diversity|high_risk_with_ip_rotation
cv_20260827_evt_0007820,cv_20260827_req_0003099,cv_20260827_dev_0001742,6,block,0.970833986114,1,4,4.0781995728,4,4,4,persistent_high_model_risk|high_risk_with_card_diversity|high_risk_with_card_switching|high_risk_with_ip_rotation
