device_id,label,population,attack_subtype,scenario_tag,request_index,first_request_time,review_or_higher,blocked,first_action,first_review_or_higher_request,first_block_request,requests_scored_through_first_action,authorizations_processed_before_first_action,distinct_cards_requested_through_first_action,distinct_cards_processed_before_first_action,seconds_to_first_review,seconds_to_first_block,potentially_preventable_later_requests_upper_bound
cv_20260827_dev_0000001,0,normal,,normal_standard,1,2026-05-09 14:17:47+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000002,0,normal,,normal_standard,1,2026-05-04 02:45:20+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000003,0,normal,,normal_standard,1,2026-05-26 08:25:36+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000004,0,normal,,normal_standard,3,2026-05-08 17:23:22+00:00,False,False,never,,,3,3,,,,,0
cv_20260827_dev_0000005,0,normal,,normal_standard,1,2026-05-03 23:46:37+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000006,0,normal,,normal_standard,1,2026-05-13 19:29:38+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000007,0,normal,,normal_standard,1,2026-05-14 17:48:10+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000008,0,normal,,normal_standard,1,2026-05-23 09:47:26+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000009,0,normal,,normal_standard,1,2026-05-28 08:48:17+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000010,0,normal,,normal_standard,1,2026-05-25 14:22:36+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000011,0,normal,,normal_standard,2,2026-05-04 02:50:09+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000012,0,normal,,normal_standard,1,2026-05-03 19:36:15+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000013,0,normal,,normal_standard,1,2026-05-23 07:10:43+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000014,0,normal,,normal_standard,1,2026-05-28 15:25:26+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000015,0,normal,,normal_standard,1,2026-05-03 09:26:49+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000016,0,normal,,normal_standard,1,2026-05-26 18:08:49+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000017,0,normal,,normal_standard,1,2026-05-18 01:51:42+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000018,0,normal,,normal_standard,1,2026-05-08 20:26:52+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000019,0,normal,,normal_standard,1,2026-05-25 08:48:57+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000020,0,normal,,normal_standard,1,2026-05-15 15:39:18+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000021,0,normal,,normal_standard,1,2026-05-29 07:29:27+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000022,0,normal,,normal_standard,1,2026-05-19 08:16:26+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000023,0,normal,,normal_standard,1,2026-05-20 08:43:12+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000024,0,normal,,normal_standard,1,2026-05-19 21:03:15+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000025,0,normal,,normal_standard,1,2026-05-24 01:23:30+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000026,0,normal,,normal_standard,1,2026-05-17 18:45:48+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000027,0,normal,,normal_standard,1,2026-05-13 00:22:53+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000028,0,normal,,normal_standard,1,2026-05-19 07:21:01+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000029,0,normal,,normal_standard,1,2026-05-20 22:11:49+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000030,0,normal,,normal_standard,1,2026-05-01 15:53:53+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000031,0,normal,,normal_standard,1,2026-05-24 08:41:23+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000032,0,normal,,normal_standard,2,2026-05-28 19:17:27+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000033,0,normal,,normal_standard,3,2026-05-09 04:53:45+00:00,False,False,never,,,3,3,,,,,0
cv_20260827_dev_0000034,0,normal,,normal_standard,1,2026-05-12 18:13:45+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000035,0,normal,,normal_standard,1,2026-05-27 12:10:45+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000036,0,normal,,normal_standard,1,2026-05-07 13:49:13+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000037,0,normal,,normal_standard,1,2026-05-10 05:25:50+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000038,0,normal,,normal_standard,2,2026-05-26 09:16:20+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000039,0,normal,,normal_standard,1,2026-05-16 13:51:53+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000040,0,normal,,normal_standard,1,2026-05-01 11:38:07+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000041,0,normal,,normal_standard,1,2026-05-04 11:18:35+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000042,0,normal,,normal_standard,1,2026-05-12 01:21:35+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000043,0,normal,,normal_standard,2,2026-05-30 12:39:18+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000044,0,normal,,normal_standard,1,2026-05-28 14:13:32+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000045,0,normal,,normal_standard,2,2026-05-23 20:23:31+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000046,0,normal,,normal_standard,1,2026-05-01 20:19:30+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000047,0,normal,,normal_standard,1,2026-05-08 09:10:28+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000048,0,normal,,normal_standard,1,2026-05-05 08:18:40+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000049,0,normal,,normal_standard,1,2026-05-30 03:22:12+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000050,0,normal,,normal_standard,1,2026-05-27 23:00:41+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000051,0,normal,,normal_standard,1,2026-05-09 20:29:28+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000052,0,normal,,normal_standard,1,2026-05-23 03:00:26+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000053,0,normal,,normal_standard,2,2026-05-01 08:35:35+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000054,0,normal,,normal_standard,1,2026-05-22 03:41:39+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000055,0,normal,,normal_standard,1,2026-05-09 16:32:03+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000056,0,normal,,normal_standard,2,2026-05-09 15:50:56+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000057,0,normal,,normal_standard,1,2026-05-01 20:39:46+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000058,0,normal,,normal_standard,3,2026-05-27 14:22:36+00:00,False,False,never,,,3,3,,,,,0
cv_20260827_dev_0000059,0,normal,,normal_standard,1,2026-05-08 04:46:34+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000060,0,normal,,normal_standard,1,2026-05-17 14:51:08+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000061,0,normal,,normal_standard,1,2026-05-04 15:21:48+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000062,0,normal,,normal_standard,1,2026-05-17 03:51:23+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000063,0,normal,,normal_standard,2,2026-05-03 01:42:41+00:00,False,False,never,,,2,2,,,,,0
cv_20260827_dev_0000064,0,normal,,normal_standard,3,2026-05-24 14:11:38+00:00,False,False,never,,,3,3,,,,,0
cv_20260827_dev_0000065,0,normal,,normal_standard,4,2026-05-07 19:03:27+00:00,False,False,never,,,4,4,,,,,0
cv_20260827_dev_0000066,0,normal,,normal_standard,1,2026-05-12 14:11:22+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000067,0,normal,,normal_standard,1,2026-05-22 15:25:45+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000068,0,normal,,normal_standard,1,2026-05-16 12:24:34+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000069,0,normal,,normal_standard,1,2026-05-04 07:27:42+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000070,0,normal,,normal_standard,1,2026-05-20 09:35:29+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000071,0,normal,,normal_standard,1,2026-05-30 17:25:15+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000072,0,normal,,normal_standard,1,2026-05-21 22:40:55+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000073,0,normal,,normal_standard,1,2026-05-20 10:43:08+00:00,False,False,never,,,1,1,,,,,0
cv_20260827_dev_0000074,0,normal,,normal_standard,2,2026-05-13 06:14:28+00:00,False,False,never,,,2,2,,,,,0
