device_id,label,population,attack_subtype,scenario_tag,request_index,first_request_time,review_or_higher,blocked,first_action,first_review_or_higher_request,first_block_request,requests_scored_through_first_action,authorizations_processed_before_first_action,distinct_cards_requested_through_first_action,distinct_cards_processed_before_first_action,seconds_to_first_review,seconds_to_first_block,potentially_preventable_later_requests_upper_bound,fold
dev_0000002,0,normal,,normal_standard,1,2026-01-21 14:19:42+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000003,0,normal,,normal_standard,1,2026-01-20 15:49:24+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000006,0,normal,,normal_standard,1,2026-01-09 09:36:27+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000007,0,normal,,normal_standard,1,2026-01-17 20:05:42+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000008,0,normal,,normal_standard,2,2026-01-06 22:43:45+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000009,0,normal,,normal_standard,2,2026-01-19 18:05:43+00:00,False,False,never,,,2,2,,,,,0,1
dev_0000012,0,normal,,normal_standard,1,2026-01-15 23:01:03+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000013,0,normal,,normal_standard,1,2026-01-24 12:04:37+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000014,0,normal,,normal_standard,1,2026-01-04 18:54:38+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000015,0,normal,,normal_standard,1,2026-01-05 08:05:00+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000016,0,normal,,normal_standard,1,2026-01-17 14:01:48+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000017,0,normal,,normal_standard,1,2026-01-26 20:00:19+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000018,0,normal,,normal_standard,2,2026-01-01 16:01:10+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000019,0,normal,,normal_standard,1,2026-01-21 13:25:21+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000020,0,normal,,normal_standard,1,2026-01-29 00:53:41+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000021,0,normal,,normal_standard,1,2026-01-29 17:02:48+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000022,0,normal,,normal_standard,1,2026-01-28 02:44:45+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000023,0,normal,,normal_standard,2,2026-01-28 01:29:58+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000024,0,normal,,normal_standard,1,2026-01-15 04:31:32+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000026,0,normal,,normal_standard,1,2026-01-15 08:44:57+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000027,0,normal,,normal_standard,1,2026-01-05 17:07:58+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000029,0,normal,,normal_standard,1,2026-01-10 19:38:59+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000030,0,normal,,normal_standard,1,2026-01-30 16:23:07+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000031,0,normal,,normal_standard,1,2026-01-01 15:06:08+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000033,0,normal,,normal_standard,1,2026-01-15 09:59:38+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000035,0,normal,,normal_standard,1,2026-01-20 06:50:32+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000036,0,normal,,normal_standard,1,2026-01-22 17:44:02+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000037,0,normal,,normal_standard,1,2026-01-03 06:31:20+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000039,0,normal,,normal_standard,1,2026-01-05 19:26:39+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000041,0,normal,,normal_standard,1,2026-01-16 20:27:04+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000042,0,normal,,normal_standard,1,2026-01-17 21:17:43+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000043,0,normal,,normal_standard,1,2026-01-11 08:08:37+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000044,0,normal,,normal_standard,1,2026-01-15 14:49:37+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000046,0,normal,,normal_standard,1,2026-01-28 07:49:30+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000048,0,normal,,normal_standard,2,2026-01-26 21:10:41+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000049,0,normal,,normal_standard,2,2026-01-25 06:22:07+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000050,0,normal,,normal_standard,1,2026-01-04 15:03:52+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000051,0,normal,,normal_standard,1,2026-01-07 16:20:37+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000052,0,normal,,normal_standard,1,2026-01-15 09:08:59+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000053,0,normal,,normal_standard,1,2026-01-03 23:48:36+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000055,0,normal,,normal_standard,1,2026-01-28 22:04:51+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000056,0,normal,,normal_standard,1,2026-01-05 12:27:43+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000057,0,normal,,normal_standard,2,2026-01-11 01:05:10+00:00,False,False,never,,,2,2,,,,,0,2
dev_0000058,0,normal,,normal_standard,1,2026-01-10 22:08:12+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000059,0,normal,,normal_standard,1,2026-01-28 05:12:34+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000060,0,normal,,normal_standard,1,2026-01-18 16:25:17+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000062,0,normal,,normal_standard,1,2026-01-27 14:21:33+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000063,0,normal,,normal_standard,1,2026-01-28 05:57:34+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000065,0,normal,,normal_standard,1,2026-01-14 21:21:43+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000066,0,normal,,normal_standard,1,2026-01-11 06:36:38+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000067,0,normal,,normal_standard,1,2026-01-20 13:46:34+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000068,0,normal,,normal_standard,1,2026-01-12 01:49:45+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000069,0,normal,,normal_standard,5,2026-01-27 02:58:22+00:00,False,False,never,,,5,5,,,,,0,1
dev_0000071,0,normal,,normal_standard,1,2026-01-29 11:39:51+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000072,0,normal,,normal_standard,1,2026-01-28 10:28:38+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000073,0,normal,,normal_standard,2,2026-01-20 03:56:52+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000074,0,normal,,normal_standard,1,2026-01-11 21:56:58+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000075,0,normal,,normal_standard,1,2026-01-23 17:20:21+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000076,0,normal,,normal_standard,1,2026-01-22 17:42:31+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000077,0,normal,,normal_standard,1,2026-01-15 22:24:16+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000079,0,normal,,normal_standard,1,2026-01-17 00:13:22+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000080,0,normal,,normal_standard,3,2026-01-07 02:38:30+00:00,False,False,never,,,3,3,,,,,0,1
dev_0000083,0,normal,,normal_standard,1,2026-01-27 18:04:56+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000084,0,normal,,normal_standard,2,2026-01-28 15:40:47+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000085,0,normal,,normal_standard,1,2026-01-03 03:56:11+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000086,0,normal,,normal_standard,1,2026-01-28 20:39:32+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000087,0,normal,,normal_standard,2,2026-01-03 21:59:40+00:00,False,False,never,,,2,2,,,,,0,1
