group,request_index,rows,mean_score,median_score,p90_score,high_score_rate
hard_negative,1,200,0.0205572844915,0.0222110268758,0.028783095908,0
hard_negative,2,200,0.146240197098,0.0930102271251,0.284737559009,0.03
hard_negative,3,200,0.429283070098,0.474791810673,0.762967718481,0.65
hard_negative,4,51,0.371796017512,0.474791810673,0.920638394369,0.549019607843
hard_negative,5,32,0.211943670613,0.0930102271251,0.573793551518,0.25
hard_negative,6,32,0.374139291647,0.389788609864,0.82826407843,0.5
hard_negative,7,10,0.24476767689,0.0930102271251,0.519376469043,0.3
hard_negative,8,7,0.198738506083,0.0930102271251,0.424061494023,0.142857142857
hard_negative,9,6,0.259143567464,0.277610228397,0.474791810673,0.5
hard_negative,10,2,0.0594911537008,0.0594911537008,0.0863064124403,0
hard_negative,11,1,0.0930102271251,0.0930102271251,0.0930102271251,0
evasive,1,90,0.0369066362135,0.028783095908,0.0930102271251,0
evasive,2,90,0.274103804798,0.284737559009,0.474791810673,0.233333333333
evasive,3,90,0.656382388973,0.584793744945,0.920638394369,1
evasive,4,90,0.87670087632,0.920638394369,0.969271635409,1
evasive,5,90,0.945636475895,0.968667664035,0.987077221928,1
evasive,6,71,0.976367933621,0.987077221928,1,1
evasive,7,58,0.985534868459,1,1,1
evasive,8,44,0.981979115483,1,1,1
evasive,9,24,0.972615158513,1,1,1
evasive,10,9,0.979993635998,1,1,1
evasive,11,9,0.99619368413,1,1,1
evasive,12,8,0.998384652741,1,1,1
evasive,13,7,1,1,1,1
evasive,14,4,1,1,1,1
evasive,15,4,0.994666483811,1,1,1
evasive,16,2,1,1,1,1
evasive,17,2,1,1,1,1
evasive,18,1,1,1,1,1
evasive,19,1,1,1,1,1
evasive,20,1,1,1,1,1
evasive,21,1,1,1,1,1
evasive,22,1,1,1,1,1
patient,1,90,0.0386904555701,0.028783095908,0.084105346231,0
patient,2,90,0.453368073935,0.474791810673,0.474791810673,0.822222222222
patient,3,90,0.687394886404,0.584793744945,0.978665935245,0.966666666667
patient,4,90,0.744591641144,0.855151534315,0.920638394369,1
patient,5,82,0.873258907762,0.920638394369,0.987077221928,1
patient,6,66,0.921578571404,0.978665935245,1,1
patient,7,57,0.908498937585,0.968667664035,1,1
patient,8,46,0.970089801001,0.978665935245,1,1
patient,9,33,0.994314578366,1,1,1
patient,10,11,0.990435712566,1,1,1
patient,11,5,0.995733187049,1,1,1
patient,12,2,1,1,1,1
burst,1,120,0.038786141059,0.028783095908,0.0930102271251,0
burst,2,120,0.255482802738,0.284737559009,0.474791810673,0.258333333333
burst,3,120,0.658987259724,0.606178754073,0.920638394369,0.975
burst,4,120,0.902433123818,0.920638394369,0.978665935245,1
burst,5,120,0.973749467417,0.978665935245,1,1
burst,6,120,0.992084965778,1,1,1
burst,7,104,0.991946698148,1,1,1
burst,8,88,0.997608928141,1,1,1
burst,9,70,0.997363303323,1,1,1
burst,10,59,0.998293293722,1,1,1
burst,11,41,0.997300147766,1,1,1
burst,12,26,0.996947630553,1,1,1
burst,13,12,0.997145263098,1,1,1
burst,14,12,0.998923101827,1,1,1
burst,15,12,1,1,1,1
burst,16,11,0.997151605821,1,1,1
burst,17,11,1,1,1,1
burst,18,9,1,1,1,1
burst,19,8,1,1,1,1
burst,20,6,1,1,1,1
burst,21,5,1,1,1,1
burst,22,2,1,1,1,1
burst,23,1,1,1,1,1
burst,24,1,1,1,1,1
