,prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active
prior_attempts_5m,1.0,0.9398660501703316,0.8841907283586168,0.6442827862404721,0.7023190440651226,0.8967668579538773,0.8569333936137045,0.796415573357419,0.7446962125222484,0.573763728162923,0.714658244775226,0.6278677189825802,0.0406349728061508,0.0974341045569605,0.33878557833282996,0.4863329421967652,0.40736978345540364,0.3306047652216716,0.5640198811973143,-0.1946396336241823,-0.10935983169024653,-0.040071010090557385,-0.08761454629980674,-0.0768815322550051,-0.11331811214601394,0.5865002405965964,-0.007659438643833951,0.623537423363986,0.10858967556756051,0.6785244821100749,-0.07920159015436724,-0.002494286614253442,0.596780549649165,0.2097186483141867,-0.11529466145156092,-0.10977246406566901,-0.10955127782558229
prior_attempts_1h,0.9398660501703316,1.0,0.9364155227059822,0.6969504557925584,0.6097366781780215,0.7918202099790438,0.8255305302618986,0.8503299881897627,0.7918172837177241,0.6191745012484905,0.6931118640739788,0.6626833732907698,0.03273677183943043,0.11862028087379008,0.3621784217219016,0.4727760976605776,0.43604133865722333,0.3485687863545131,0.609291121051238,-0.21604721187552697,-0.0668060310117076,0.20690416633154338,-0.05225910068956247,-0.08682150063796445,-0.07055866961688209,0.6073623936313974,-0.008978372074195825,0.5896756187281275,0.1256815477139362,0.7061490084444352,-0.0891695947341609,-0.0043606974553152015,0.649930886921252,0.23551695842930487,-0.13469358411388738,-0.12816114557452357,-0.13371817872147065
prior_attempts_24h,0.8841907283586168,0.9364155227059822,1.0,0.7598378907564681,0.5984007791784687,0.7542603513330971,0.791342930726088,0.8120181839993033,0.860810324488371,0.6764538533773108,0.6765659934347997,0.7222171921594965,0.35057895920445364,0.24676907124616695,0.3669523377729929,0.4432826457745555,0.43654198756465,0.36584485274037126,0.6727253773212208,-0.18367882048437847,-0.02152244874101034,0.18438581842558202,-0.011505930886146236,0.06849785210420697,0.028292637949028723,0.72657514575952,-0.008766203890386336,0.563283165459298,0.11966403086477383,0.7757457159147441,-0.08847219442188321,-0.008359795846438265,0.6744965383037902,0.23879002776013047,-0.10977108292843589,-0.11881001320009305,-0.13649566504062197
prior_attempts_7d,0.6442827862404721,0.6969504557925584,0.7598378907564681,1.0,0.4380549103520724,0.5518695005063579,0.6595193530257237,0.7027911477425433,0.751156717096096,0.904963052063914,0.6353013204399477,0.7059014524874991,0.3270894540377012,0.7452052701792746,0.35269054770163916,0.30769999373529294,0.3450051815057644,0.3738205037714662,0.9459630827875228,0.030930246371252912,0.46554487496808944,0.23429311701380748,0.44921525028235926,0.03690250359218354,0.5038735834987939,0.6325144074922728,-0.006966563694874979,0.4071021863506767,0.05674432004850871,0.6284501057919342,-0.08662487728993788,-0.005685781812125776,0.5232552115007362,0.2081318644442231,-0.022400671525189448,-0.028448169658891884,-0.14316536420383894
prospective_requests_10s,0.7023190440651226,0.6097366781780215,0.5984007791784687,0.4380549103520724,1.0,0.8695035707940585,0.6063472656815763,0.5329495928658255,0.5194626054046456,0.4039035685600611,0.5214254642668249,0.4533168566595858,0.09532919156476756,0.09666348891247505,0.1948793438414579,0.2870930907034786,0.23517989164920022,0.21350579517344048,0.3816039728324547,-0.13062105516994527,-0.0780390605901287,-0.1691646734806193,-0.06530896117458569,-0.039318109186783246,-0.07865673816818328,0.43780210036408373,-0.0002021599962429768,0.46308553586277956,0.03290793957055071,0.4600156376448316,-0.0649572594867706,0.002421454855298981,0.42387858484621777,0.1715845997064582,-0.09918140048262022,-0.09300091106973145,-0.10379913558172726
prospective_requests_60s,0.8967668579538773,0.7918202099790438,0.7542603513330971,0.5518695005063579,0.8695035707940585,1.0,0.7674142242403135,0.6832980734836096,0.6468994794886453,0.5016172572635006,0.6487243395333138,0.5571341812507958,0.06027861302325221,0.09738347834582471,0.24906797275977385,0.34623810712333414,0.2867176774210923,0.2586451549597722,0.4924813070106298,-0.14872333430428641,-0.09005100925348708,-0.15581165877893752,-0.07425935640774929,-0.05362962464977542,-0.09015303521891854,0.5504835602989876,-0.0022546652679083247,0.5082080262856734,0.03504796090600817,0.6009118233402498,-0.07000749846675274,0.00029213999021002575,0.49514215125993144,0.18336144315220557,-0.10132956475356267,-0.09650467681168844,-0.10817269432820206
distinct_cards_5m,0.8569333936137045,0.8255305302618986,0.791342930726088,0.6595193530257237,0.6063472656815763,0.7674142242403135,1.0,0.9449367784820477,0.8920136601150154,0.7353182196273511,0.8503285826231319,0.7633882201042677,0.08165937611256122,0.2182302812173931,0.27947767657668443,0.38853645313280144,0.3208006896658802,0.2943347878245192,0.5993311798203507,-0.16486257697174994,-0.02996418250925634,-0.0099227791837038,-0.00018967029117251388,-0.06380187956662496,-0.02855053337625807,0.5493523935520159,-0.01099815297944255,0.5242656318120541,-0.14673562234112114,0.737907777032647,-0.07186689454123969,0.002544988877910532,0.5283490283785568,0.18375638263672228,-0.09563314763598317,-0.09164771701827885,-0.12811354160118274
distinct_cards_1h,0.796415573357419,0.8503299881897627,0.8120181839993033,0.7027911477425433,0.5329495928658255,0.6832980734836096,0.9449367784820477,1.0,0.9418164773506645,0.7901320418559585,0.8140269051090354,0.807914663580119,0.07975167051568251,0.2600861061331913,0.2982417633749933,0.36433636910169664,0.34095688951984404,0.30798246338092283,0.6384032984794863,-0.1805514379130324,0.035651020381748645,0.19301963128193214,0.05421763190509377,-0.07048850351553636,0.03923618490840073,0.5512591030916228,-0.010973853464132294,0.4847589478861758,-0.1597589336700073,0.754663728687098,-0.07970627719578804,-0.0005933959087550776,0.5517069804020214,0.20120031989403664,-0.1102423568203472,-0.10545935531906513,-0.14358135372524947
distinct_cards_24h,0.7446962125222484,0.7918172837177241,0.860810324488371,0.751156717096096,0.5194626054046456,0.6468994794886453,0.8920136601150154,0.9418164773506645,1.0,0.837505441250891,0.7803541585410909,0.8583591268782695,0.39850161259051925,0.38407247749211676,0.30694679974575584,0.34162220786542263,0.34225465029848334,0.3160103624108935,0.6893845593238466,-0.1529285224602846,0.074296419651493,0.1726833083356868,0.08215642456171106,0.05094776463638744,0.12371243731684295,0.6501713352506905,-0.011496615981424504,0.4601364733254428,-0.1634025460080085,0.8133025546842099,-0.07971199010925922,-0.005579101842492094,0.572936429244967,0.20569712241502716,-0.09354492860478923,-0.09998123122971705,-0.14576550138843283
distinct_cards_7d,0.573763728162923,0.6191745012484905,0.6764538533773108,0.904963052063914,0.4039035685600611,0.5016172572635006,0.7353182196273511,0.7901320418559585,0.837505441250891,1.0,0.6897831195423063,0.7723321105665083,0.3319128705608922,0.7787554230699542,0.3097272984542208,0.2544690781206055,0.28186783945244137,0.33340355640597946,0.8610499872591967,0.019108636984221376,0.41667592752312,0.19731249535094736,0.393584676836027,0.027783743984568756,0.44885976121166393,0.568429913546349,-0.011072189028060434,0.3540185904074737,-0.13782264363095015,0.663563201029397,-0.0836371057023567,-0.00448464028250168,0.45314212852509844,0.1865438313659278,-0.04088890732288616,-0.045101731464184995,-0.1491176311635341
