feature,direction,threshold,device_weighted_f1,device_weighted_pr_auc
prior_attempts_7d,>=,3.0,0.724063684763532,0.7398587252186474
attempts_after_first_approval,>=,1.0,0.701579613765135,0.6271957562730331
amount_variation_24h,>=,0.005,0.686359521305597,0.5620029043011805
distinct_cards_7d,>=,2.0,0.6604745881303701,0.6032370961306563
session_age_seconds,>=,1.0,0.6555672048298555,0.6374120488717527
prior_attempts_24h,>=,2.0,0.6523192273097028,0.6852722334996433
prior_attempts_1h,>=,1.0,0.6494478682111346,0.6679962571469699
distinct_cards_24h,>=,2.0,0.6470794676929311,0.5597492499020391
distinct_cards_1h,>=,2.0,0.6399253624715104,0.548317483922971
device_age_seconds,>=,1.0,0.6023452753469248,0.4420144024485824
seconds_since_previous_authorization,>=,1.0,0.6023452753469227,0.33749837469131605
prior_decline_ratio_24h,>=,0.090909,0.583110761122086,0.2949417041616801
prior_attempts_5m,>=,2.0,0.5717695158245486,0.5575722180299074
distinct_cards_5m,>=,2.0,0.5581729950601547,0.46670994266708915
distinct_bins_24h,>=,2.0,0.502703186397155,0.39891831395199595
requests_per_ip_5m,>=,2.0,0.5016333513511401,0.4281531841650482
prior_decline_ratio_5m,>=,0.090909,0.4877908708149298,0.23626644841379962
prospective_requests_60s,>=,2.0,0.48365815316580146,0.4515553064178696
same_card_retry_ratio_24h,>=,0.052632,0.474117731604332,0.2529860228621019
amount_delta_from_previous,>=,0.01,0.4682357746983475,0.28192995378605284
card_switches_after_decline_24h,>=,1.0,0.46520998536486213,0.3922870150509703
prior_decline_streak,>=,1.0,0.45342796857827966,0.33550983437592957
attempts_before_first_approval,>=,1.0,0.44957994241272564,0.32747973517651224
ip_changes_24h,>=,1.0,0.4266385252180841,0.31790903501947015
prospective_requests_10s,>=,2.0,0.4260483396236259,0.3830003168540033
distinct_bins_5m,>=,2.0,0.423672737838455,0.34280783747076127
current_amount,<=,3.99,0.3613787388173318,0.30761021931689136
near_minimum_ratio_24h,>=,0.058824,0.3594508637548755,0.3212211915936866
cross_session_cards_7d,>=,2.0,0.3175231529239169,0.2923919735941746
campaign_active,<=,0.0,0.30760167923885645,0.18201802324720884
seconds_since_previous_session,>=,85428.0,0.30144184049083905,0.24590590036337412
sessions_7d,>=,2.0,0.301441840490838,0.2391853908441004
prior_successful_checkouts,<=,0.0,0.2734875770709934,0.15840463899299675
seconds_since_successful_checkout,<=,0.0,0.2734875770709934,0.15840463899299675
devices_per_ip_5m,<=,1.0,0.26091486326658625,0.15006481948299702
sessions_24h,<=,2.0,0.2608695652173891,0.14922445464918918
cross_session_cards_24h,<=,8.0,0.2608695652173883,0.14482168236103288
