device_id,group,split
attack_burst_0000,burst,train
attack_burst_0001,burst,train
attack_burst_0002,burst,train
attack_burst_0003,burst,train
attack_burst_0004,burst,test
attack_burst_0005,burst,train
attack_burst_0006,burst,validation
attack_burst_0007,burst,train
attack_burst_0008,burst,validation
attack_burst_0009,burst,train
attack_burst_0010,burst,train
attack_burst_0011,burst,test
attack_burst_0012,burst,test
attack_burst_0013,burst,validation
attack_burst_0014,burst,test
attack_burst_0015,burst,train
attack_burst_0016,burst,validation
attack_burst_0017,burst,train
attack_burst_0018,burst,train
attack_burst_0019,burst,test
attack_burst_0020,burst,train
attack_burst_0021,burst,train
attack_burst_0022,burst,train
attack_burst_0023,burst,train
attack_burst_0024,burst,train
attack_burst_0025,burst,train
attack_burst_0026,burst,validation
attack_burst_0027,burst,train
attack_burst_0028,burst,train
attack_burst_0029,burst,validation
attack_burst_0030,burst,train
attack_burst_0031,burst,test
attack_burst_0032,burst,test
attack_burst_0033,burst,train
attack_burst_0034,burst,test
attack_burst_0035,burst,train
attack_burst_0036,burst,train
attack_burst_0037,burst,validation
attack_burst_0038,burst,train
attack_burst_0039,burst,train
attack_burst_0040,burst,train
attack_burst_0041,burst,train
attack_burst_0042,burst,train
attack_burst_0043,burst,test
attack_burst_0044,burst,train
attack_burst_0045,burst,train
attack_burst_0046,burst,train
attack_burst_0047,burst,test
attack_burst_0048,burst,validation
attack_burst_0049,burst,validation
attack_burst_0050,burst,train
attack_burst_0051,burst,train
attack_burst_0052,burst,test
attack_burst_0053,burst,test
attack_burst_0054,burst,test
attack_burst_0055,burst,train
attack_burst_0056,burst,test
attack_burst_0057,burst,train
attack_burst_0058,burst,validation
attack_burst_0059,burst,validation
attack_burst_0060,burst,train
attack_burst_0061,burst,train
attack_burst_0062,burst,test
attack_burst_0063,burst,train
attack_burst_0064,burst,validation
attack_burst_0065,burst,test
attack_burst_0066,burst,train
attack_burst_0067,burst,train
attack_burst_0068,burst,train
attack_burst_0069,burst,test
attack_burst_0070,burst,train
attack_burst_0071,burst,train
attack_burst_0072,burst,train
attack_burst_0073,burst,train
attack_burst_0074,burst,train
attack_burst_0075,burst,train
attack_burst_0076,burst,train
attack_burst_0077,burst,train
attack_burst_0078,burst,validation
attack_burst_0079,burst,validation
attack_burst_0080,burst,validation
attack_burst_0081,burst,train
attack_burst_0082,burst,train
attack_burst_0083,burst,train
attack_burst_0084,burst,train
attack_burst_0085,burst,train
attack_burst_0086,burst,train
attack_burst_0087,burst,train
attack_burst_0088,burst,validation
attack_burst_0089,burst,train
attack_burst_0090,burst,train
attack_burst_0091,burst,train
attack_burst_0092,burst,train
attack_burst_0093,burst,train
attack_burst_0094,burst,train
attack_burst_0095,burst,train
attack_burst_0096,burst,train
attack_burst_0097,burst,validation
attack_burst_0098,burst,train
attack_burst_0099,burst,validation
attack_burst_0100,burst,train
attack_burst_0101,burst,train
attack_burst_0102,burst,train
attack_burst_0103,burst,train
attack_burst_0104,burst,train
attack_burst_0105,burst,train
attack_burst_0106,burst,train
attack_burst_0107,burst,train
attack_burst_0108,burst,train
attack_burst_0109,burst,validation
attack_burst_0110,burst,test
attack_burst_0111,burst,validation
attack_burst_0112,burst,train
attack_burst_0113,burst,train
attack_burst_0114,burst,train
attack_burst_0115,burst,train
attack_burst_0116,burst,train
attack_burst_0117,burst,validation
attack_burst_0118,burst,train
attack_burst_0119,burst,validation
attack_burst_0120,burst,test
attack_burst_0121,burst,test
attack_burst_0122,burst,train
attack_burst_0123,burst,train
attack_burst_0124,burst,train
attack_burst_0125,burst,validation
attack_burst_0126,burst,validation
attack_burst_0127,burst,train
attack_burst_0128,burst,train
attack_burst_0129,burst,train
attack_burst_0130,burst,train
attack_burst_0131,burst,test
attack_burst_0132,burst,test
attack_burst_0133,burst,validation
attack_burst_0134,burst,train
attack_burst_0135,burst,train
attack_burst_0136,burst,train
attack_burst_0137,burst,train
attack_burst_0138,burst,train
attack_burst_0139,burst,train
attack_burst_0140,burst,train
attack_burst_0141,burst,train
attack_burst_0142,burst,train
attack_burst_0143,burst,train
attack_burst_0144,burst,train
attack_burst_0145,burst,test
attack_burst_0146,burst,train
attack_burst_0147,burst,validation
attack_burst_0148,burst,test
attack_burst_0149,burst,train
attack_burst_0150,burst,validation
attack_burst_0151,burst,train
attack_burst_0152,burst,train
attack_burst_0153,burst,train
attack_burst_0154,burst,validation
attack_burst_0155,burst,train
attack_burst_0156,burst,train
attack_burst_0157,burst,train
attack_burst_0158,burst,train
attack_burst_0159,burst,train
attack_burst_0160,burst,train
attack_burst_0161,burst,validation
attack_burst_0162,burst,train
attack_burst_0163,burst,train
attack_burst_0164,burst,validation
attack_burst_0165,burst,train
attack_burst_0166,burst,train
attack_burst_0167,burst,train
attack_burst_0168,burst,train
attack_burst_0169,burst,train
attack_burst_0170,burst,validation
attack_burst_0171,burst,train
attack_burst_0172,burst,train
