event_id,event_sequence,timestamp,device_id,session_id,ip_hash,event_type,card_token,card_bin,amount,declined,decline_reason,population,attack_subtype,scenario_tag,entity_label,attempts_trailing_10s,attempts_trailing_60s,attempts_trailing_5min,mean_interarrival_s,var_interarrival_s,unique_cards_trailing_60s,unique_cards_trailing_5min,unique_bins_trailing_60s,unique_bins_trailing_5min,decline_ratio_so_far,current_decline_streak,approval_ratio_so_far,attempts_before_first_approval,amount_near_minimum_ratio_5min,amount_variance_so_far,repeated_amount_ratio,unique_amount_ratio,cards_this_session,session_age_s,attempts_this_session,checkout_completed_so_far,attempts_after_first_approval,device_reuse_count,card_switch_rate,ip_session_count_trailing_5min,ip_device_count_trailing_5min
event_00001654,1654,2026-08-01T00:04:43.001654,normal_00667,normal_00667_session_0,ip_normal_unique_00667,authorization,card_00000777,342697.0,936.63,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
event_00001655,1655,2026-08-01T00:04:49.028118,normal_00667,normal_00667_session_0,ip_normal_unique_00667,completion,,,,,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,6.026464,1,1,0,1,1.0,1,1
event_00002517,2517,2026-08-01T00:07:21.002517,normal_01008,normal_01008_session_0,ip_normal_unique_01008,authorization,card_00001187,341609.0,302.96,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
event_00002518,2518,2026-08-01T00:07:43.527051,normal_01008,normal_01008_session_0,ip_normal_unique_01008,completion,,,,,,normal,,normal_standard,0,0,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,22.524534,1,1,0,1,1.0,1,1
event_00007092,7092,2026-08-01T00:08:25.007092,normal_02841,normal_02841_session_0,ip_normal_unique_02841,authorization,card_00003343,410156.0,782.34,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
event_00007093,7093,2026-08-01T00:08:40.381262,normal_02841,normal_02841_session_0,ip_normal_unique_02841,completion,,,,,,normal,,normal_standard,0,0,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,15.37417,1,1,0,1,1.0,1,1
event_00004346,4346,2026-08-01T00:09:09.004346,normal_01744,normal_01744_session_0,ip_normal_unique_01744,authorization,card_00002043,429320.0,10.0,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,1.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
event_00004347,4347,2026-08-01T00:09:41.071640,normal_01744,normal_01744_session_0,ip_normal_unique_01744,completion,,,,,,normal,,normal_standard,0,0,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,1.0,0.0,0.0,1.0,1,32.067294,1,1,0,1,1.0,1,1
event_00002708,2708,2026-08-01T00:12:02.002708,normal_01088,normal_01088_session_0,ip_normal_unique_01088,authorization,card_00001281,436605.0,238.93,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
event_00000888,888,2026-08-01T00:12:41.000888,normal_00364,normal_00364_session_0,ip_normal_unique_00364,authorization,card_00000420,466530.0,670.03,False,,normal,,normal_standard,0,1,1,1,0.0,0.0,1,1,1,1,0.0,0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,1,0,0,1,1.0,1,1
