event_id,event_sequence,timestamp,device_id,session_id,ip_hash,event_type,card_token,card_bin,amount,declined,decline_reason,population,attack_subtype,scenario_tag,entity_label
event_00001654,1654,2026-08-01T00:04:43.001654,normal_00667,normal_00667_session_0,ip_normal_unique_00667,authorization,card_00000777,342697,936.63,False,,normal,,normal_standard,0
event_00001655,1655,2026-08-01T00:04:49.028118,normal_00667,normal_00667_session_0,ip_normal_unique_00667,completion,,,,,,normal,,normal_standard,0
event_00002517,2517,2026-08-01T00:07:21.002517,normal_01008,normal_01008_session_0,ip_normal_unique_01008,authorization,card_00001187,341609,302.96,False,,normal,,normal_standard,0
event_00002518,2518,2026-08-01T00:07:43.527051,normal_01008,normal_01008_session_0,ip_normal_unique_01008,completion,,,,,,normal,,normal_standard,0
event_00007092,7092,2026-08-01T00:08:25.007092,normal_02841,normal_02841_session_0,ip_normal_unique_02841,authorization,card_00003343,410156,782.34,False,,normal,,normal_standard,0
event_00007093,7093,2026-08-01T00:08:40.381262,normal_02841,normal_02841_session_0,ip_normal_unique_02841,completion,,,,,,normal,,normal_standard,0
event_00004346,4346,2026-08-01T00:09:09.004346,normal_01744,normal_01744_session_0,ip_normal_unique_01744,authorization,card_00002043,429320,10.0,False,,normal,,normal_standard,0
event_00004347,4347,2026-08-01T00:09:41.071640,normal_01744,normal_01744_session_0,ip_normal_unique_01744,completion,,,,,,normal,,normal_standard,0
event_00002708,2708,2026-08-01T00:12:02.002708,normal_01088,normal_01088_session_0,ip_normal_unique_01088,authorization,card_00001281,436605,238.93,False,,normal,,normal_standard,0
event_00000888,888,2026-08-01T00:12:41.000888,normal_00364,normal_00364_session_0,ip_normal_unique_00364,authorization,card_00000420,466530,670.03,False,,normal,,normal_standard,0
event_00000889,889,2026-08-01T00:13:22.684531,normal_00364,normal_00364_session_0,ip_normal_unique_00364,completion,,,,,,normal,,normal_standard,0
event_00000261,261,2026-08-01T00:13:45.000261,normal_00109,normal_00109_session_0,ip_normal_unique_00109,authorization,card_00000128,424506,1124.93,False,,normal,,normal_standard,0
event_00000262,262,2026-08-01T00:14:36.365359,normal_00109,normal_00109_session_0,ip_normal_unique_00109,completion,,,,,,normal,,normal_standard,0
event_00006021,6021,2026-08-01T00:20:46.006021,normal_02410,normal_02410_session_0,ip_normal_unique_02410,authorization,card_00002828,417136,519.0,False,,normal,,normal_standard,0
event_00006022,6022,2026-08-01T00:21:45.478609,normal_02410,normal_02410_session_0,ip_normal_unique_02410,completion,,,,,,normal,,normal_standard,0
event_00004603,4603,2026-08-01T00:23:47.004603,normal_01846,normal_01846_session_0,ip_normal_shared_0044,authorization,card_00002164,481492,772.06,False,,normal,,normal_standard,0
event_00004604,4604,2026-08-01T00:24:23.271575,normal_01846,normal_01846_session_0,ip_normal_shared_0044,completion,,,,,,normal,,normal_standard,0
event_00002244,2244,2026-08-01T00:25:31.002244,normal_00898,normal_00898_session_0,ip_normal_unique_00898,authorization,card_00001058,454890,2480.49,False,,normal,,normal_standard,0
event_00002245,2245,2026-08-01T00:26:02.872295,normal_00898,normal_00898_session_0,ip_normal_unique_00898,completion,,,,,,normal,,normal_standard,0
event_00002729,2729,2026-08-01T00:26:53.002729,normal_01095,normal_01095_session_0,ip_normal_unique_01095,authorization,card_00001292,342697,899.83,False,,normal,,normal_standard,0
event_00002730,2730,2026-08-01T00:27:23.981107,normal_01095,normal_01095_session_0,ip_normal_unique_01095,completion,,,,,,normal,,normal_standard,0
event_00003005,3005,2026-08-01T00:29:29.003005,normal_01215,normal_01215_session_0,ip_normal_unique_01215,authorization,card_00001427,530910,690.63,False,,normal,,normal_standard,0
event_00003006,3006,2026-08-01T00:29:46.032746,normal_01215,normal_01215_session_0,ip_normal_unique_01215,completion,,,,,,normal,,normal_standard,0
event_00006371,6371,2026-08-01T00:30:21.006371,normal_02554,normal_02554_session_0,ip_normal_unique_02554,authorization,card_00003002,491526,10.0,False,,normal,,normal_standard,0
event_00006372,6372,2026-08-01T00:31:20.396873,normal_02554,normal_02554_session_0,ip_normal_unique_02554,completion,,,,,,normal,,normal_standard,0
event_00002386,2386,2026-08-01T00:32:24.002386,normal_00952,normal_00952_session_0,ip_normal_unique_00952,authorization,card_00001126,419892,789.65,True,cvv_mismatch,normal,,normal_bad_luck,0
event_00002387,2387,2026-08-01T00:32:42.558373,normal_00952,normal_00952_session_0,ip_normal_unique_00952,authorization,card_00001126,419892,789.65,True,generic_decline,normal,,normal_bad_luck,0
event_00002388,2388,2026-08-01T00:34:20.882690,normal_00952,normal_00952_session_0,ip_normal_unique_00952,authorization,card_00001126,419892,789.65,True,insufficient_funds,normal,,normal_bad_luck,0
event_00002389,2389,2026-08-01T00:34:34.357726,normal_00952,normal_00952_session_0,ip_normal_unique_00952,authorization,card_00001126,419892,789.65,False,,normal,,normal_bad_luck,0
event_00004758,4758,2026-08-01T00:35:07.004758,normal_01904,normal_01904_session_0,ip_normal_unique_01904,authorization,card_00002237,343479,642.08,False,,normal,,normal_standard,0
event_00002390,2390,2026-08-01T00:35:25.292399,normal_00952,normal_00952_session_0,ip_normal_unique_00952,completion,,,,,,normal,,normal_bad_luck,0
event_00004759,4759,2026-08-01T00:35:54.640074,normal_01904,normal_01904_session_0,ip_normal_unique_01904,completion,,,,,,normal,,normal_standard,0
event_00000974,974,2026-08-01T00:40:44.000974,normal_00400,normal_00400_session_0,ip_normal_unique_00400,authorization,card_00000464,410156,1565.5,True,insufficient_funds,normal,,normal_bad_luck,0
event_00000975,975,2026-08-01T00:43:06.929998,normal_00400,normal_00400_session_0,ip_normal_unique_00400,authorization,card_00000464,410156,1565.5,True,cvv_mismatch,normal,,normal_bad_luck,0
event_00000976,976,2026-08-01T00:43:59.870809,normal_00400,normal_00400_session_0,ip_normal_unique_00400,authorization,card_00000464,410156,1565.5,True,insufficient_funds,normal,,normal_bad_luck,0
event_00000977,977,2026-08-01T00:44:14.742438,normal_00400,normal_00400_session_0,ip_normal_unique_00400,authorization,card_00000464,410156,1565.5,False,,normal,,normal_bad_luck,0
event_00005552,5552,2026-08-01T00:44:15.005552,normal_02218,normal_02218_session_0,ip_normal_unique_02218,authorization,card_00002606,466022,546.11,False,,normal,,normal_standard,0
event_00005553,5553,2026-08-01T00:44:36.481592,normal_02218,normal_02218_session_0,ip_normal_unique_02218,completion,,,,,,normal,,normal_standard,0
event_00000978,978,2026-08-01T00:44:50.091673,normal_00400,normal_00400_session_0,ip_normal_unique_00400,completion,,,,,,normal,,normal_bad_luck,0
event_00013954,13954,2026-08-01T00:48:47.013954,attack_patient_0042,attack_patient_0042_session_0,ip_attack_unique_00424,authorization,card_00008424,424506,726.76,False,,attack,patient,attack_patient,1
event_00013955,13955,2026-08-01T00:50:09.784064,attack_patient_0042,attack_patient_0042_session_0,ip_attack_unique_00424,authorization,card_00008425,542442,817.52,False,,attack,patient,attack_patient,1
event_00004694,4694,2026-08-01T00:52:19.004694,normal_01881,normal_01881_session_0,ip_normal_unique_01881,authorization,card_00002206,455988,552.99,False,,normal,,normal_standard,0
event_00013956,13956,2026-08-01T00:52:53.506196,attack_patient_0042,attack_patient_0042_session_0,ip_attack_unique_00424,authorization,card_00008426,459688,726.76,False,,attack,patient,attack_patient,1
event_00004695,4695,2026-08-01T00:53:10.485824,normal_01881,normal_01881_session_0,ip_normal_unique_01881,completion,,,,,,normal,,normal_standard,0
event_00000682,682,2026-08-01T00:53:23.000682,normal_00274,normal_00274_session_0,ip_normal_unique_00274,authorization,card_00000318,462991,1883.35,False,,normal,,normal_standard,0
event_00002043,2043,2026-08-01T00:53:30.002043,normal_00820,normal_00820_session_0,ip_normal_unique_00820,authorization,card_00000959,466109,542.58,False,,normal,,normal_standard,0
event_00000683,683,2026-08-01T00:53:59.313291,normal_00274,normal_00274_session_0,ip_normal_unique_00274,completion,,,,,,normal,,normal_standard,0
event_00012876,12876,2026-08-01T01:09:17.012876,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007660,410156,560.62,True,cvv_mismatch,attack,burst,attack_burst,1
event_00012877,12877,2026-08-01T01:09:19.947813,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007661,463166,10.0,True,cvv_mismatch,attack,burst,attack_burst,1
event_00012878,12878,2026-08-01T01:09:22.846144,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007662,555932,10.0,True,cvv_mismatch,attack,burst,attack_burst,1
event_00012879,12879,2026-08-01T01:09:25.810950,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007663,601168,650.69,True,insufficient_funds,attack,burst,attack_burst,1
event_00012880,12880,2026-08-01T01:09:32.720768,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007664,455947,5.0,True,generic_decline,attack,burst,attack_burst,1
event_00012881,12881,2026-08-01T01:09:35.958970,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007665,460934,650.69,True,cvv_mismatch,attack,burst,attack_burst,1
event_00012882,12882,2026-08-01T01:09:36.758691,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007666,450044,719.69,True,cvv_mismatch,attack,burst,attack_burst,1
event_00012883,12883,2026-08-01T01:09:41.150678,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007667,515508,650.69,False,,attack,burst,attack_burst,1
event_00012884,12884,2026-08-01T01:09:43.481222,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007668,555932,2.0,True,insufficient_funds,attack,burst,attack_burst,1
event_00012885,12885,2026-08-01T01:09:46.892903,attack_burst_0244,attack_burst_0244_session_0,ip_attack_unique_00244,authorization,card_00007669,435926,5.0,True,insufficient_funds,attack,burst,attack_burst,1
