event_id,request_id,timestamp,device_id,session_id,prior_attempts_10s,prior_attempts_60s,prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active,label,population,attack_subtype,scenario_tag
evt_0002263,req_0000843,2026-01-01T00:07:59+00:00,dev_0000663,dev_0000663_s1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,6.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,normal,,normal_standard
evt_0040005,req_0016154,2026-01-01T00:15:11+00:00,dev_0008776,dev_0008776_s1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,8.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,attack,burst,attack_burst
evt_0040007,req_0016155,2026-01-01T00:15:28+00:00,dev_0008776,dev_0008776_s1,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,17.000000,17.000000,0.000000,1.000000,1.000000,0.000000,1.000000,2.000000,1.000000,0.000000,10.470000,2.380000,0.000000,0.000000,0.000000,0.000000,0.000000,1,attack,burst,attack_burst
evt_0040009,req_0016156,2026-01-01T00:15:48+00:00,dev_0008776,dev_0008776_s1,0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,20.000000,37.000000,37.000000,0.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,0.000000,2.410000,-8.060000,1.190000,0.000000,0.000000,0.000000,0.000000,1,attack,burst,attack_burst
evt_0040011,req_0016157,2026-01-01T00:15:59+00:00,dev_0008776,dev_0008776_s1,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,11.000000,48.000000,48.000000,0.000000,1.000000,1.000000,0.000000,1.000000,4.000000,1.000000,0.000000,3.430000,1.020000,3.381164,0.000000,0.000000,0.000000,0.000000,1,attack,burst,attack_burst
evt_0040013,req_0016158,2026-01-01T00:16:15+00:00,dev_0008776,dev_0008776_s1,0.000000,3.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,2.000000,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.250000,0.250000,0.000000,3.000000,16.000000,64.000000,64.000000,0.000000,1.000000,1.000000,0.000000,1.000000,5.000000,0.000000,0.000000,2.520000,-0.910000,3.309154,0.000000,0.000000,0.000000,1.000000,1,attack,burst,attack_burst
evt_0040015,req_0016159,2026-01-01T00:16:32+00:00,dev_0008776,dev_0008776_s1,0.000000,3.000000,5.000000,5.000000,5.000000,5.000000,1.000000,4.000000,2.000000,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.200000,0.200000,0.000000,4.000000,17.000000,81.000000,81.000000,0.000000,1.000000,1.000000,0.000000,1.000000,6.000000,0.200000,1.000000,25.550000,23.030000,3.288012,0.000000,0.000000,0.000000,0.000000,1,attack,burst,attack_burst
evt_0055653,req_0023759,2026-01-01T00:17:18+00:00,dev_0009606,dev_0009606_s1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,9.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,attack,patient,attack_patient
evt_0019804,req_0007306,2026-01-01T00:18:09+00:00,dev_0005827,dev_0005827_s1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,10.870000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,normal,,normal_standard
evt_0011601,req_0004283,2026-01-01T00:20:32+00:00,dev_0003405,dev_0003405_s1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,18.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,normal,,normal_standard
