event_id,event_sequence,timestamp,event_type,ip_fingerprint,card_fingerprint,card_bin,amount,currency,campaign_active,authorization_result,decline_reason,request_id,device_id,session_id,population,attack_subtype,scenario_tag,label
evt_0002263,2263,2026-01-01T00:07:59+00:00,authorization_request,ip_0000331,card_0000724,410001,6.100000,USD,False,,,req_0000843,dev_0000663,dev_0000663_s1,normal,,normal_standard,0
evt_0002264,2264,2026-01-01T00:08:02+00:00,authorization_outcome,,,,,,,approved,,req_0000843,dev_0000663,dev_0000663_s1,normal,,normal_standard,0
evt_0002265,2265,2026-01-01T00:09:16+00:00,checkout_completion,,,,,,,,,req_0000843,dev_0000663,dev_0000663_s1,normal,,normal_standard,0
evt_0040005,40005,2026-01-01T00:15:11+00:00,authorization_request,ip_0000262,card_0011656,410005,8.090000,USD,False,,,req_0016154,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040006,40006,2026-01-01T00:15:14+00:00,authorization_outcome,,,,,,,approved,,req_0016154,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040007,40007,2026-01-01T00:15:28+00:00,authorization_request,ip_0000262,card_0011656,410005,10.470000,USD,False,,,req_0016155,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040008,40008,2026-01-01T00:15:31+00:00,authorization_outcome,,,,,,,approved,,req_0016155,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040009,40009,2026-01-01T00:15:48+00:00,authorization_request,ip_0000262,card_0011656,410005,2.410000,USD,False,,,req_0016156,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040010,40010,2026-01-01T00:15:49+00:00,authorization_outcome,,,,,,,approved,,req_0016156,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040011,40011,2026-01-01T00:15:59+00:00,authorization_request,ip_0000262,card_0011656,410005,3.430000,USD,False,,,req_0016157,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040012,40012,2026-01-01T00:16:00+00:00,authorization_outcome,,,,,,,declined,generic_decline,req_0016157,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040013,40013,2026-01-01T00:16:15+00:00,authorization_request,ip_0000262,card_0011657,410005,2.520000,USD,True,,,req_0016158,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040014,40014,2026-01-01T00:16:16+00:00,authorization_outcome,,,,,,,approved,,req_0016158,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040015,40015,2026-01-01T00:16:32+00:00,authorization_request,ip_0000262,card_0011657,410005,25.550000,USD,False,,,req_0016159,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0040016,40016,2026-01-01T00:16:35+00:00,authorization_outcome,,,,,,,declined,generic_decline,req_0016159,dev_0008776,dev_0008776_s1,attack,burst,attack_burst,1
evt_0055653,55653,2026-01-01T00:17:18+00:00,authorization_request,ip_0000001,card_0015559,410006,9.110000,USD,False,,,req_0023759,dev_0009606,dev_0009606_s1,attack,patient,attack_patient,1
evt_0055654,55654,2026-01-01T00:17:21+00:00,authorization_outcome,,,,,,,declined,generic_decline,req_0023759,dev_0009606,dev_0009606_s1,attack,patient,attack_patient,1
evt_0019804,19804,2026-01-01T00:18:09+00:00,authorization_request,ip_0000742,card_0006475,410018,10.870000,USD,True,,,req_0007306,dev_0005827,dev_0005827_s1,normal,,normal_standard,0
evt_0019805,19805,2026-01-01T00:18:10+00:00,authorization_outcome,,,,,,,approved,,req_0007306,dev_0005827,dev_0005827_s1,normal,,normal_standard,0
evt_0019806,19806,2026-01-01T00:20:28+00:00,checkout_completion,,,,,,,,,req_0007306,dev_0005827,dev_0005827_s1,normal,,normal_standard,0
evt_0011601,11601,2026-01-01T00:20:32+00:00,authorization_request,ip_0000502,card_0003770,410016,18.880000,USD,False,,,req_0004283,dev_0003405,dev_0003405_s1,normal,,normal_standard,0
