device_id,population,attack_subtype,scenario_tag,label
blind_20260828_dev_0000001,normal,,normal_standard,0
blind_20260828_dev_0000002,normal,,normal_standard,0
blind_20260828_dev_0000003,normal,,normal_standard,0
blind_20260828_dev_0000004,normal,,normal_standard,0
blind_20260828_dev_0000005,normal,,normal_standard,0
blind_20260828_dev_0000006,normal,,normal_standard,0
blind_20260828_dev_0000007,normal,,normal_standard,0
blind_20260828_dev_0000008,normal,,normal_standard,0
blind_20260828_dev_0000009,normal,,normal_standard,0
blind_20260828_dev_0000010,normal,,normal_standard,0
blind_20260828_dev_0000011,normal,,normal_standard,0
blind_20260828_dev_0000012,normal,,normal_standard,0
blind_20260828_dev_0000013,normal,,normal_standard,0
blind_20260828_dev_0000014,normal,,normal_standard,0
blind_20260828_dev_0000015,normal,,normal_standard,0
blind_20260828_dev_0000016,normal,,normal_standard,0
blind_20260828_dev_0000017,normal,,normal_standard,0
blind_20260828_dev_0000018,normal,,normal_standard,0
blind_20260828_dev_0000019,normal,,normal_standard,0
blind_20260828_dev_0000020,normal,,normal_standard,0
blind_20260828_dev_0000021,normal,,normal_standard,0
blind_20260828_dev_0000022,normal,,normal_standard,0
blind_20260828_dev_0000023,normal,,normal_standard,0
blind_20260828_dev_0000024,normal,,normal_standard,0
blind_20260828_dev_0000025,normal,,normal_standard,0
blind_20260828_dev_0000026,normal,,normal_standard,0
blind_20260828_dev_0000027,normal,,normal_standard,0
blind_20260828_dev_0000028,normal,,normal_standard,0
blind_20260828_dev_0000029,normal,,normal_standard,0
blind_20260828_dev_0000030,normal,,normal_standard,0
blind_20260828_dev_0000031,normal,,normal_standard,0
blind_20260828_dev_0000032,normal,,normal_standard,0
blind_20260828_dev_0000033,normal,,normal_standard,0
blind_20260828_dev_0000034,normal,,normal_standard,0
blind_20260828_dev_0000035,normal,,normal_standard,0
blind_20260828_dev_0000036,normal,,normal_standard,0
blind_20260828_dev_0000037,normal,,normal_standard,0
blind_20260828_dev_0000038,normal,,normal_standard,0
blind_20260828_dev_0000039,normal,,normal_standard,0
blind_20260828_dev_0000040,normal,,normal_standard,0
blind_20260828_dev_0000041,normal,,normal_standard,0
blind_20260828_dev_0000042,normal,,normal_standard,0
blind_20260828_dev_0000043,normal,,normal_standard,0
blind_20260828_dev_0000044,normal,,normal_standard,0
blind_20260828_dev_0000045,normal,,normal_standard,0
blind_20260828_dev_0000046,normal,,normal_standard,0
blind_20260828_dev_0000047,normal,,normal_standard,0
blind_20260828_dev_0000048,normal,,normal_standard,0
blind_20260828_dev_0000049,normal,,normal_standard,0
blind_20260828_dev_0000050,normal,,normal_standard,0
blind_20260828_dev_0000051,normal,,normal_standard,0
blind_20260828_dev_0000052,normal,,normal_standard,0
blind_20260828_dev_0000053,normal,,normal_standard,0
blind_20260828_dev_0000054,normal,,normal_standard,0
blind_20260828_dev_0000055,normal,,normal_standard,0
blind_20260828_dev_0000056,normal,,normal_standard,0
blind_20260828_dev_0000057,normal,,normal_standard,0
blind_20260828_dev_0000058,normal,,normal_standard,0
blind_20260828_dev_0000059,normal,,normal_standard,0
blind_20260828_dev_0000060,normal,,normal_standard,0
blind_20260828_dev_0000061,normal,,normal_standard,0
blind_20260828_dev_0000062,normal,,normal_standard,0
blind_20260828_dev_0000063,normal,,normal_standard,0
blind_20260828_dev_0000064,normal,,normal_standard,0
blind_20260828_dev_0000065,normal,,normal_standard,0
blind_20260828_dev_0000066,normal,,normal_standard,0
blind_20260828_dev_0000067,normal,,normal_standard,0
blind_20260828_dev_0000068,normal,,normal_standard,0
blind_20260828_dev_0000069,normal,,normal_standard,0
blind_20260828_dev_0000070,normal,,normal_standard,0
blind_20260828_dev_0000071,normal,,normal_standard,0
blind_20260828_dev_0000072,normal,,normal_standard,0
blind_20260828_dev_0000073,normal,,normal_standard,0
blind_20260828_dev_0000074,normal,,normal_standard,0
blind_20260828_dev_0000075,normal,,normal_standard,0
blind_20260828_dev_0000076,normal,,normal_standard,0
blind_20260828_dev_0000077,normal,,normal_standard,0
blind_20260828_dev_0000078,normal,,normal_standard,0
blind_20260828_dev_0000079,normal,,normal_standard,0
blind_20260828_dev_0000080,normal,,normal_standard,0
blind_20260828_dev_0000081,normal,,normal_standard,0
blind_20260828_dev_0000082,normal,,normal_standard,0
blind_20260828_dev_0000083,normal,,normal_standard,0
blind_20260828_dev_0000084,normal,,normal_standard,0
blind_20260828_dev_0000085,normal,,normal_standard,0
blind_20260828_dev_0000086,normal,,normal_standard,0
blind_20260828_dev_0000087,normal,,normal_standard,0
blind_20260828_dev_0000088,normal,,normal_standard,0
blind_20260828_dev_0000089,normal,,normal_standard,0
blind_20260828_dev_0000090,normal,,normal_standard,0
blind_20260828_dev_0000091,normal,,normal_standard,0
blind_20260828_dev_0000092,normal,,normal_standard,0
blind_20260828_dev_0000093,normal,,normal_standard,0
blind_20260828_dev_0000094,normal,,normal_standard,0
blind_20260828_dev_0000095,normal,,normal_standard,0
blind_20260828_dev_0000096,normal,,normal_standard,0
blind_20260828_dev_0000097,normal,,normal_standard,0
blind_20260828_dev_0000098,normal,,normal_standard,0
blind_20260828_dev_0000099,normal,,normal_standard,0
blind_20260828_dev_0000100,normal,,normal_standard,0
blind_20260828_dev_0000101,normal,,normal_standard,0
blind_20260828_dev_0000102,normal,,normal_standard,0
blind_20260828_dev_0000103,normal,,normal_standard,0
blind_20260828_dev_0000104,normal,,normal_standard,0
blind_20260828_dev_0000105,normal,,normal_standard,0
blind_20260828_dev_0000106,normal,,normal_standard,0
blind_20260828_dev_0000107,normal,,normal_standard,0
blind_20260828_dev_0000108,normal,,normal_standard,0
blind_20260828_dev_0000109,normal,,normal_standard,0
blind_20260828_dev_0000110,normal,,normal_standard,0
blind_20260828_dev_0000111,normal,,normal_standard,0
blind_20260828_dev_0000112,normal,,normal_standard,0
blind_20260828_dev_0000113,normal,,normal_standard,0
blind_20260828_dev_0000114,normal,,normal_standard,0
blind_20260828_dev_0000115,normal,,normal_standard,0
blind_20260828_dev_0000116,normal,,normal_standard,0
blind_20260828_dev_0000117,normal,,normal_standard,0
blind_20260828_dev_0000118,normal,,normal_standard,0
blind_20260828_dev_0000119,normal,,normal_standard,0
blind_20260828_dev_0000120,normal,,normal_standard,0
blind_20260828_dev_0000121,normal,,normal_standard,0
blind_20260828_dev_0000122,normal,,normal_standard,0
blind_20260828_dev_0000123,normal,,normal_standard,0
blind_20260828_dev_0000124,normal,,normal_standard,0
blind_20260828_dev_0000125,normal,,normal_standard,0
blind_20260828_dev_0000126,normal,,normal_standard,0
blind_20260828_dev_0000127,normal,,normal_standard,0
blind_20260828_dev_0000128,normal,,normal_standard,0
blind_20260828_dev_0000129,normal,,normal_standard,0
blind_20260828_dev_0000130,normal,,normal_standard,0
blind_20260828_dev_0000131,normal,,normal_standard,0
blind_20260828_dev_0000132,normal,,normal_standard,0
blind_20260828_dev_0000133,normal,,normal_standard,0
blind_20260828_dev_0000134,normal,,normal_standard,0
blind_20260828_dev_0000135,normal,,normal_standard,0
blind_20260828_dev_0000136,normal,,normal_standard,0
blind_20260828_dev_0000137,normal,,normal_standard,0
blind_20260828_dev_0000138,normal,,normal_standard,0
blind_20260828_dev_0000139,normal,,normal_standard,0
blind_20260828_dev_0000140,normal,,normal_standard,0
blind_20260828_dev_0000141,normal,,normal_standard,0
blind_20260828_dev_0000142,normal,,normal_standard,0
blind_20260828_dev_0000143,normal,,normal_standard,0
blind_20260828_dev_0000144,normal,,normal_standard,0
blind_20260828_dev_0000145,normal,,normal_standard,0
blind_20260828_dev_0000146,normal,,normal_standard,0
blind_20260828_dev_0000147,normal,,normal_standard,0
blind_20260828_dev_0000148,normal,,normal_standard,0
blind_20260828_dev_0000149,normal,,normal_standard,0
blind_20260828_dev_0000150,normal,,normal_standard,0
blind_20260828_dev_0000151,normal,,normal_standard,0
blind_20260828_dev_0000152,normal,,normal_standard,0
blind_20260828_dev_0000153,normal,,normal_standard,0
blind_20260828_dev_0000154,normal,,normal_standard,0
blind_20260828_dev_0000155,normal,,normal_standard,0
blind_20260828_dev_0000156,normal,,normal_standard,0
blind_20260828_dev_0000157,normal,,normal_standard,0
blind_20260828_dev_0000158,normal,,normal_standard,0
blind_20260828_dev_0000159,normal,,normal_standard,0
blind_20260828_dev_0000160,normal,,normal_standard,0
blind_20260828_dev_0000161,normal,,normal_standard,0
blind_20260828_dev_0000162,normal,,normal_standard,0
blind_20260828_dev_0000163,normal,,normal_standard,0
blind_20260828_dev_0000164,normal,,normal_standard,0
blind_20260828_dev_0000165,normal,,normal_standard,0
blind_20260828_dev_0000166,normal,,normal_standard,0
blind_20260828_dev_0000167,normal,,normal_standard,0
blind_20260828_dev_0000168,normal,,normal_standard,0
blind_20260828_dev_0000169,normal,,normal_standard,0
blind_20260828_dev_0000170,normal,,normal_standard,0
blind_20260828_dev_0000171,normal,,normal_standard,0
blind_20260828_dev_0000172,normal,,normal_standard,0
blind_20260828_dev_0000173,normal,,normal_standard,0
blind_20260828_dev_0000174,normal,,normal_standard,0
blind_20260828_dev_0000175,normal,,normal_standard,0
blind_20260828_dev_0000176,normal,,normal_standard,0
blind_20260828_dev_0000177,normal,,normal_standard,0
blind_20260828_dev_0000178,normal,,normal_standard,0
blind_20260828_dev_0000179,normal,,normal_standard,0
blind_20260828_dev_0000180,normal,,normal_standard,0
blind_20260828_dev_0000181,normal,,normal_standard,0
blind_20260828_dev_0000182,normal,,normal_standard,0
blind_20260828_dev_0000183,normal,,normal_standard,0
blind_20260828_dev_0000184,normal,,normal_standard,0
blind_20260828_dev_0000185,normal,,normal_standard,0
blind_20260828_dev_0000186,normal,,normal_standard,0
blind_20260828_dev_0000187,normal,,normal_standard,0
blind_20260828_dev_0000188,normal,,normal_standard,0
blind_20260828_dev_0000189,normal,,normal_standard,0
blind_20260828_dev_0000190,normal,,normal_standard,0
blind_20260828_dev_0000191,normal,,normal_standard,0
blind_20260828_dev_0000192,normal,,normal_standard,0
blind_20260828_dev_0000193,normal,,normal_standard,0
blind_20260828_dev_0000194,normal,,normal_standard,0
blind_20260828_dev_0000195,normal,,normal_standard,0
blind_20260828_dev_0000196,normal,,normal_standard,0
blind_20260828_dev_0000197,normal,,normal_standard,0
blind_20260828_dev_0000198,normal,,normal_standard,0
blind_20260828_dev_0000199,normal,,normal_standard,0
blind_20260828_dev_0000200,normal,,normal_standard,0
blind_20260828_dev_0000201,normal,,normal_standard,0
blind_20260828_dev_0000202,normal,,normal_standard,0
blind_20260828_dev_0000203,normal,,normal_standard,0
blind_20260828_dev_0000204,normal,,normal_standard,0
blind_20260828_dev_0000205,normal,,normal_standard,0
blind_20260828_dev_0000206,normal,,normal_standard,0
blind_20260828_dev_0000207,normal,,normal_standard,0
blind_20260828_dev_0000208,normal,,normal_standard,0
blind_20260828_dev_0000209,normal,,normal_standard,0
blind_20260828_dev_0000210,normal,,normal_standard,0
blind_20260828_dev_0000211,normal,,normal_standard,0
blind_20260828_dev_0000212,normal,,normal_standard,0
blind_20260828_dev_0000213,normal,,normal_standard,0
blind_20260828_dev_0000214,normal,,normal_standard,0
blind_20260828_dev_0000215,normal,,normal_standard,0
blind_20260828_dev_0000216,normal,,normal_standard,0
blind_20260828_dev_0000217,normal,,normal_standard,0
blind_20260828_dev_0000218,normal,,normal_standard,0
blind_20260828_dev_0000219,normal,,normal_standard,0
blind_20260828_dev_0000220,normal,,normal_standard,0
blind_20260828_dev_0000221,normal,,normal_standard,0
blind_20260828_dev_0000222,normal,,normal_standard,0
blind_20260828_dev_0000223,normal,,normal_standard,0
blind_20260828_dev_0000224,normal,,normal_standard,0
blind_20260828_dev_0000225,normal,,normal_standard,0
blind_20260828_dev_0000226,normal,,normal_standard,0
blind_20260828_dev_0000227,normal,,normal_standard,0
blind_20260828_dev_0000228,normal,,normal_standard,0
blind_20260828_dev_0000229,normal,,normal_standard,0
blind_20260828_dev_0000230,normal,,normal_standard,0
blind_20260828_dev_0000231,normal,,normal_standard,0
blind_20260828_dev_0000232,normal,,normal_standard,0
blind_20260828_dev_0000233,normal,,normal_standard,0
blind_20260828_dev_0000234,normal,,normal_standard,0
blind_20260828_dev_0000235,normal,,normal_standard,0
blind_20260828_dev_0000236,normal,,normal_standard,0
blind_20260828_dev_0000237,normal,,normal_standard,0
blind_20260828_dev_0000238,normal,,normal_standard,0
blind_20260828_dev_0000239,normal,,normal_standard,0
blind_20260828_dev_0000240,normal,,normal_standard,0
blind_20260828_dev_0000241,normal,,normal_standard,0
blind_20260828_dev_0000242,normal,,normal_standard,0
blind_20260828_dev_0000243,normal,,normal_standard,0
blind_20260828_dev_0000244,normal,,normal_standard,0
blind_20260828_dev_0000245,normal,,normal_standard,0
blind_20260828_dev_0000246,normal,,normal_standard,0
blind_20260828_dev_0000247,normal,,normal_standard,0
blind_20260828_dev_0000248,normal,,normal_standard,0
blind_20260828_dev_0000249,normal,,normal_standard,0
blind_20260828_dev_0000250,normal,,normal_standard,0
blind_20260828_dev_0000251,normal,,normal_standard,0
blind_20260828_dev_0000252,normal,,normal_standard,0
blind_20260828_dev_0000253,normal,,normal_standard,0
blind_20260828_dev_0000254,normal,,normal_standard,0
blind_20260828_dev_0000255,normal,,normal_standard,0
blind_20260828_dev_0000256,normal,,normal_standard,0
blind_20260828_dev_0000257,normal,,normal_standard,0
blind_20260828_dev_0000258,normal,,normal_standard,0
blind_20260828_dev_0000259,normal,,normal_standard,0
blind_20260828_dev_0000260,normal,,normal_standard,0
blind_20260828_dev_0000261,normal,,normal_standard,0
blind_20260828_dev_0000262,normal,,normal_standard,0
blind_20260828_dev_0000263,normal,,normal_standard,0
blind_20260828_dev_0000264,normal,,normal_standard,0
blind_20260828_dev_0000265,normal,,normal_standard,0
blind_20260828_dev_0000266,normal,,normal_standard,0
blind_20260828_dev_0000267,normal,,normal_standard,0
blind_20260828_dev_0000268,normal,,normal_standard,0
blind_20260828_dev_0000269,normal,,normal_standard,0
blind_20260828_dev_0000270,normal,,normal_standard,0
blind_20260828_dev_0000271,normal,,normal_standard,0
blind_20260828_dev_0000272,normal,,normal_standard,0
blind_20260828_dev_0000273,normal,,normal_standard,0
blind_20260828_dev_0000274,normal,,normal_standard,0
blind_20260828_dev_0000275,normal,,normal_standard,0
blind_20260828_dev_0000276,normal,,normal_standard,0
blind_20260828_dev_0000277,normal,,normal_standard,0
blind_20260828_dev_0000278,normal,,normal_standard,0
blind_20260828_dev_0000279,normal,,normal_standard,0
blind_20260828_dev_0000280,normal,,normal_standard,0
blind_20260828_dev_0000281,normal,,normal_standard,0
blind_20260828_dev_0000282,normal,,normal_standard,0
blind_20260828_dev_0000283,normal,,normal_standard,0
blind_20260828_dev_0000284,normal,,normal_standard,0
blind_20260828_dev_0000285,normal,,normal_standard,0
blind_20260828_dev_0000286,normal,,normal_standard,0
blind_20260828_dev_0000287,normal,,normal_standard,0
blind_20260828_dev_0000288,normal,,normal_standard,0
blind_20260828_dev_0000289,normal,,normal_standard,0
blind_20260828_dev_0000290,normal,,normal_standard,0
blind_20260828_dev_0000291,normal,,normal_standard,0
blind_20260828_dev_0000292,normal,,normal_standard,0
blind_20260828_dev_0000293,normal,,normal_standard,0
blind_20260828_dev_0000294,normal,,normal_standard,0
blind_20260828_dev_0000295,normal,,normal_standard,0
blind_20260828_dev_0000296,normal,,normal_standard,0
blind_20260828_dev_0000297,normal,,normal_standard,0
blind_20260828_dev_0000298,normal,,normal_standard,0
blind_20260828_dev_0000299,normal,,normal_standard,0
blind_20260828_dev_0000300,normal,,normal_standard,0
blind_20260828_dev_0000301,normal,,normal_standard,0
blind_20260828_dev_0000302,normal,,normal_standard,0
blind_20260828_dev_0000303,normal,,normal_standard,0
blind_20260828_dev_0000304,normal,,normal_standard,0
blind_20260828_dev_0000305,normal,,normal_standard,0
blind_20260828_dev_0000306,normal,,normal_standard,0
blind_20260828_dev_0000307,normal,,normal_standard,0
blind_20260828_dev_0000308,normal,,normal_standard,0
blind_20260828_dev_0000309,normal,,normal_standard,0
blind_20260828_dev_0000310,normal,,normal_standard,0
blind_20260828_dev_0000311,normal,,normal_standard,0
blind_20260828_dev_0000312,normal,,normal_standard,0
blind_20260828_dev_0000313,normal,,normal_standard,0
blind_20260828_dev_0000314,normal,,normal_standard,0
blind_20260828_dev_0000315,normal,,normal_standard,0
blind_20260828_dev_0000316,normal,,normal_standard,0
blind_20260828_dev_0000317,normal,,normal_standard,0
blind_20260828_dev_0000318,normal,,normal_standard,0
blind_20260828_dev_0000319,normal,,normal_standard,0
blind_20260828_dev_0000320,normal,,normal_standard,0
blind_20260828_dev_0000321,normal,,normal_standard,0
blind_20260828_dev_0000322,normal,,normal_standard,0
blind_20260828_dev_0000323,normal,,normal_standard,0
blind_20260828_dev_0000324,normal,,normal_standard,0
blind_20260828_dev_0000325,normal,,normal_standard,0
blind_20260828_dev_0000326,normal,,normal_standard,0
blind_20260828_dev_0000327,normal,,normal_standard,0
blind_20260828_dev_0000328,normal,,normal_standard,0
blind_20260828_dev_0000329,normal,,normal_standard,0
blind_20260828_dev_0000330,normal,,normal_standard,0
blind_20260828_dev_0000331,normal,,normal_standard,0
blind_20260828_dev_0000332,normal,,normal_standard,0
blind_20260828_dev_0000333,normal,,normal_standard,0
blind_20260828_dev_0000334,normal,,normal_standard,0
blind_20260828_dev_0000335,normal,,normal_standard,0
blind_20260828_dev_0000336,normal,,normal_standard,0
blind_20260828_dev_0000337,normal,,normal_standard,0
blind_20260828_dev_0000338,normal,,normal_standard,0
blind_20260828_dev_0000339,normal,,normal_standard,0
blind_20260828_dev_0000340,normal,,normal_standard,0
blind_20260828_dev_0000341,normal,,normal_standard,0
blind_20260828_dev_0000342,normal,,normal_standard,0
blind_20260828_dev_0000343,normal,,normal_standard,0
blind_20260828_dev_0000344,normal,,normal_standard,0
blind_20260828_dev_0000345,normal,,normal_standard,0
blind_20260828_dev_0000346,normal,,normal_standard,0
blind_20260828_dev_0000347,normal,,normal_standard,0
blind_20260828_dev_0000348,normal,,normal_standard,0
blind_20260828_dev_0000349,normal,,normal_standard,0
blind_20260828_dev_0000350,normal,,normal_standard,0
blind_20260828_dev_0000351,normal,,normal_standard,0
blind_20260828_dev_0000352,normal,,normal_standard,0
blind_20260828_dev_0000353,normal,,normal_standard,0
blind_20260828_dev_0000354,normal,,normal_standard,0
blind_20260828_dev_0000355,normal,,normal_standard,0
blind_20260828_dev_0000356,normal,,normal_standard,0
blind_20260828_dev_0000357,normal,,normal_standard,0
blind_20260828_dev_0000358,normal,,normal_standard,0
blind_20260828_dev_0000359,normal,,normal_standard,0
blind_20260828_dev_0000360,normal,,normal_standard,0
blind_20260828_dev_0000361,normal,,normal_standard,0
blind_20260828_dev_0000362,normal,,normal_standard,0
blind_20260828_dev_0000363,normal,,normal_standard,0
blind_20260828_dev_0000364,normal,,normal_standard,0
blind_20260828_dev_0000365,normal,,normal_standard,0
blind_20260828_dev_0000366,normal,,normal_standard,0
blind_20260828_dev_0000367,normal,,normal_standard,0
blind_20260828_dev_0000368,normal,,normal_standard,0
blind_20260828_dev_0000369,normal,,normal_standard,0
blind_20260828_dev_0000370,normal,,normal_standard,0
blind_20260828_dev_0000371,normal,,normal_standard,0
blind_20260828_dev_0000372,normal,,normal_standard,0
blind_20260828_dev_0000373,normal,,normal_standard,0
blind_20260828_dev_0000374,normal,,normal_standard,0
blind_20260828_dev_0000375,normal,,normal_standard,0
blind_20260828_dev_0000376,normal,,normal_standard,0
blind_20260828_dev_0000377,normal,,normal_standard,0
blind_20260828_dev_0000378,normal,,normal_standard,0
blind_20260828_dev_0000379,normal,,normal_standard,0
blind_20260828_dev_0000380,normal,,normal_standard,0
blind_20260828_dev_0000381,normal,,normal_standard,0
blind_20260828_dev_0000382,normal,,normal_standard,0
blind_20260828_dev_0000383,normal,,normal_standard,0
blind_20260828_dev_0000384,normal,,normal_standard,0
blind_20260828_dev_0000385,normal,,normal_standard,0
blind_20260828_dev_0000386,normal,,normal_standard,0
blind_20260828_dev_0000387,normal,,normal_standard,0
blind_20260828_dev_0000388,normal,,normal_standard,0
blind_20260828_dev_0000389,normal,,normal_standard,0
blind_20260828_dev_0000390,normal,,normal_standard,0
blind_20260828_dev_0000391,normal,,normal_standard,0
blind_20260828_dev_0000392,normal,,normal_standard,0
blind_20260828_dev_0000393,normal,,normal_standard,0
blind_20260828_dev_0000394,normal,,normal_standard,0
blind_20260828_dev_0000395,normal,,normal_standard,0
blind_20260828_dev_0000396,normal,,normal_standard,0
blind_20260828_dev_0000397,normal,,normal_standard,0
blind_20260828_dev_0000398,normal,,normal_standard,0
blind_20260828_dev_0000399,normal,,normal_standard,0
