event_id,event_sequence,timestamp,event_type,ip_fingerprint,card_fingerprint,card_bin,amount,currency,campaign_active,authorization_result,decline_reason,request_id,device_id,session_id,population,attack_subtype,scenario_tag,label
blind_20260828_evt_0003080,3080,2026-07-01T00:22:37+00:00,authorization_request,blind_20260828_ip_0000456,blind_20260828_card_0001002,410014,3.490000,USD,True,,,blind_20260828_req_0001130,blind_20260828_dev_0000913,blind_20260828_dev_0000913_s1,normal,,normal_standard,0
blind_20260828_evt_0003081,3081,2026-07-01T00:22:39+00:00,authorization_outcome,,,,,,,approved,,blind_20260828_req_0001130,blind_20260828_dev_0000913,blind_20260828_dev_0000913_s1,normal,,normal_standard,0
blind_20260828_evt_0005714,5714,2026-07-01T00:33:40+00:00,authorization_request,blind_20260828_ip_0000031,blind_20260828_card_0001792,410017,5.520000,USD,True,,,blind_20260828_req_0002162,blind_20260828_dev_0001533,blind_20260828_dev_0001533_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0005715,5715,2026-07-01T00:33:41+00:00,authorization_outcome,,,,,,,approved,,blind_20260828_req_0002162,blind_20260828_dev_0001533,blind_20260828_dev_0001533_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0005716,5716,2026-07-01T00:34:12+00:00,checkout_completion,,,,,,,,,blind_20260828_req_0002162,blind_20260828_dev_0001533,blind_20260828_dev_0001533_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0000949,949,2026-07-01T00:35:03+00:00,authorization_request,blind_20260828_ip_0000141,blind_20260828_card_0000308,410002,5.260000,USD,False,,,blind_20260828_req_0000349,blind_20260828_dev_0000282,blind_20260828_dev_0000282_s1,normal,,normal_standard,0
blind_20260828_evt_0000950,950,2026-07-01T00:35:06+00:00,authorization_outcome,,,,,,,approved,,blind_20260828_req_0000349,blind_20260828_dev_0000282,blind_20260828_dev_0000282_s1,normal,,normal_standard,0
blind_20260828_evt_0000951,951,2026-07-01T00:36:47+00:00,checkout_completion,,,,,,,,,blind_20260828_req_0000349,blind_20260828_dev_0000282,blind_20260828_dev_0000282_s1,normal,,normal_standard,0
blind_20260828_evt_0003752,3752,2026-07-01T00:48:26+00:00,authorization_request,blind_20260828_ip_0000549,blind_20260828_card_0001209,410003,10.010000,USD,False,,,blind_20260828_req_0001381,blind_20260828_dev_0001098,blind_20260828_dev_0001098_s1,normal,,normal_standard,0
blind_20260828_evt_0003753,3753,2026-07-01T00:48:27+00:00,authorization_outcome,,,,,,,declined,generic_decline,blind_20260828_req_0001381,blind_20260828_dev_0001098,blind_20260828_dev_0001098_s1,normal,,normal_standard,0
blind_20260828_evt_0005621,5621,2026-07-01T00:53:04+00:00,authorization_request,blind_20260828_ip_0000033,blind_20260828_card_0001762,410007,21.330000,USD,True,,,blind_20260828_req_0002128,blind_20260828_dev_0001506,blind_20260828_dev_0001506_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0005622,5622,2026-07-01T00:53:05+00:00,authorization_outcome,,,,,,,approved,,blind_20260828_req_0002128,blind_20260828_dev_0001506,blind_20260828_dev_0001506_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0005623,5623,2026-07-01T00:55:48+00:00,checkout_completion,,,,,,,,,blind_20260828_req_0002128,blind_20260828_dev_0001506,blind_20260828_dev_0001506_s1,flash_sale,,flash_standard,0
blind_20260828_evt_0003261,3261,2026-07-01T01:47:33+00:00,authorization_request,blind_20260828_ip_0000321,blind_20260828_card_0001058,410012,4.430000,USD,False,,,blind_20260828_req_0001198,blind_20260828_dev_0000965,blind_20260828_dev_0000965_s1,normal,,normal_standard,0
blind_20260828_evt_0003262,3262,2026-07-01T01:47:36+00:00,authorization_outcome,,,,,,,approved,,blind_20260828_req_0001198,blind_20260828_dev_0000965,blind_20260828_dev_0000965_s1,normal,,normal_standard,0
blind_20260828_evt_0003263,3263,2026-07-01T01:49:49+00:00,checkout_completion,,,,,,,,,blind_20260828_req_0001198,blind_20260828_dev_0000965,blind_20260828_dev_0000965_s1,normal,,normal_standard,0
