scenario,metric,device_denominator,mean,median,p10,p90,minimum,maximum
attack_burst,processed_attempt_velocity_60s,480,7.143750,7.000000,4.000000,10.000000,3.000000,11.000000
attack_burst,prospective_request_velocity_60s,480,8.362500,8.000000,5.000000,12.000000,4.000000,12.000000
attack_burst,decline_ratio_24h,480,0.817346,1.000000,0.500000,1.000000,0.000000,1.000000
attack_burst,card_diversity_24h,480,4.420833,4.000000,2.000000,7.000000,1.000000,10.000000
attack_burst,bin_diversity_24h,480,2.335417,2.000000,1.000000,3.000000,1.000000,5.000000
attack_burst,same_card_retry_ratio_24h,480,0.805036,1.000000,0.400000,1.000000,0.125000,1.000000
attack_burst,card_switches_after_decline_24h,480,2.431250,2.000000,0.000000,5.000000,0.000000,9.000000
attack_burst,amount_continuity_absolute_delta,480,5.075969,4.620000,1.950000,8.942000,0.230000,16.490000
attack_burst,near_minimum_ratio_24h,480,0.241398,0.142857,0.000000,1.000000,0.000000,1.000000
attack_burst,session_count_7d,480,1.206250,1.000000,1.000000,2.000000,1.000000,3.000000
attack_burst,ip_rotation_24h,480,1.404167,1.000000,1.000000,2.000000,0.000000,5.000000
attack_burst,approval_rate,480,0.444922,0.444444,0.250000,0.666667,0.000000,1.000000
attack_burst,checkout_completion_rate,480,0.520833,1.000000,0.000000,1.000000,0.000000,1.000000
attack_evasive,processed_attempt_velocity_60s,360,0.838889,1.000000,0.000000,1.000000,0.000000,2.000000
attack_evasive,prospective_request_velocity_60s,360,1.838889,2.000000,1.000000,2.000000,1.000000,3.000000
attack_evasive,decline_ratio_24h,360,0.803181,1.000000,0.492857,1.000000,0.000000,1.000000
attack_evasive,card_diversity_24h,360,3.497222,3.000000,2.000000,5.000000,1.000000,8.000000
attack_evasive,bin_diversity_24h,360,1.913889,2.000000,1.000000,3.000000,1.000000,4.000000
attack_evasive,same_card_retry_ratio_24h,360,0.842857,1.000000,0.500000,1.000000,0.000000,1.000000
attack_evasive,card_switches_after_decline_24h,360,1.494444,1.000000,0.000000,3.000000,0.000000,6.000000
attack_evasive,amount_continuity_absolute_delta,360,4.921250,4.405000,1.744000,8.485500,0.360000,24.250000
attack_evasive,near_minimum_ratio_24h,360,0.240689,0.000000,0.000000,1.000000,0.000000,1.000000
attack_evasive,session_count_7d,360,1.186111,1.000000,1.000000,2.000000,1.000000,3.000000
attack_evasive,ip_rotation_24h,360,0.933333,1.000000,0.000000,2.000000,0.000000,3.000000
attack_evasive,approval_rate,360,0.458272,0.444444,0.200000,0.666667,0.000000,1.000000
attack_evasive,checkout_completion_rate,360,0.538889,1.000000,0.000000,1.000000,0.000000,1.000000
attack_patient,processed_attempt_velocity_60s,360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
attack_patient,prospective_request_velocity_60s,360,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
attack_patient,decline_ratio_24h,360,0.929167,1.000000,0.650000,1.000000,0.000000,1.000000
attack_patient,card_diversity_24h,360,2.322222,2.000000,1.000000,3.000000,1.000000,5.000000
attack_patient,bin_diversity_24h,360,1.691667,2.000000,1.000000,2.000000,1.000000,3.000000
attack_patient,same_card_retry_ratio_24h,360,0.906944,1.000000,0.500000,1.000000,0.000000,1.000000
attack_patient,card_switches_after_decline_24h,360,0.497222,0.000000,0.000000,1.000000,0.000000,2.000000
attack_patient,amount_continuity_absolute_delta,360,5.162819,4.335000,1.869000,9.550000,0.225000,17.765000
attack_patient,near_minimum_ratio_24h,360,0.318287,0.000000,0.000000,1.000000,0.000000,1.000000
attack_patient,session_count_7d,360,2.997222,3.000000,2.000000,4.000000,2.000000,4.000000
attack_patient,ip_rotation_24h,360,0.816667,1.000000,0.000000,1.000000,0.000000,1.000000
attack_patient,approval_rate,360,0.437912,0.428571,0.200000,0.666667,0.000000,1.000000
attack_patient,checkout_completion_rate,360,0.505556,1.000000,0.000000,1.000000,0.000000,1.000000
flash_hard_retry,processed_attempt_velocity_60s,400,1.027500,1.000000,0.000000,2.000000,0.000000,3.000000
flash_hard_retry,prospective_request_velocity_60s,400,2.035000,2.000000,1.000000,3.000000,1.000000,4.000000
flash_hard_retry,decline_ratio_24h,400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
flash_hard_retry,card_diversity_24h,400,1.335000,1.000000,1.000000,2.000000,1.000000,3.000000
flash_hard_retry,bin_diversity_24h,400,1.117500,1.000000,1.000000,2.000000,1.000000,2.000000
flash_hard_retry,same_card_retry_ratio_24h,400,0.932000,1.000000,0.500000,1.000000,0.000000,1.000000
flash_hard_retry,card_switches_after_decline_24h,400,0.187500,0.000000,0.000000,1.000000,0.000000,2.000000
flash_hard_retry,amount_continuity_absolute_delta,400,0.237113,0.000000,0.000000,0.000000,0.000000,17.980000
flash_hard_retry,near_minimum_ratio_24h,400,0.011250,0.000000,0.000000,0.000000,0.000000,1.000000
flash_hard_retry,session_count_7d,400,1.155000,1.000000,1.000000,2.000000,1.000000,3.000000
flash_hard_retry,ip_rotation_24h,400,0.072500,0.000000,0.000000,0.000000,0.000000,1.000000
flash_hard_retry,approval_rate,400,0.287294,0.333333,0.000000,0.333333,0.000000,0.333333
flash_hard_retry,checkout_completion_rate,400,0.750000,1.000000,0.000000,1.000000,0.000000,1.000000
flash_standard,processed_attempt_velocity_60s,1200,0.020833,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,prospective_request_velocity_60s,1200,1.020833,1.000000,1.000000,1.000000,1.000000,2.000000
flash_standard,decline_ratio_24h,1200,0.070000,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,card_diversity_24h,1200,1.035000,1.000000,1.000000,1.000000,1.000000,3.000000
flash_standard,bin_diversity_24h,1200,1.006667,1.000000,1.000000,1.000000,1.000000,2.000000
flash_standard,same_card_retry_ratio_24h,1200,0.075000,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,card_switches_after_decline_24h,1200,0.000833,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,amount_continuity_absolute_delta,1200,0.805933,0.000000,0.000000,2.391000,0.000000,30.830000
flash_standard,near_minimum_ratio_24h,1200,0.003333,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,session_count_7d,1200,1.179167,1.000000,1.000000,2.000000,1.000000,3.000000
flash_standard,ip_rotation_24h,1200,0.084167,0.000000,0.000000,0.000000,0.000000,1.000000
flash_standard,approval_rate,1200,0.896806,1.000000,0.500000,1.000000,0.000000,1.000000
flash_standard,checkout_completion_rate,1200,0.776667,1.000000,0.000000,1.000000,0.000000,1.000000
normal_bad_luck,processed_attempt_velocity_60s,400,1.022500,1.000000,0.000000,2.000000,0.000000,3.000000
normal_bad_luck,prospective_request_velocity_60s,400,2.027500,2.000000,1.000000,3.000000,1.000000,4.000000
normal_bad_luck,decline_ratio_24h,400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
normal_bad_luck,card_diversity_24h,400,1.892500,2.000000,1.000000,3.000000,1.000000,4.000000
normal_bad_luck,bin_diversity_24h,400,1.365000,1.000000,1.000000,2.000000,1.000000,3.000000
normal_bad_luck,same_card_retry_ratio_24h,400,0.787292,1.000000,0.500000,1.000000,0.000000,1.000000
normal_bad_luck,card_switches_after_decline_24h,400,0.515000,0.000000,0.000000,1.000000,0.000000,2.000000
normal_bad_luck,amount_continuity_absolute_delta,400,5.426238,3.685000,0.558000,10.904000,0.030000,93.840000
normal_bad_luck,near_minimum_ratio_24h,400,0.016250,0.000000,0.000000,0.000000,0.000000,1.000000
normal_bad_luck,session_count_7d,400,1.207500,1.000000,1.000000,2.000000,1.000000,3.000000
normal_bad_luck,ip_rotation_24h,400,0.090000,0.000000,0.000000,0.000000,0.000000,1.000000
normal_bad_luck,approval_rate,400,0.287989,0.333333,0.000000,0.333333,0.000000,0.333333
normal_bad_luck,checkout_completion_rate,400,0.737500,1.000000,0.000000,1.000000,0.000000,1.000000
normal_standard,processed_attempt_velocity_60s,4800,0.022292,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,prospective_request_velocity_60s,4800,1.022292,1.000000,1.000000,1.000000,1.000000,2.000000
normal_standard,decline_ratio_24h,4800,0.073021,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,card_diversity_24h,4800,1.036042,1.000000,1.000000,1.000000,1.000000,2.000000
normal_standard,bin_diversity_24h,4800,1.012708,1.000000,1.000000,1.000000,1.000000,2.000000
normal_standard,same_card_retry_ratio_24h,4800,0.065937,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,card_switches_after_decline_24h,4800,0.000208,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,amount_continuity_absolute_delta,4800,0.821401,0.000000,0.000000,2.860500,0.000000,42.320000
normal_standard,near_minimum_ratio_24h,4800,0.000417,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,session_count_7d,4800,1.176042,1.000000,1.000000,2.000000,1.000000,3.000000
normal_standard,ip_rotation_24h,4800,0.079375,0.000000,0.000000,0.000000,0.000000,1.000000
normal_standard,approval_rate,4800,0.896500,1.000000,0.500000,1.000000,0.000000,1.000000
normal_standard,checkout_completion_rate,4800,0.780000,1.000000,0.000000,1.000000,0.000000,1.000000
